Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:06:51.137794,16:06:51.548710,-1,-1.0
1,16:06:51.137794,16:06:51.946544,-1,-1.0
1,16:06:51.137794,16:06:52.254478,-1,-1.0
1,16:06:51.137794,16:06:53.672892,-1,-1.0
1,16:06:51.137794,16:06:54.886012,1,-1.0
1,16:06:51.137794,16:06:55.152580,1,-1.0
1,16:06:51.137794,16:06:55.370345,1,-1.0
1,16:06:51.137794,16:06:55.558613,1,-1.0
1,16:06:51.137794,16:06:55.811584,1,-1.0
1,16:06:51.137794,16:06:56.075211,1,-1.0
1,16:06:51.137794,16:06:56.388413,1,-1.0
1,16:06:51.137794,16:06:56.727630,1,-1.0
1,16:06:51.137794,16:06:56.992476,1,-1.0
1,16:06:51.137794,16:06:57.206294,1,-1.0
1,16:06:51.137794,16:06:57.516908,1,-1.0
1,16:06:51.137794,16:06:58.133646,-1,-1.0
1,16:06:51.137794,16:06:58.488934,-1,-1.0
1,16:06:51.137794,16:06:58.895801,-1,-1.0
1,16:06:51.137794,16:06:59.251246,-1,-1.0
1,16:06:51.137794,16:06:59.626865,-1,-1.0
1,16:06:51.137794,16:06:59.965848,-1,-1.0
1,16:06:51.137794,16:07:00.427507,-1,-1.0
1,16:06:51.137794,16:07:01.102027,1,-1.0
1,16:06:51.137794,16:07:01.355905,1,-1.0
1,16:06:51.137794,16:07:01.606881,1,-1.0
1,16:06:51.137794,16:07:01.843446,1,-1.0
1,16:06:51.137794,16:07:02.087439,1,-1.0
1,16:06:51.137794,16:07:02.314796,1,-1.0
1,16:06:51.137794,16:07:02.548753,1,-1.0
1,16:06:51.137794,16:07:02.763796,1,-1.0
1,16:06:51.137794,16:07:02.997467,1,-1.0
1,16:06:51.137794,16:07:03.225066,1,-1.0
1,16:06:51.137794,16:07:03.450029,1,-1.0
1,16:06:51.137794,16:07:03.694296,1,-1.0
1,16:06:51.137794,16:07:03.928967,1,-1.0
1,16:06:51.137794,16:07:04.172032,1,-1.0
1,16:06:51.137794,16:07:04.445116,1,-1.0
1,16:06:51.137794,16:07:04.701439,1,-1.0
1,16:06:51.137794,16:07:05.118020,1,-1.0
1,16:06:51.137794,16:07:05.762406,-1,-1.0
1,16:06:51.137794,16:07:06.068888,-1,-1.0
1,16:06:51.137794,16:07:06.497747,-1,-1.0
1,16:06:51.137794,16:07:06.902256,-1,-1.0
1,16:06:51.137794,16:07:07.340175,-1,-1.0
1,16:06:51.137794,16:07:07.851976,1,-1.0
1,16:06:51.137794,16:07:08.149829,1,-1.0
1,16:06:51.137794,16:07:08.356462,1,-1.0
1,16:06:51.137794,16:07:08.647127,1,-1.0
1,16:06:51.137794,16:07:08.872737,1,-1.0
1,16:06:51.137794,16:07:09.148448,1,-1.0
1,16:06:51.137794,16:07:09.394587,1,-1.0
1,16:06:51.137794,16:07:09.631062,1,-1.0
1,16:06:51.137794,16:07:09.877057,1,-1.0
1,16:06:51.137794,16:07:10.102393,1,-1.0
1,16:06:51.137794,16:07:10.428470,1,-1.0
1,16:06:51.137794,16:07:10.711638,1,-1.0
1,16:06:51.137794,16:07:11.058430,1,-1.0
1,16:06:51.137794,16:07:11.378015,1,-1.0
1,16:06:51.137794,16:07:11.663691,1,-1.0
1,16:06:51.137794,16:07:11.906725,1,-1.0
1,16:06:51.137794,16:07:12.169831,1,-1.0
1,16:06:51.137794,16:07:12.467804,1,-1.0
1,16:06:51.137794,16:07:12.741927,1,-1.0
1,16:06:51.137794,16:07:13.096332,1,-1.0
1,16:06:51.137794,16:07:13.392545,1,-1.0
1,16:06:51.137794,16:07:13.644427,1,-1.0
1,16:06:51.137794,16:07:13.903141,1,-1.0
1,16:06:51.137794,16:07:14.126679,1,-1.0
1,16:06:51.137794,16:07:14.364340,1,-1.0
1,16:06:51.137794,16:07:14.608714,1,-1.0
1,16:06:51.137794,16:07:14.871734,1,-1.0
1,16:06:51.137794,16:07:15.119200,1,-1.0
1,16:06:51.137794,16:07:15.374163,1,-1.0
1,16:06:51.137794,16:07:15.628309,1,-1.0
1,16:06:51.137794,16:07:15.875045,1,-1.0
1,16:06:51.137794,16:07:16.148428,1,-1.0
1,16:06:51.137794,16:07:16.380378,1,-1.0
1,16:06:51.137794,16:07:16.644416,1,-1.0
1,16:06:51.137794,16:07:16.889963,1,-1.0
1,16:06:51.137794,16:07:17.155336,1,-1.0
1,16:06:51.137794,16:07:17.412697,1,-1.0
1,16:06:51.137794,16:07:17.678980,1,-1.0
1,16:06:51.137794,16:07:17.937238,1,-1.0
1,16:06:51.137794,16:07:18.183012,1,-1.0
1,16:06:51.137794,16:07:18.509561,1,-1.0
1,16:06:51.137794,16:07:18.802833,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,16:07:19.113486,16:07:19.954885,1,-1.0
2,16:07:19.113486,16:07:20.209366,1,-1.0
2,16:07:19.113486,16:07:20.497712,1,-1.0
2,16:07:19.113486,16:07:20.751185,1,-1.0
2,16:07:19.113486,16:07:21.049545,1,-1.0
2,16:07:19.113486,16:07:21.336840,1,-1.0
2,16:07:19.113486,16:07:21.703835,1,-1.0
2,16:07:19.113486,16:07:22.049488,1,-1.0
2,16:07:19.113486,16:07:22.334302,1,-1.0
2,16:07:19.113486,16:07:22.608444,1,-1.0
2,16:07:19.113486,16:07:23.034610,1,-1.0
2,16:07:19.113486,16:07:23.731506,-1,-1.0
2,16:07:19.113486,16:07:24.223359,-1,-1.0
