Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,10:23:35.715018,10:23:37.152209,1,-1.0
1,10:23:35.715018,10:23:37.418178,1,-1.0
1,10:23:35.715018,10:23:37.655675,1,-1.0
1,10:23:35.715018,10:23:37.900193,1,-1.0
1,10:23:35.715018,10:23:38.161485,1,-1.0
1,10:23:35.715018,10:23:38.418888,1,-1.0
1,10:23:35.715018,10:23:38.650206,1,-1.0
1,10:23:35.715018,10:23:38.891107,1,-1.0
1,10:23:35.715018,10:23:39.155502,1,-1.0
1,10:23:35.715018,10:23:39.443764,1,-1.0
1,10:23:35.715018,10:23:39.735726,1,-1.0
1,10:23:35.715018,10:23:40.011379,1,-1.0
1,10:23:35.715018,10:23:40.271746,1,-1.0
1,10:23:35.715018,10:23:40.806182,-1,-1.0
1,10:23:35.715018,10:23:41.105139,-1,-1.0
1,10:23:35.715018,10:23:41.396065,-1,-1.0
1,10:23:35.715018,10:23:41.777956,-1,-1.0
1,10:23:35.715018,10:23:42.106103,-1,-1.0
1,10:23:35.715018,10:23:42.436982,-1,-1.0
1,10:23:35.715018,10:23:42.720279,-1,-1.0
1,10:23:35.715018,10:23:43.358532,-1,-1.0
1,10:23:35.715018,10:23:43.699176,1,-1.0
1,10:23:35.715018,10:23:43.974568,1,-1.0
1,10:23:35.715018,10:23:44.287144,1,-1.0
1,10:23:35.715018,10:23:44.518682,1,-1.0
1,10:23:35.715018,10:23:44.720238,1,-1.0
1,10:23:35.715018,10:23:44.930072,1,-1.0
1,10:23:35.715018,10:23:45.121502,1,-1.0
1,10:23:35.715018,10:23:45.340866,1,-1.0
1,10:23:35.715018,10:23:45.574034,1,-1.0
1,10:23:35.715018,10:23:45.796773,1,-1.0
1,10:23:35.715018,10:23:46.021231,1,-1.0
1,10:23:35.715018,10:23:46.260703,1,-1.0
1,10:23:35.715018,10:23:46.465840,1,-1.0
1,10:23:35.715018,10:23:46.695520,1,-1.0
1,10:23:35.715018,10:23:46.909257,1,-1.0
1,10:23:35.715018,10:23:47.125426,1,-1.0
1,10:23:35.715018,10:23:47.343598,1,-1.0
1,10:23:35.715018,10:23:47.561101,1,-1.0
1,10:23:35.715018,10:23:47.777162,1,-1.0
1,10:23:35.715018,10:23:48.009170,1,-1.0
1,10:23:35.715018,10:23:48.249029,1,-1.0
1,10:23:35.715018,10:23:48.475539,1,-1.0
1,10:23:35.715018,10:23:48.708054,1,-1.0
1,10:23:35.715018,10:23:48.949438,1,-1.0
1,10:23:35.715018,10:23:49.145702,1,-1.0
1,10:23:35.715018,10:23:49.396521,1,-1.0
1,10:23:35.715018,10:23:49.615764,1,-1.0
1,10:23:35.715018,10:23:50.091479,1,-1.0
1,10:23:35.715018,10:23:50.389119,1,-1.0
1,10:23:35.715018,10:23:50.606224,1,-1.0
1,10:23:35.715018,10:23:50.871203,1,-1.0
1,10:23:35.715018,10:23:51.082647,1,-1.0
1,10:23:35.715018,10:23:51.295511,1,-1.0
1,10:23:35.715018,10:23:51.516077,1,-1.0
1,10:23:35.715018,10:23:51.752271,1,-1.0
1,10:23:35.715018,10:23:51.975013,1,-1.0
1,10:23:35.715018,10:23:52.239584,1,-1.0
1,10:23:35.715018,10:23:52.455567,1,-1.0
1,10:23:35.715018,10:23:52.715333,1,-1.0
1,10:23:35.715018,10:23:52.938065,1,-1.0
1,10:23:35.715018,10:23:53.153456,1,-1.0
1,10:23:35.715018,10:23:53.394377,1,-1.0
1,10:23:35.715018,10:23:53.623894,1,-1.0
1,10:23:35.715018,10:23:53.867385,1,-1.0
1,10:23:35.715018,10:23:54.213739,1,-1.0
1,10:23:35.715018,10:23:54.430513,1,-1.0
1,10:23:35.715018,10:23:54.684096,1,-1.0
1,10:23:35.715018,10:23:55.016971,1,-1.0
1,10:23:35.715018,10:23:55.688316,-1,-1.0
1,10:23:35.715018,10:23:55.920670,-1,-1.0
