Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:48:41.454929,14:48:41.593321,1,-1.0
1,14:48:41.454929,14:48:41.892933,1,-1.0
1,14:48:41.454929,14:48:42.109357,1,-1.0
1,14:48:41.454929,14:48:42.343532,1,-1.0
1,14:48:41.454929,14:48:42.679906,1,-1.0
1,14:48:41.454929,14:48:42.930620,1,-1.0
1,14:48:41.454929,14:48:43.173575,1,-1.0
1,14:48:41.454929,14:48:43.378922,1,-1.0
1,14:48:41.454929,14:48:43.637340,1,-1.0
1,14:48:41.454929,14:48:43.875262,1,-1.0
1,14:48:41.454929,14:48:44.098230,1,-1.0
1,14:48:41.454929,14:48:44.326916,1,-1.0
1,14:48:41.454929,14:48:44.536779,1,-1.0
1,14:48:41.454929,14:48:44.752936,1,-1.0
1,14:48:41.454929,14:48:44.978827,1,-1.0
1,14:48:41.454929,14:48:45.189112,1,-1.0
1,14:48:41.454929,14:48:45.412681,1,-1.0
1,14:48:41.454929,14:48:45.637164,1,-1.0
1,14:48:41.454929,14:48:45.864105,1,-1.0
1,14:48:41.454929,14:48:46.064802,1,-1.0
1,14:48:41.454929,14:48:46.292003,1,-1.0
1,14:48:41.454929,14:48:46.543492,1,-1.0
1,14:48:41.454929,14:48:46.729696,1,-1.0
1,14:48:41.454929,14:48:46.958337,1,-1.0
1,14:48:41.454929,14:48:47.207781,1,-1.0
1,14:48:41.454929,14:48:47.552897,1,-1.0
1,14:48:41.454929,14:48:47.866895,-1,-1.0
1,14:48:41.454929,14:48:48.235679,-1,-1.0
1,14:48:41.454929,14:48:48.527821,-1,-1.0
1,14:48:41.454929,14:48:48.874322,-1,-1.0
1,14:48:41.454929,14:48:49.152432,-1,-1.0
1,14:48:41.454929,14:48:49.467571,-1,-1.0
1,14:48:41.454929,14:48:49.810991,-1,-1.0
1,14:48:41.454929,14:48:50.109988,-1,-1.0
1,14:48:41.454929,14:48:50.903504,-1,-1.0
1,14:48:41.454929,14:48:51.138586,1,-1.0
1,14:48:41.454929,14:48:51.425585,1,-1.0
1,14:48:41.454929,14:48:51.631348,1,-1.0
1,14:48:41.454929,14:48:51.849477,1,-1.0
1,14:48:41.454929,14:48:52.049105,1,-1.0
1,14:48:41.454929,14:48:52.272811,1,-1.0
1,14:48:41.454929,14:48:52.503205,1,-1.0
1,14:48:41.454929,14:48:52.724144,1,-1.0
1,14:48:41.454929,14:48:52.969800,1,-1.0
1,14:48:41.454929,14:48:53.190041,1,-1.0
1,14:48:41.454929,14:48:53.439281,1,-1.0
1,14:48:41.454929,14:48:53.644766,1,-1.0
1,14:48:41.454929,14:48:53.914648,1,-1.0
1,14:48:41.454929,14:48:54.127367,1,-1.0
1,14:48:41.454929,14:48:54.380993,1,-1.0
1,14:48:41.454929,14:48:54.617098,1,-1.0
1,14:48:41.454929,14:48:54.867677,1,-1.0
1,14:48:41.454929,14:48:55.122172,1,-1.0
1,14:48:41.454929,14:48:55.361958,1,-1.0
1,14:48:41.454929,14:48:55.600467,1,-1.0
1,14:48:41.454929,14:48:55.869248,1,-1.0
1,14:48:41.454929,14:48:56.100914,1,-1.0
1,14:48:41.454929,14:48:56.353821,1,-1.0
1,14:48:41.454929,14:48:56.590016,1,-1.0
1,14:48:41.454929,14:48:56.845279,1,-1.0
1,14:48:41.454929,14:48:57.086821,1,-1.0
1,14:48:41.454929,14:48:57.321424,1,-1.0
1,14:48:41.454929,14:48:57.558019,1,-1.0
1,14:48:41.454929,14:48:57.806677,1,-1.0
1,14:48:41.454929,14:48:58.064582,1,-1.0
1,14:48:41.454929,14:48:58.353534,1,-1.0
1,14:48:41.454929,14:48:58.580183,1,-1.0
1,14:48:41.454929,14:48:58.867714,1,-1.0
1,14:48:41.454929,14:48:59.122673,1,-1.0
1,14:48:41.454929,14:48:59.368699,1,-1.0
1,14:48:41.454929,14:48:59.638590,1,-1.0
1,14:48:41.454929,14:48:59.885793,1,-1.0
1,14:48:41.454929,14:49:00.146778,1,-1.0
1,14:48:41.454929,14:49:00.384487,1,-1.0
1,14:48:41.454929,14:49:00.646335,1,-1.0
1,14:48:41.454929,14:49:00.927983,1,-1.0
1,14:48:41.454929,14:49:01.173127,1,-1.0
1,14:48:41.454929,14:49:01.469449,1,-1.0
1,14:48:41.454929,14:49:01.710968,1,-1.0
1,14:48:41.454929,14:49:02.012602,1,-1.0
1,14:48:41.454929,14:49:02.416605,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,14:49:02.422384,14:49:03.129782,1,-1.0
2,14:49:02.422384,14:49:03.961584,1,-1.0
2,14:49:02.422384,14:49:04.190765,1,-1.0
2,14:49:02.422384,14:49:04.419501,1,-1.0
2,14:49:02.422384,14:49:04.617930,1,-1.0
2,14:49:02.422384,14:49:04.860320,1,-1.0
2,14:49:02.422384,14:49:05.095224,1,-1.0
2,14:49:02.422384,14:49:05.348331,1,-1.0
2,14:49:02.422384,14:49:05.594584,1,-1.0
2,14:49:02.422384,14:49:05.831332,1,-1.0
2,14:49:02.422384,14:49:06.143157,-1,-1.0
2,14:49:02.422384,14:49:06.381071,-1,-1.0
2,14:49:02.422384,14:49:06.674362,-1,-1.0
2,14:49:02.422384,14:49:07.099454,-1,-1.0
2,14:49:02.422384,14:49:07.551884,-1,-1.0
2,14:49:02.422384,14:49:07.888953,-1,-1.0
2,14:49:02.422384,14:49:08.499217,1,-1.0
2,14:49:02.422384,14:49:08.736278,1,-1.0
2,14:49:02.422384,14:49:08.979364,1,-1.0
2,14:49:02.422384,14:49:09.307999,1,-1.0
2,14:49:02.422384,14:49:09.554047,1,-1.0
2,14:49:02.422384,14:49:09.781700,1,-1.0
2,14:49:02.422384,14:49:10.032280,1,-1.0
2,14:49:02.422384,14:49:10.539775,1,-1.0
2,14:49:02.422384,14:49:10.763476,1,-1.0
2,14:49:02.422384,14:49:10.990579,1,-1.0
2,14:49:02.422384,14:49:11.275512,1,-1.0
2,14:49:02.422384,14:49:11.516659,1,-1.0
2,14:49:02.422384,14:49:11.785407,1,-1.0
2,14:49:02.422384,14:49:12.056014,1,-1.0
2,14:49:02.422384,14:49:12.295710,1,-1.0
2,14:49:02.422384,14:49:12.550645,1,-1.0
2,14:49:02.422384,14:49:12.791403,1,-1.0
2,14:49:02.422384,14:49:13.060728,1,-1.0
2,14:49:02.422384,14:49:13.324004,1,-1.0
2,14:49:02.422384,14:49:13.591250,1,-1.0
2,14:49:02.422384,14:49:13.859636,1,-1.0
2,14:49:02.422384,14:49:14.143558,1,-1.0
2,14:49:02.422384,14:49:14.503957,-1,-1.0
2,14:49:02.422384,14:49:14.774990,-1,-1.0
2,14:49:02.422384,14:49:15.289963,1,-1.0
2,14:49:02.422384,14:49:15.541229,1,-1.0
2,14:49:02.422384,14:49:15.799322,1,-1.0
2,14:49:02.422384,14:49:16.098391,1,-1.0
2,14:49:02.422384,14:49:16.345260,1,-1.0
2,14:49:02.422384,14:49:16.602982,1,-1.0
2,14:49:02.422384,14:49:16.835048,1,-1.0
2,14:49:02.422384,14:49:17.100028,1,-1.0
2,14:49:02.422384,14:49:17.337206,1,-1.0
2,14:49:02.422384,14:49:17.605278,1,-1.0
2,14:49:02.422384,14:49:17.865080,1,-1.0
2,14:49:02.422384,14:49:18.142238,1,-1.0
2,14:49:02.422384,14:49:18.386251,1,-1.0
2,14:49:02.422384,14:49:18.640543,1,-1.0
2,14:49:02.422384,14:49:18.877158,1,-1.0
2,14:49:02.422384,14:49:19.152244,1,-1.0
2,14:49:02.422384,14:49:19.401510,1,-1.0
2,14:49:02.422384,14:49:19.639543,1,-1.0
2,14:49:02.422384,14:49:19.890221,1,-1.0
2,14:49:02.422384,14:49:20.149062,1,-1.0
2,14:49:02.422384,14:49:20.430862,1,-1.0
2,14:49:02.422384,14:49:20.656823,1,-1.0
2,14:49:02.422384,14:49:20.904394,1,-1.0
2,14:49:02.422384,14:49:21.180896,1,-1.0
2,14:49:02.422384,14:49:21.470153,1,-1.0
2,14:49:02.422384,14:49:21.685435,1,-1.0
2,14:49:02.422384,14:49:21.932010,1,-1.0
2,14:49:02.422384,14:49:22.177939,1,-1.0
2,14:49:02.422384,14:49:22.392248,1,-1.0
2,14:49:02.422384,14:49:22.702208,1,-1.0
2,14:49:02.422384,14:49:22.993819,1,-1.0
2,14:49:02.422384,14:49:23.278357,1,-1.0
2,14:49:02.422384,14:49:23.516516,1,-1.0
2,14:49:02.422384,14:49:23.759622,1,-1.0
2,14:49:02.422384,14:49:24.016404,1,-1.0
2,14:49:02.422384,14:49:24.326407,1,-1.0
2,14:49:02.422384,14:49:24.592157,1,-1.0
2,14:49:02.422384,14:49:24.873931,1,-1.0
2,14:49:02.422384,14:49:25.140901,1,-1.0
2,14:49:02.422384,14:49:25.474058,1,-1.0
2,14:49:02.422384,14:49:25.731173,1,-1.0
2,14:49:02.422384,14:49:26.019335,1,-1.0
2,14:49:02.422384,14:49:26.297563,1,-1.0
2,14:49:02.422384,14:49:26.588674,1,-1.0
2,14:49:02.422384,14:49:26.842641,1,-1.0
2,14:49:02.422384,14:49:27.154247,1,-1.0
2,14:49:02.422384,14:49:27.417642,1,-1.0
2,14:49:02.422384,14:49:27.680297,1,-1.0
2,14:49:02.422384,14:49:27.939031,1,-1.0
2,14:49:02.422384,14:49:28.223810,1,-1.0
2,14:49:02.422384,14:49:28.497329,1,-1.0
2,14:49:02.422384,14:49:28.805402,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,14:49:29.438160,14:49:29.687215,-1,-1.0
3,14:49:29.438160,14:49:30.025140,-1,-1.0
3,14:49:29.438160,14:49:30.360551,-1,-1.0
3,14:49:29.438160,14:49:30.605332,-1,-1.0
3,14:49:29.438160,14:49:30.882603,-1,-1.0
3,14:49:29.438160,14:49:31.464443,-1,-1.0
3,14:49:29.438160,14:49:31.745402,1,-1.0
3,14:49:29.438160,14:49:32.035170,1,-1.0
3,14:49:29.438160,14:49:32.338479,1,-1.0
3,14:49:29.438160,14:49:32.549668,1,-1.0
3,14:49:29.438160,14:49:32.843490,1,-1.0
3,14:49:29.438160,14:49:33.062800,1,-1.0
3,14:49:29.438160,14:49:33.354038,1,-1.0
3,14:49:29.438160,14:49:33.632297,1,-1.0
3,14:49:29.438160,14:49:33.979774,1,-1.0
3,14:49:29.438160,14:49:34.279257,1,-1.0
3,14:49:29.438160,14:49:34.605186,1,-1.0
3,14:49:29.438160,14:49:34.902676,1,-1.0
3,14:49:29.438160,14:49:35.132391,1,-1.0
3,14:49:29.438160,14:49:35.413590,1,-1.0
3,14:49:29.438160,14:49:35.670857,1,-1.0
3,14:49:29.438160,14:49:35.898871,1,-1.0
3,14:49:29.438160,14:49:36.228675,1,-1.0
3,14:49:29.438160,14:49:36.519463,1,-1.0
3,14:49:29.438160,14:49:36.804512,1,-1.0
3,14:49:29.438160,14:49:37.344772,1,-1.0
3,14:49:29.438160,14:49:37.606286,1,-1.0
3,14:49:29.438160,14:49:37.925167,1,-1.0
3,14:49:29.438160,14:49:38.368458,-1,-1.0
3,14:49:29.438160,14:49:38.792959,-1,-1.0
3,14:49:29.438160,14:49:39.112974,-1,-1.0
3,14:49:29.438160,14:49:39.477499,-1,-1.0
3,14:49:29.438160,14:49:39.783137,-1,-1.0
3,14:49:29.438160,14:49:40.078621,-1,-1.0
3,14:49:29.438160,14:49:40.590348,1,-1.0
3,14:49:29.438160,14:49:40.866243,1,-1.0
3,14:49:29.438160,14:49:41.102745,1,-1.0
3,14:49:29.438160,14:49:41.368651,1,-1.0
3,14:49:29.438160,14:49:41.636570,1,-1.0
3,14:49:29.438160,14:49:41.870384,1,-1.0
3,14:49:29.438160,14:49:42.161866,1,-1.0
3,14:49:29.438160,14:49:42.439337,1,-1.0
3,14:49:29.438160,14:49:42.710455,1,-1.0
3,14:49:29.438160,14:49:43.017899,1,-1.0
