Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,10:24:17.352904,10:24:19.111595,1,-1.0
1,10:24:17.352904,10:24:19.313718,1,-1.0
1,10:24:17.352904,10:24:19.515839,1,-1.0
1,10:24:17.352904,10:24:19.736050,1,-1.0
1,10:24:17.352904,10:24:19.961202,1,-1.0
1,10:24:17.352904,10:24:20.176028,1,-1.0
1,10:24:17.352904,10:24:20.387049,1,-1.0
1,10:24:17.352904,10:24:20.601099,1,-1.0
1,10:24:17.352904,10:24:20.817882,1,-1.0
1,10:24:17.352904,10:24:21.287104,-1,-1.0
1,10:24:17.352904,10:24:21.494948,-1,-1.0
1,10:24:17.352904,10:24:21.729118,-1,-1.0
1,10:24:17.352904,10:24:22.057840,-1,-1.0
1,10:24:17.352904,10:24:22.302167,-1,-1.0
1,10:24:17.352904,10:24:22.640140,-1,-1.0
1,10:24:17.352904,10:24:22.869105,-1,-1.0
1,10:24:17.352904,10:24:23.223038,1,-1.0
1,10:24:17.352904,10:24:23.446855,1,-1.0
1,10:24:17.352904,10:24:23.666986,1,-1.0
1,10:24:17.352904,10:24:23.910003,1,-1.0
1,10:24:17.352904,10:24:24.134797,1,-1.0
1,10:24:17.352904,10:24:24.375341,1,-1.0
1,10:24:17.352904,10:24:24.657306,1,-1.0
1,10:24:17.352904,10:24:24.899740,1,-1.0
1,10:24:17.352904,10:24:25.133024,1,-1.0
1,10:24:17.352904,10:24:25.334623,1,-1.0
1,10:24:17.352904,10:24:25.898401,1,-1.0
1,10:24:17.352904,10:24:26.050004,1,-1.0
1,10:24:17.352904,10:24:26.198134,1,-1.0
1,10:24:17.352904,10:24:26.344301,1,-1.0
1,10:24:17.352904,10:24:26.497087,1,-1.0
1,10:24:17.352904,10:24:26.601837,1,-1.0
1,10:24:17.352904,10:24:26.907358,1,-1.0
1,10:24:17.352904,10:24:27.057530,1,-1.0
1,10:24:17.352904,10:24:27.349139,-1,-1.0
1,10:24:17.352904,10:24:27.564311,-1,-1.0
1,10:24:17.352904,10:24:27.796519,-1,-1.0
1,10:24:17.352904,10:24:28.093367,-1,-1.0
1,10:24:17.352904,10:24:28.381758,-1,-1.0
1,10:24:17.352904,10:24:28.625947,-1,-1.0
1,10:24:17.352904,10:24:29.089375,1,-1.0
1,10:24:17.352904,10:24:29.204814,1,-1.0
1,10:24:17.352904,10:24:29.331669,1,-1.0
1,10:24:17.352904,10:24:29.465334,1,-1.0
1,10:24:17.352904,10:24:29.613551,1,-1.0
1,10:24:17.352904,10:24:29.742844,1,-1.0
1,10:24:17.352904,10:24:29.876058,1,-1.0
1,10:24:17.352904,10:24:29.998659,1,-1.0
1,10:24:17.352904,10:24:30.126244,1,-1.0
1,10:24:17.352904,10:24:30.272255,1,-1.0
1,10:24:17.352904,10:24:30.429981,1,-1.0
1,10:24:17.352904,10:24:30.594162,1,-1.0
1,10:24:17.352904,10:24:30.744756,1,-1.0
1,10:24:17.352904,10:24:30.878463,1,-1.0
1,10:24:17.352904,10:24:31.041798,1,-1.0
1,10:24:17.352904,10:24:31.177884,1,-1.0
1,10:24:17.352904,10:24:31.330720,1,-1.0
1,10:24:17.352904,10:24:31.462700,1,-1.0
1,10:24:17.352904,10:24:31.682269,1,-1.0
1,10:24:17.352904,10:24:31.803787,1,-1.0
1,10:24:17.352904,10:24:31.953732,1,-1.0
1,10:24:17.352904,10:24:32.114463,1,-1.0
1,10:24:17.352904,10:24:32.415668,1,-1.0
1,10:24:17.352904,10:24:32.599830,1,-1.0
1,10:24:17.352904,10:24:32.771657,1,-1.0
1,10:24:17.352904,10:24:32.952689,1,-1.0
1,10:24:17.352904,10:24:33.105243,1,-1.0
1,10:24:17.352904,10:24:33.283364,1,-1.0
1,10:24:17.352904,10:24:33.477332,1,-1.0
1,10:24:17.352904,10:24:33.634561,1,-1.0
1,10:24:17.352904,10:24:33.826424,1,-1.0
1,10:24:17.352904,10:24:34.114290,-1,-1.0
1,10:24:17.352904,10:24:34.381570,-1,-1.0
1,10:24:17.352904,10:24:34.588663,-1,-1.0
1,10:24:17.352904,10:24:34.853714,-1,-1.0
1,10:24:17.352904,10:24:35.360936,1,-1.0
1,10:24:17.352904,10:24:35.497050,1,-1.0
1,10:24:17.352904,10:24:35.641878,1,-1.0
1,10:24:17.352904,10:24:35.812532,1,-1.0
1,10:24:17.352904,10:24:35.959689,1,-1.0
1,10:24:17.352904,10:24:36.124528,1,-1.0
1,10:24:17.352904,10:24:36.273201,1,-1.0
1,10:24:17.352904,10:24:36.621647,1,-1.0
1,10:24:17.352904,10:24:36.793293,1,-1.0
1,10:24:17.352904,10:24:36.953512,1,-1.0
1,10:24:17.352904,10:24:37.125271,1,-1.0
1,10:24:17.352904,10:24:37.295873,1,-1.0
1,10:24:17.352904,10:24:37.453781,1,-1.0
1,10:24:17.352904,10:24:37.613041,1,-1.0
1,10:24:17.352904,10:24:37.750990,1,-1.0
1,10:24:17.352904,10:24:37.882524,1,-1.0
1,10:24:17.352904,10:24:38.069111,1,-1.0
1,10:24:17.352904,10:24:38.224740,1,-1.0
1,10:24:17.352904,10:24:38.535472,1,-1.0
1,10:24:17.352904,10:24:38.690263,1,-1.0
1,10:24:17.352904,10:24:38.854062,1,-1.0
