Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,22:16:06.721282,22:16:07.494712,1,-1.0
1,22:16:06.721282,22:16:07.983106,1,-1.0
1,22:16:06.721282,22:16:08.318844,1,-1.0
1,22:16:06.721282,22:16:08.654671,1,-1.0
1,22:16:06.721282,22:16:09.682177,1,-1.0
1,22:16:06.721282,22:16:11.506315,1,-1.0
1,22:16:06.721282,22:16:12.635458,1,-1.0
1,22:16:06.721282,22:16:13.843565,1,-1.0
1,22:16:06.721282,22:16:15.069678,1,-1.0
1,22:16:06.721282,22:16:15.731994,-1,-1.0
1,22:16:06.721282,22:16:17.726030,-1,-1.0
1,22:16:06.721282,22:16:19.256286,-1,-1.0
1,22:16:06.721282,22:16:19.859293,-1,-1.0
1,22:16:06.721282,22:16:20.583741,-1,-1.0
1,22:16:06.721282,22:16:20.955537,1,-1.0
1,22:16:06.721282,22:16:22.383897,1,-1.0
1,22:16:06.721282,22:16:25.032487,-1,-1.0
1,22:16:06.721282,22:16:25.829975,1,-1.0
1,22:16:06.721282,22:16:26.905042,1,-1.0
1,22:16:06.721282,22:16:28.480351,1,-1.0
1,22:16:06.721282,22:16:29.632868,1,-1.0
1,22:16:06.721282,22:16:30.327222,1,-1.0
1,22:16:06.721282,22:16:30.956090,1,-1.0
1,22:16:06.721282,22:16:31.204348,1,-1.0
1,22:16:06.721282,22:16:31.410062,1,-1.0
1,22:16:06.721282,22:16:31.636286,1,-1.0
1,22:16:06.721282,22:16:31.841611,1,-1.0
1,22:16:06.721282,22:16:32.025865,1,-1.0
1,22:16:06.721282,22:16:32.212297,1,-1.0
1,22:16:06.721282,22:16:32.406942,1,-1.0
1,22:16:06.721282,22:16:32.600262,1,-1.0
1,22:16:06.721282,22:16:32.805195,1,-1.0
1,22:16:06.721282,22:16:33.033951,1,-1.0
1,22:16:06.721282,22:16:33.240355,1,-1.0
1,22:16:06.721282,22:16:33.456584,1,-1.0
1,22:16:06.721282,22:16:33.683400,1,-1.0
1,22:16:06.721282,22:16:33.902139,1,-1.0
1,22:16:06.721282,22:16:34.109264,1,-1.0
1,22:16:06.721282,22:16:34.336244,1,-1.0
1,22:16:06.721282,22:16:34.561108,1,-1.0
1,22:16:06.721282,22:16:34.781251,1,-1.0
