Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:51:46.570078,15:51:48.147374,1,-1.0
1,15:51:46.570078,15:51:48.459944,1,-1.0
1,15:51:46.570078,15:51:48.703032,1,-1.0
1,15:51:46.570078,15:51:48.939617,1,-1.0
1,15:51:46.570078,15:51:49.172655,1,-1.0
1,15:51:46.570078,15:51:49.406233,1,-1.0
1,15:51:46.570078,15:51:49.629341,1,-1.0
1,15:51:46.570078,15:51:49.871989,1,-1.0
1,15:51:46.570078,15:51:50.079554,1,-1.0
1,15:51:46.570078,15:51:50.310627,1,-1.0
1,15:51:46.570078,15:51:50.557998,1,-1.0
1,15:51:46.570078,15:51:50.771883,1,-1.0
1,15:51:46.570078,15:51:51.027999,1,-1.0
1,15:51:46.570078,15:51:51.367470,-1,-1.0
1,15:51:46.570078,15:51:51.639850,-1,-1.0
1,15:51:46.570078,15:51:52.129024,-1,-1.0
1,15:51:46.570078,15:51:52.489979,-1,-1.0
1,15:51:46.570078,15:51:52.817811,-1,-1.0
1,15:51:46.570078,15:51:53.112474,-1,-1.0
1,15:51:46.570078,15:51:53.443122,-1,-1.0
1,15:51:46.570078,15:51:53.676699,-1,-1.0
1,15:51:46.570078,15:51:54.155068,1,-1.0
1,15:51:46.570078,15:51:54.722531,-1,-1.0
1,15:51:46.570078,15:51:55.274731,1,-1.0
1,15:51:46.570078,15:51:55.494418,1,-1.0
1,15:51:46.570078,15:51:55.709448,1,-1.0
1,15:51:46.570078,15:51:55.965481,1,-1.0
1,15:51:46.570078,15:51:56.193134,1,-1.0
1,15:51:46.570078,15:51:56.432562,1,-1.0
1,15:51:46.570078,15:51:56.709380,1,-1.0
1,15:51:46.570078,15:51:56.965361,1,-1.0
1,15:51:46.570078,15:51:57.209393,1,-1.0
1,15:51:46.570078,15:51:57.431338,1,-1.0
1,15:51:46.570078,15:51:57.669741,1,-1.0
1,15:51:46.570078,15:51:57.941290,1,-1.0
1,15:51:46.570078,15:51:58.174279,1,-1.0
1,15:51:46.570078,15:51:58.434683,1,-1.0
1,15:51:46.570078,15:51:58.701363,1,-1.0
1,15:51:46.570078,15:51:58.956395,1,-1.0
1,15:51:46.570078,15:51:59.206395,1,-1.0
1,15:51:46.570078,15:51:59.479027,-1,-1.0
1,15:51:46.570078,15:51:59.769738,-1,-1.0
1,15:51:46.570078,15:52:00.082204,-1,-1.0
1,15:51:46.570078,15:52:00.416026,-1,-1.0
1,15:51:46.570078,15:52:00.815579,-1,-1.0
1,15:51:46.570078,15:52:01.193011,-1,-1.0
1,15:51:46.570078,15:52:02.122799,1,-1.0
1,15:51:46.570078,15:52:02.784828,1,-1.0
1,15:51:46.570078,15:52:02.997802,1,-1.0
1,15:51:46.570078,15:52:03.232001,1,-1.0
1,15:51:46.570078,15:52:03.481041,1,-1.0
1,15:51:46.570078,15:52:03.720511,1,-1.0
1,15:51:46.570078,15:52:04.001057,1,-1.0
1,15:51:46.570078,15:52:04.257008,1,-1.0
1,15:51:46.570078,15:52:04.854438,-1,-1.0
1,15:51:46.570078,15:52:05.582003,-1,-1.0
1,15:51:46.570078,15:52:06.656695,-1,-1.0
1,15:51:46.570078,15:52:07.636003,-1,-1.0
1,15:51:46.570078,15:52:08.312358,-1,-1.0
1,15:51:46.570078,15:52:09.032873,-1,-1.0
1,15:51:46.570078,15:52:09.656869,1,-1.0
1,15:51:46.570078,15:52:10.048261,1,-1.0
1,15:51:46.570078,15:52:10.402907,1,-1.0
1,15:51:46.570078,15:52:10.976732,1,-1.0
1,15:51:46.570078,15:52:11.221469,1,-1.0
1,15:51:46.570078,15:52:11.461532,1,-1.0
1,15:51:46.570078,15:52:11.749624,1,-1.0
1,15:51:46.570078,15:52:11.998110,1,-1.0
