Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:56:46.581574,15:56:46.658885,1,-1.0
1,15:56:46.581574,15:56:46.837414,1,-1.0
1,15:56:46.581574,15:56:46.991921,1,-1.0
1,15:56:46.581574,15:56:47.154840,1,-1.0
1,15:56:46.581574,15:56:47.254484,1,-1.0
1,15:56:46.581574,15:56:47.460518,1,-1.0
1,15:56:46.581574,15:56:47.601040,1,-1.0
1,15:56:46.581574,15:56:47.744472,1,-1.0
1,15:56:46.581574,15:56:48.119830,1,-1.0
1,15:56:46.581574,15:56:48.473487,1,-1.0
1,15:56:46.581574,15:56:48.835110,1,-1.0
1,15:56:46.581574,15:56:49.187493,1,-1.0
1,15:56:46.581574,15:56:49.560387,1,-1.0
1,15:56:46.581574,15:56:49.942275,1,-1.0
1,15:56:46.581574,15:56:50.319727,1,-1.0
1,15:56:46.581574,15:56:51.432885,-1,-1.0
1,15:56:46.581574,15:56:51.834529,-1,-1.0
1,15:56:46.581574,15:56:52.197128,-1,-1.0
1,15:56:46.581574,15:56:52.600504,-1,-1.0
1,15:56:46.581574,15:56:53.046211,-1,-1.0
1,15:56:46.581574,15:56:53.522926,-1,-1.0
1,15:56:46.581574,15:56:53.925873,-1,-1.0
1,15:56:46.581574,15:56:54.433773,-1,-1.0
1,15:56:46.581574,15:56:55.093331,1,-1.0
1,15:56:46.581574,15:56:55.367305,1,-1.0
1,15:56:46.581574,15:56:55.634635,1,-1.0
1,15:56:46.581574,15:56:56.279894,-1,-1.0
1,15:56:46.581574,15:56:56.675619,-1,-1.0
1,15:56:46.581574,15:56:57.079616,-1,-1.0
1,15:56:46.581574,15:56:57.439803,-1,-1.0
1,15:56:46.581574,15:56:57.921042,1,-1.0
1,15:56:46.581574,15:56:58.186617,1,-1.0
1,15:56:46.581574,15:56:58.379330,1,-1.0
1,15:56:46.581574,15:56:58.562775,1,-1.0
1,15:56:46.581574,15:56:58.734457,1,-1.0
1,15:56:46.581574,15:56:58.908280,1,-1.0
1,15:56:46.581574,15:56:59.069735,1,-1.0
1,15:56:46.581574,15:56:59.234111,1,-1.0
1,15:56:46.581574,15:56:59.393741,1,-1.0
1,15:56:46.581574,15:56:59.553910,1,-1.0
1,15:56:46.581574,15:56:59.719100,1,-1.0
1,15:56:46.581574,15:56:59.881024,1,-1.0
1,15:56:46.581574,15:57:02.541867,-1,-1.0
1,15:56:46.581574,15:57:03.272012,-1,-1.0
1,15:56:46.581574,15:57:04.154445,-1,-1.0
1,15:56:46.581574,15:57:04.943480,-1,-1.0
1,15:56:46.581574,15:57:05.810348,1,-1.0
1,15:56:46.581574,15:57:06.386328,1,-1.0
1,15:56:46.581574,15:57:06.922464,1,-1.0
1,15:56:46.581574,15:57:07.518490,1,-1.0
1,15:56:46.581574,15:57:08.101421,1,-1.0
1,15:56:46.581574,15:57:08.750519,1,-1.0
1,15:56:46.581574,15:57:09.339401,1,-1.0
1,15:56:46.581574,15:57:10.062651,1,-1.0
1,15:56:46.581574,15:57:10.703122,1,-1.0
1,15:56:46.581574,15:57:12.505473,-1,-1.0
1,15:56:46.581574,15:57:13.114401,-1,-1.0
1,15:56:46.581574,15:57:13.700340,1,-1.0
1,15:56:46.581574,15:57:13.994158,1,-1.0
1,15:56:46.581574,15:57:14.144192,1,-1.0
1,15:56:46.581574,15:57:14.315128,1,-1.0
1,15:56:46.581574,15:57:14.496035,1,-1.0
1,15:56:46.581574,15:57:14.657852,1,-1.0
1,15:56:46.581574,15:57:14.820686,1,-1.0
1,15:56:46.581574,15:57:14.992793,1,-1.0
1,15:56:46.581574,15:57:15.175598,1,-1.0
1,15:56:46.581574,15:57:15.346506,1,-1.0
1,15:56:46.581574,15:57:15.540029,1,-1.0
1,15:56:46.581574,15:57:15.700858,1,-1.0
1,15:56:46.581574,15:57:16.061434,1,-1.0
1,15:56:46.581574,15:57:16.245485,1,-1.0
1,15:56:46.581574,15:57:16.400539,1,-1.0
1,15:56:46.581574,15:57:16.624996,1,-1.0
1,15:56:46.581574,15:57:16.819633,1,-1.0
1,15:56:46.581574,15:57:17.183844,1,-1.0
1,15:56:46.581574,15:57:17.375892,1,-1.0
1,15:56:46.581574,15:57:17.540833,1,-1.0
1,15:56:46.581574,15:57:17.722164,1,-1.0
1,15:56:46.581574,15:57:17.914276,1,-1.0
1,15:56:46.581574,15:57:18.119612,1,-1.0
1,15:56:46.581574,15:57:18.313730,1,-1.0
1,15:56:46.581574,15:57:18.494541,1,-1.0
1,15:56:46.581574,15:57:18.687113,1,-1.0
1,15:56:46.581574,15:57:19.119634,1,-1.0
1,15:56:46.581574,15:57:19.293880,1,-1.0
1,15:56:46.581574,15:57:19.467077,1,-1.0
1,15:56:46.581574,15:57:19.694293,1,-1.0
1,15:56:46.581574,15:57:19.896089,1,-1.0
1,15:56:46.581574,15:57:20.059116,1,-1.0
1,15:56:46.581574,15:57:20.294098,1,-1.0
1,15:56:46.581574,15:57:20.497341,1,-1.0
1,15:56:46.581574,15:57:20.679619,1,-1.0
1,15:56:46.581574,15:57:20.860279,1,-1.0
1,15:56:46.581574,15:57:21.050916,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,15:57:21.673982,15:57:22.658373,1,-1.0
2,15:57:21.673982,15:57:23.244012,1,-1.0
2,15:57:21.673982,15:57:23.458916,1,-1.0
2,15:57:21.673982,15:57:23.630907,1,-1.0
2,15:57:21.673982,15:57:23.805047,1,-1.0
2,15:57:21.673982,15:57:23.976206,1,-1.0
2,15:57:21.673982,15:57:24.148558,1,-1.0
2,15:57:21.673982,15:57:24.322051,1,-1.0
2,15:57:21.673982,15:57:24.483761,1,-1.0
2,15:57:21.673982,15:57:24.643361,1,-1.0
2,15:57:21.673982,15:57:24.813901,1,-1.0
2,15:57:21.673982,15:57:24.984445,1,-1.0
2,15:57:21.673982,15:57:25.156579,1,-1.0
2,15:57:21.673982,15:57:25.308606,1,-1.0
2,15:57:21.673982,15:57:25.482907,1,-1.0
2,15:57:21.673982,15:57:26.074148,-1,-1.0
2,15:57:21.673982,15:57:26.402725,-1,-1.0
2,15:57:21.673982,15:57:26.735179,-1,-1.0
2,15:57:21.673982,15:57:27.067979,-1,-1.0
2,15:57:21.673982,15:57:27.408481,-1,-1.0
2,15:57:21.673982,15:57:27.802453,-1,-1.0
2,15:57:21.673982,15:57:28.356749,1,-1.0
2,15:57:21.673982,15:57:28.549459,1,-1.0
2,15:57:21.673982,15:57:28.700226,1,-1.0
2,15:57:21.673982,15:57:28.882952,1,-1.0
2,15:57:21.673982,15:57:29.033739,1,-1.0
2,15:57:21.673982,15:57:29.199152,1,-1.0
2,15:57:21.673982,15:57:29.363632,1,-1.0
2,15:57:21.673982,15:57:29.533639,1,-1.0
2,15:57:21.673982,15:57:29.715561,1,-1.0
2,15:57:21.673982,15:57:29.867233,1,-1.0
2,15:57:21.673982,15:57:30.009950,1,-1.0
2,15:57:21.673982,15:57:30.214951,1,-1.0
2,15:57:21.673982,15:57:30.418305,1,-1.0
2,15:57:21.673982,15:57:30.570179,1,-1.0
2,15:57:21.673982,15:57:30.754262,1,-1.0
2,15:57:21.673982,15:57:30.947443,1,-1.0
2,15:57:21.673982,15:57:31.128339,1,-1.0
2,15:57:21.673982,15:57:31.291380,1,-1.0
2,15:57:21.673982,15:57:31.472438,1,-1.0
2,15:57:21.673982,15:57:31.674887,1,-1.0
2,15:57:21.673982,15:57:31.863399,1,-1.0
