Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:27:15.383982,14:27:16.881587,1,-1.0
1,14:27:15.383982,14:27:17.173095,1,-1.0
1,14:27:15.383982,14:27:17.458077,1,-1.0
1,14:27:15.383982,14:27:17.683097,1,-1.0
1,14:27:15.383982,14:27:18.035811,1,-1.0
1,14:27:15.383982,14:27:18.271646,1,-1.0
1,14:27:15.383982,14:27:18.715246,-1,-1.0
1,14:27:15.383982,14:27:19.353756,-1,-1.0
1,14:27:15.383982,14:27:19.598133,-1,-1.0
1,14:27:15.383982,14:27:19.895107,-1,-1.0
1,14:27:15.383982,14:27:20.153387,-1,-1.0
1,14:27:15.383982,14:27:20.922674,-1,-1.0
1,14:27:15.383982,14:27:21.155240,1,-1.0
1,14:27:15.383982,14:27:21.417531,1,-1.0
1,14:27:15.383982,14:27:21.622777,1,-1.0
1,14:27:15.383982,14:27:21.850767,1,-1.0
1,14:27:15.383982,14:27:22.193818,1,-1.0
1,14:27:15.383982,14:27:22.408098,1,-1.0
1,14:27:15.383982,14:27:22.652973,1,-1.0
1,14:27:15.383982,14:27:22.888463,1,-1.0
1,14:27:15.383982,14:27:23.078688,1,-1.0
1,14:27:15.383982,14:27:23.396848,1,-1.0
1,14:27:15.383982,14:27:23.653554,1,-1.0
1,14:27:15.383982,14:27:24.100144,1,-1.0
1,14:27:15.383982,14:27:24.408004,1,-1.0
1,14:27:15.383982,14:27:24.681539,1,-1.0
1,14:27:15.383982,14:27:24.969414,1,-1.0
1,14:27:15.383982,14:27:25.264600,1,-1.0
1,14:27:15.383982,14:27:26.376370,-1,-1.0
1,14:27:15.383982,14:27:26.694583,-1,-1.0
1,14:27:15.383982,14:27:27.105945,-1,-1.0
1,14:27:15.383982,14:27:27.505107,-1,-1.0
1,14:27:15.383982,14:27:27.897581,-1,-1.0
1,14:27:15.383982,14:27:28.196957,-1,-1.0
1,14:27:15.383982,14:27:28.873430,1,-1.0
1,14:27:15.383982,14:27:29.130934,1,-1.0
1,14:27:15.383982,14:27:29.375365,1,-1.0
1,14:27:15.383982,14:27:29.600425,1,-1.0
1,14:27:15.383982,14:27:29.817197,1,-1.0
1,14:27:15.383982,14:27:30.102100,1,-1.0
1,14:27:15.383982,14:27:30.380707,1,-1.0
1,14:27:15.383982,14:27:30.583031,1,-1.0
1,14:27:15.383982,14:27:30.860477,1,-1.0
1,14:27:15.383982,14:27:31.126818,1,-1.0
1,14:27:15.383982,14:27:31.402289,1,-1.0
1,14:27:15.383982,14:27:31.645468,1,-1.0
1,14:27:15.383982,14:27:31.915023,1,-1.0
1,14:27:15.383982,14:27:32.153062,1,-1.0
1,14:27:15.383982,14:27:32.416219,1,-1.0
1,14:27:15.383982,14:27:32.703690,1,-1.0
1,14:27:15.383982,14:27:32.982020,1,-1.0
1,14:27:15.383982,14:27:33.477172,1,-1.0
1,14:27:15.383982,14:27:33.766446,1,-1.0
1,14:27:15.383982,14:27:34.366875,1,-1.0
1,14:27:15.383982,14:27:34.623931,1,-1.0
1,14:27:15.383982,14:27:35.135841,1,-1.0
1,14:27:15.383982,14:27:35.822662,-1,-1.0
1,14:27:15.383982,14:27:36.094868,-1,-1.0
1,14:27:15.383982,14:27:36.417302,-1,-1.0
1,14:27:15.383982,14:27:37.228245,-1,-1.0
1,14:27:15.383982,14:27:37.655333,1,-1.0
1,14:27:15.383982,14:27:37.906257,1,-1.0
1,14:27:15.383982,14:27:38.200402,1,-1.0
1,14:27:15.383982,14:27:38.423045,1,-1.0
1,14:27:15.383982,14:27:38.666792,1,-1.0
1,14:27:15.383982,14:27:39.013609,1,-1.0
1,14:27:15.383982,14:27:39.276785,1,-1.0
1,14:27:15.383982,14:27:39.528988,1,-1.0
1,14:27:15.383982,14:27:39.804436,1,-1.0
1,14:27:15.383982,14:27:40.040896,1,-1.0
1,14:27:15.383982,14:27:40.265807,1,-1.0
1,14:27:15.383982,14:27:40.562145,1,-1.0
1,14:27:15.383982,14:27:40.815987,1,-1.0
1,14:27:15.383982,14:27:41.098634,1,-1.0
1,14:27:15.383982,14:27:41.365009,1,-1.0
1,14:27:15.383982,14:27:41.611622,1,-1.0
1,14:27:15.383982,14:27:41.866825,1,-1.0
1,14:27:15.383982,14:27:42.139912,1,-1.0
1,14:27:15.383982,14:27:42.385131,1,-1.0
1,14:27:15.383982,14:27:42.601157,1,-1.0
1,14:27:15.383982,14:27:42.865069,1,-1.0
1,14:27:15.383982,14:27:43.091669,1,-1.0
1,14:27:15.383982,14:27:43.306008,1,-1.0
1,14:27:15.383982,14:27:43.546782,1,-1.0
1,14:27:15.383982,14:27:43.772554,1,-1.0
1,14:27:15.383982,14:27:44.048371,1,-1.0
1,14:27:15.383982,14:27:44.272251,1,-1.0
1,14:27:15.383982,14:27:44.548898,1,-1.0
1,14:27:15.383982,14:27:44.831962,1,-1.0
1,14:27:15.383982,14:27:45.128315,1,-1.0
1,14:27:15.383982,14:27:45.533716,1,-1.0
1,14:27:15.383982,14:27:46.029416,1,-1.0
1,14:27:15.383982,14:27:46.393093,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,14:27:47.952094,14:27:48.058072,1,-1.0
2,14:27:47.952094,14:27:48.391866,1,-1.0
2,14:27:47.952094,14:27:49.266939,-1,-1.0
2,14:27:47.952094,14:27:49.532992,-1,-1.0
2,14:27:47.952094,14:27:49.832379,-1,-1.0
2,14:27:47.952094,14:27:50.471540,-1,-1.0
2,14:27:47.952094,14:27:50.854573,1,-1.0
2,14:27:47.952094,14:27:51.069665,1,-1.0
2,14:27:47.952094,14:27:51.343994,1,-1.0
2,14:27:47.952094,14:27:51.555997,1,-1.0
2,14:27:47.952094,14:27:51.832084,1,-1.0
2,14:27:47.952094,14:27:52.076986,1,-1.0
2,14:27:47.952094,14:27:52.311443,1,-1.0
2,14:27:47.952094,14:27:52.703404,1,-1.0
2,14:27:47.952094,14:27:52.948950,1,-1.0
2,14:27:47.952094,14:27:53.202563,1,-1.0
2,14:27:47.952094,14:27:53.447425,1,-1.0
2,14:27:47.952094,14:27:53.683346,1,-1.0
2,14:27:47.952094,14:27:53.941446,1,-1.0
2,14:27:47.952094,14:27:54.196837,1,-1.0
2,14:27:47.952094,14:27:54.451074,1,-1.0
2,14:27:47.952094,14:27:54.687535,1,-1.0
2,14:27:47.952094,14:27:54.948919,1,-1.0
2,14:27:47.952094,14:27:55.245043,1,-1.0
2,14:27:47.952094,14:27:55.621363,1,-1.0
2,14:27:47.952094,14:27:56.015814,1,-1.0
2,14:27:47.952094,14:27:56.346856,1,-1.0
2,14:27:47.952094,14:27:57.565686,1,-1.0
2,14:27:47.952094,14:27:57.822063,1,-1.0
2,14:27:47.952094,14:27:58.056238,1,-1.0
2,14:27:47.952094,14:27:58.311415,1,-1.0
2,14:27:47.952094,14:27:58.535272,1,-1.0
2,14:27:47.952094,14:27:59.112967,-1,-1.0
2,14:27:47.952094,14:27:59.444836,1,-1.0
2,14:27:47.952094,14:27:59.594001,1,-1.0
2,14:27:47.952094,14:27:59.747360,1,-1.0
2,14:27:47.952094,14:27:59.916347,1,-1.0
2,14:27:47.952094,14:28:00.068280,1,-1.0
2,14:27:47.952094,14:28:00.229774,1,-1.0
2,14:27:47.952094,14:28:00.391430,1,-1.0
2,14:27:47.952094,14:28:00.554819,1,-1.0
2,14:27:47.952094,14:28:00.716444,1,-1.0
2,14:27:47.952094,14:28:00.887667,1,-1.0
2,14:27:47.952094,14:28:01.059665,1,-1.0
2,14:27:47.952094,14:28:01.213316,1,-1.0
2,14:27:47.952094,14:28:01.398118,1,-1.0
2,14:27:47.952094,14:28:01.559373,1,-1.0
2,14:27:47.952094,14:28:01.712565,1,-1.0
2,14:27:47.952094,14:28:01.885001,1,-1.0
2,14:27:47.952094,14:28:02.037817,1,-1.0
2,14:27:47.952094,14:28:02.208975,1,-1.0
2,14:27:47.952094,14:28:02.361844,1,-1.0
2,14:27:47.952094,14:28:02.536722,1,-1.0
2,14:27:47.952094,14:28:02.689836,1,-1.0
2,14:27:47.952094,14:28:02.852784,1,-1.0
2,14:27:47.952094,14:28:03.033623,1,-1.0
2,14:27:47.952094,14:28:03.202896,1,-1.0
2,14:27:47.952094,14:28:03.352864,1,-1.0
2,14:27:47.952094,14:28:03.526417,1,-1.0
2,14:27:47.952094,14:28:03.698791,1,-1.0
2,14:27:47.952094,14:28:03.861949,1,-1.0
2,14:27:47.952094,14:28:04.034017,1,-1.0
2,14:27:47.952094,14:28:04.194666,1,-1.0
2,14:27:47.952094,14:28:04.358050,1,-1.0
2,14:27:47.952094,14:28:04.522277,1,-1.0
2,14:27:47.952094,14:28:04.674561,1,-1.0
2,14:27:47.952094,14:28:04.846666,1,-1.0
2,14:27:47.952094,14:28:05.001980,1,-1.0
2,14:27:47.952094,14:28:05.163440,1,-1.0
2,14:27:47.952094,14:28:05.324367,1,-1.0
2,14:27:47.952094,14:28:05.473732,1,-1.0
2,14:27:47.952094,14:28:05.646816,1,-1.0
2,14:27:47.952094,14:28:05.812645,1,-1.0
2,14:27:47.952094,14:28:05.963900,1,-1.0
2,14:27:47.952094,14:28:06.126308,1,-1.0
2,14:27:47.952094,14:28:06.301791,1,-1.0
2,14:27:47.952094,14:28:06.453060,1,-1.0
2,14:27:47.952094,14:28:06.625833,1,-1.0
2,14:27:47.952094,14:28:06.787869,1,-1.0
2,14:27:47.952094,14:28:06.952052,1,-1.0
2,14:27:47.952094,14:28:07.112916,1,-1.0
2,14:27:47.952094,14:28:07.278156,1,-1.0
2,14:27:47.952094,14:28:07.450690,1,-1.0
2,14:27:47.952094,14:28:07.614065,1,-1.0
2,14:27:47.952094,14:28:07.747286,-1,-1.0
