Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:59:27.977110,15:59:28.076741,1,-1.0
1,15:59:27.977110,15:59:28.240558,1,-1.0
1,15:59:27.977110,15:59:28.402690,1,-1.0
1,15:59:27.977110,15:59:28.567587,1,-1.0
1,15:59:27.977110,15:59:28.750094,1,-1.0
1,15:59:27.977110,15:59:28.913599,1,-1.0
1,15:59:27.977110,15:59:29.076882,1,-1.0
1,15:59:27.977110,15:59:29.259614,1,-1.0
1,15:59:27.977110,15:59:29.412734,1,-1.0
1,15:59:27.977110,15:59:29.585120,1,-1.0
1,15:59:27.977110,15:59:29.747859,1,-1.0
1,15:59:27.977110,15:59:29.951943,1,-1.0
1,15:59:27.977110,15:59:30.293806,1,-1.0
1,15:59:27.977110,15:59:30.513721,1,-1.0
1,15:59:27.977110,15:59:30.674795,1,-1.0
1,15:59:27.977110,15:59:30.845967,1,-1.0
1,15:59:27.977110,15:59:31.109081,1,-1.0
1,15:59:27.977110,15:59:31.281312,1,-1.0
1,15:59:27.977110,15:59:31.501523,-1,-1.0
1,15:59:27.977110,15:59:31.756647,-1,-1.0
1,15:59:27.977110,15:59:31.956502,-1,-1.0
1,15:59:27.977110,15:59:32.221251,-1,-1.0
1,15:59:27.977110,15:59:32.539479,-1,-1.0
1,15:59:27.977110,15:59:32.793685,-1,-1.0
1,15:59:27.977110,15:59:32.988246,-1,-1.0
1,15:59:27.977110,15:59:33.221474,-1,-1.0
1,15:59:27.977110,15:59:33.446993,-1,-1.0
1,15:59:27.977110,15:59:33.926094,-1,-1.0
1,15:59:27.977110,15:59:34.152264,1,-1.0
1,15:59:27.977110,15:59:34.542325,1,-1.0
1,15:59:27.977110,15:59:34.691793,1,-1.0
1,15:59:27.977110,15:59:34.854488,1,-1.0
1,15:59:27.977110,15:59:34.998213,1,-1.0
1,15:59:27.977110,15:59:35.271896,1,-1.0
1,15:59:27.977110,15:59:35.362233,1,-1.0
1,15:59:27.977110,15:59:35.676743,1,-1.0
1,15:59:27.977110,15:59:35.839430,1,-1.0
1,15:59:27.977110,15:59:35.989915,1,-1.0
1,15:59:27.977110,15:59:36.164730,1,-1.0
1,15:59:27.977110,15:59:36.317549,1,-1.0
1,15:59:27.977110,15:59:36.500878,1,-1.0
1,15:59:27.977110,15:59:36.651997,1,-1.0
1,15:59:27.977110,15:59:36.804620,1,-1.0
1,15:59:27.977110,15:59:36.986637,1,-1.0
1,15:59:27.977110,15:59:37.157671,1,-1.0
1,15:59:27.977110,15:59:37.318909,1,-1.0
1,15:59:27.977110,15:59:37.522114,1,-1.0
1,15:59:27.977110,15:59:38.070248,-1,-1.0
1,15:59:27.977110,15:59:38.345803,-1,-1.0
1,15:59:27.977110,15:59:38.568940,-1,-1.0
1,15:59:27.977110,15:59:38.800285,-1,-1.0
1,15:59:27.977110,15:59:39.012029,-1,-1.0
1,15:59:27.977110,15:59:39.246093,-1,-1.0
1,15:59:27.977110,15:59:39.689764,-1,-1.0
1,15:59:27.977110,15:59:40.077657,1,-1.0
1,15:59:27.977110,15:59:40.208808,1,-1.0
1,15:59:27.977110,15:59:40.348895,1,-1.0
1,15:59:27.977110,15:59:40.571083,1,-1.0
1,15:59:27.977110,15:59:40.713071,1,-1.0
1,15:59:27.977110,15:59:40.894793,1,-1.0
1,15:59:27.977110,15:59:41.059503,1,-1.0
1,15:59:27.977110,15:59:41.210294,1,-1.0
1,15:59:27.977110,15:59:41.361307,1,-1.0
1,15:59:27.977110,15:59:41.512363,1,-1.0
1,15:59:27.977110,15:59:41.662975,1,-1.0
1,15:59:27.977110,15:59:42.128834,1,-1.0
1,15:59:27.977110,15:59:42.374566,1,-1.0
1,15:59:27.977110,15:59:42.558630,1,-1.0
1,15:59:27.977110,15:59:42.729124,1,-1.0
1,15:59:27.977110,15:59:42.973647,1,-1.0
1,15:59:27.977110,15:59:43.136326,1,-1.0
1,15:59:27.977110,15:59:43.301028,1,-1.0
1,15:59:27.977110,15:59:43.487484,1,-1.0
1,15:59:27.977110,15:59:43.649102,1,-1.0
1,15:59:27.977110,15:59:43.835399,1,-1.0
1,15:59:27.977110,15:59:43.986321,1,-1.0
1,15:59:27.977110,15:59:44.146377,1,-1.0
1,15:59:27.977110,15:59:44.306528,1,-1.0
1,15:59:27.977110,15:59:44.490071,1,-1.0
1,15:59:27.977110,15:59:44.651678,1,-1.0
1,15:59:27.977110,15:59:45.449753,-1,-1.0
1,15:59:27.977110,15:59:45.705765,-1,-1.0
1,15:59:27.977110,15:59:45.960325,-1,-1.0
1,15:59:27.977110,15:59:46.192909,1,-1.0
1,15:59:27.977110,15:59:46.497882,1,-1.0
1,15:59:27.977110,15:59:46.678859,1,-1.0
1,15:59:27.977110,15:59:46.849517,1,-1.0
1,15:59:27.977110,15:59:47.021472,1,-1.0
