Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:46:13.567457,14:46:16.490402,1,-1.0
1,14:46:13.567457,14:46:16.680022,1,-1.0
1,14:46:13.567457,14:46:16.893412,1,-1.0
1,14:46:13.567457,14:46:17.171969,1,-1.0
1,14:46:13.567457,14:46:17.401429,1,-1.0
1,14:46:13.567457,14:46:17.602709,1,-1.0
1,14:46:13.567457,14:46:17.757468,1,-1.0
1,14:46:13.567457,14:46:17.931338,1,-1.0
1,14:46:13.567457,14:46:18.106230,1,-1.0
1,14:46:13.567457,14:46:18.289763,1,-1.0
1,14:46:13.567457,14:46:18.462742,1,-1.0
1,14:46:13.567457,14:46:18.653184,1,-1.0
1,14:46:13.567457,14:46:18.846527,1,-1.0
1,14:46:13.567457,14:46:18.977763,1,-1.0
1,14:46:13.567457,14:46:19.221456,1,-1.0
1,14:46:13.567457,14:46:19.378220,1,-1.0
1,14:46:13.567457,14:46:19.560588,1,-1.0
1,14:46:13.567457,14:46:19.730678,1,-1.0
1,14:46:13.567457,14:46:20.168203,1,-1.0
1,14:46:13.567457,14:46:20.608420,1,-1.0
1,14:46:13.567457,14:46:20.871119,-1,-1.0
1,14:46:13.567457,14:46:21.094607,-1,-1.0
1,14:46:13.567457,14:46:21.457529,-1,-1.0
1,14:46:13.567457,14:46:21.641185,-1,-1.0
1,14:46:13.567457,14:46:21.812701,-1,-1.0
1,14:46:13.567457,14:46:21.986359,-1,-1.0
1,14:46:13.567457,14:46:22.218601,-1,-1.0
1,14:46:13.567457,14:46:22.411961,-1,-1.0
1,14:46:13.567457,14:46:22.775927,1,-1.0
1,14:46:13.567457,14:46:22.950468,1,-1.0
1,14:46:13.567457,14:46:23.112164,1,-1.0
1,14:46:13.567457,14:46:23.266703,1,-1.0
1,14:46:13.567457,14:46:23.439723,1,-1.0
1,14:46:13.567457,14:46:23.611623,1,-1.0
1,14:46:13.567457,14:46:23.772878,1,-1.0
1,14:46:13.567457,14:46:23.974990,1,-1.0
1,14:46:13.567457,14:46:24.096650,1,-1.0
1,14:46:13.567457,14:46:24.259663,1,-1.0
1,14:46:13.567457,14:46:24.431701,1,-1.0
1,14:46:13.567457,14:46:24.577779,1,-1.0
1,14:46:13.567457,14:46:24.731310,1,-1.0
1,14:46:13.567457,14:46:25.134939,1,-1.0
1,14:46:13.567457,14:46:25.340338,1,-1.0
1,14:46:13.567457,14:46:25.511474,1,-1.0
1,14:46:13.567457,14:46:25.745471,1,-1.0
1,14:46:13.567457,14:46:25.940643,1,-1.0
1,14:46:13.567457,14:46:26.189475,1,-1.0
1,14:46:13.567457,14:46:26.383039,1,-1.0
1,14:46:13.567457,14:46:26.630601,1,-1.0
1,14:46:13.567457,14:46:26.815551,1,-1.0
1,14:46:13.567457,14:46:27.008714,1,-1.0
1,14:46:13.567457,14:46:27.205191,1,-1.0
1,14:46:13.567457,14:46:27.407834,1,-1.0
1,14:46:13.567457,14:46:27.601317,1,-1.0
1,14:46:13.567457,14:46:27.786881,1,-1.0
1,14:46:13.567457,14:46:27.988965,1,-1.0
1,14:46:13.567457,14:46:28.183925,1,-1.0
1,14:46:13.567457,14:46:28.356931,1,-1.0
1,14:46:13.567457,14:46:28.540881,1,-1.0
1,14:46:13.567457,14:46:28.757150,1,-1.0
1,14:46:13.567457,14:46:28.931147,1,-1.0
1,14:46:13.567457,14:46:29.126746,1,-1.0
1,14:46:13.567457,14:46:29.308668,1,-1.0
1,14:46:13.567457,14:46:29.511306,1,-1.0
1,14:46:13.567457,14:46:29.672757,1,-1.0
1,14:46:13.567457,14:46:29.867451,1,-1.0
1,14:46:13.567457,14:46:30.090628,1,-1.0
1,14:46:13.567457,14:46:30.327754,1,-1.0
1,14:46:13.567457,14:46:30.509780,1,-1.0
1,14:46:13.567457,14:46:30.733021,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,14:46:31.355746,14:46:31.926665,1,-1.0
2,14:46:31.355746,14:46:32.163586,1,-1.0
2,14:46:31.355746,14:46:32.347707,1,-1.0
2,14:46:31.355746,14:46:32.500423,1,-1.0
2,14:46:31.355746,14:46:32.952311,1,-1.0
2,14:46:31.355746,14:46:33.137064,1,-1.0
2,14:46:31.355746,14:46:33.301148,1,-1.0
2,14:46:31.355746,14:46:33.738436,1,-1.0
2,14:46:31.355746,14:46:33.881525,1,-1.0
2,14:46:31.355746,14:46:34.261788,1,-1.0
2,14:46:31.355746,14:46:34.402785,1,-1.0
2,14:46:31.355746,14:46:34.596047,1,-1.0
2,14:46:31.355746,14:46:34.779658,1,-1.0
2,14:46:31.355746,14:46:35.193545,1,-1.0
2,14:46:31.355746,14:46:35.416504,1,-1.0
2,14:46:31.355746,14:46:36.147566,-1,-1.0
2,14:46:31.355746,14:46:36.412676,-1,-1.0
2,14:46:31.355746,14:46:36.623670,-1,-1.0
2,14:46:31.355746,14:46:36.917109,-1,-1.0
2,14:46:31.355746,14:46:37.156486,-1,-1.0
2,14:46:31.355746,14:46:37.372465,-1,-1.0
2,14:46:31.355746,14:46:37.565705,-1,-1.0
2,14:46:31.355746,14:46:37.762818,-1,-1.0
2,14:46:31.355746,14:46:38.229436,-1,-1.0
2,14:46:31.355746,14:46:38.532926,1,-1.0
2,14:46:31.355746,14:46:38.717928,1,-1.0
2,14:46:31.355746,14:46:38.871558,1,-1.0
2,14:46:31.355746,14:46:39.047738,1,-1.0
2,14:46:31.355746,14:46:39.209908,1,-1.0
2,14:46:31.355746,14:46:39.362556,1,-1.0
2,14:46:31.355746,14:46:39.526415,1,-1.0
2,14:46:31.355746,14:46:39.708327,1,-1.0
2,14:46:31.355746,14:46:39.876704,1,-1.0
2,14:46:31.355746,14:46:40.068260,1,-1.0
2,14:46:31.355746,14:46:40.840483,1,-1.0
2,14:46:31.355746,14:46:41.033079,1,-1.0
2,14:46:31.355746,14:46:41.205829,1,-1.0
2,14:46:31.355746,14:46:41.378436,1,-1.0
2,14:46:31.355746,14:46:41.551838,1,-1.0
2,14:46:31.355746,14:46:41.724871,1,-1.0
2,14:46:31.355746,14:46:41.896793,1,-1.0
2,14:46:31.355746,14:46:42.069602,1,-1.0
2,14:46:31.355746,14:46:42.260961,1,-1.0
2,14:46:31.355746,14:46:42.434572,1,-1.0
2,14:46:31.355746,14:46:42.603555,1,-1.0
2,14:46:31.355746,14:46:42.798431,1,-1.0
2,14:46:31.355746,14:46:43.012281,1,-1.0
2,14:46:31.355746,14:46:43.320137,-1,-1.0
2,14:46:31.355746,14:46:43.598685,-1,-1.0
