Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,10:40:39.473213,10:40:39.517180,1,-1.0
1,10:40:39.473213,10:40:39.696801,1,-1.0
1,10:40:39.473213,10:40:39.911421,1,-1.0
1,10:40:39.473213,10:40:40.070678,1,-1.0
1,10:40:39.473213,10:40:40.262351,1,-1.0
1,10:40:39.473213,10:40:40.483676,-1,-1.0
1,10:40:39.473213,10:40:40.749875,-1,-1.0
1,10:40:39.473213,10:40:41.160623,-1,-1.0
1,10:40:39.473213,10:40:41.508697,-1,-1.0
1,10:40:39.473213,10:40:41.841209,1,-1.0
1,10:40:39.473213,10:40:42.087228,-1,-1.0
1,10:40:39.473213,10:40:42.328136,1,-1.0
1,10:40:39.473213,10:40:42.482597,1,-1.0
1,10:40:39.473213,10:40:42.631813,1,-1.0
1,10:40:39.473213,10:40:42.779698,1,-1.0
1,10:40:39.473213,10:40:42.932232,1,-1.0
1,10:40:39.473213,10:40:43.101555,1,-1.0
1,10:40:39.473213,10:40:43.238501,1,-1.0
1,10:40:39.473213,10:40:43.377977,1,-1.0
1,10:40:39.473213,10:40:43.503292,1,-1.0
1,10:40:39.473213,10:40:43.711580,1,-1.0
1,10:40:39.473213,10:40:43.848994,1,-1.0
1,10:40:39.473213,10:40:43.997587,1,-1.0
1,10:40:39.473213,10:40:44.192884,1,-1.0
1,10:40:39.473213,10:40:44.330917,1,-1.0
1,10:40:39.473213,10:40:44.492427,1,-1.0
1,10:40:39.473213,10:40:44.646326,1,-1.0
1,10:40:39.473213,10:40:44.799774,1,-1.0
1,10:40:39.473213,10:40:44.959499,1,-1.0
1,10:40:39.473213,10:40:45.112277,1,-1.0
1,10:40:39.473213,10:40:45.282311,1,-1.0
1,10:40:39.473213,10:40:45.433143,1,-1.0
1,10:40:39.473213,10:40:45.616458,1,-1.0
1,10:40:39.473213,10:40:45.816284,1,-1.0
1,10:40:39.473213,10:40:46.095768,-1,-1.0
1,10:40:39.473213,10:40:46.371684,-1,-1.0
1,10:40:39.473213,10:40:46.592390,-1,-1.0
1,10:40:39.473213,10:40:46.933586,-1,-1.0
1,10:40:39.473213,10:40:47.269968,-1,-1.0
1,10:40:39.473213,10:40:47.559425,-1,-1.0
1,10:40:39.473213,10:40:47.860359,-1,-1.0
1,10:40:39.473213,10:40:48.172616,-1,-1.0
1,10:40:39.473213,10:40:48.744439,1,-1.0
1,10:40:39.473213,10:40:48.896787,1,-1.0
1,10:40:39.473213,10:40:49.056693,1,-1.0
1,10:40:39.473213,10:40:49.211305,1,-1.0
1,10:40:39.473213,10:40:49.355801,1,-1.0
1,10:40:39.473213,10:40:49.504450,1,-1.0
1,10:40:39.473213,10:40:49.653090,1,-1.0
1,10:40:39.473213,10:40:49.814665,1,-1.0
1,10:40:39.473213,10:40:49.975065,1,-1.0
1,10:40:39.473213,10:40:50.240885,1,-1.0
1,10:40:39.473213,10:40:50.379113,1,-1.0
1,10:40:39.473213,10:40:50.523244,1,-1.0
1,10:40:39.473213,10:40:50.680308,1,-1.0
1,10:40:39.473213,10:40:51.229655,1,-1.0
1,10:40:39.473213,10:40:51.569754,1,-1.0
1,10:40:39.473213,10:40:51.734173,1,-1.0
1,10:40:39.473213,10:40:51.920394,1,-1.0
1,10:40:39.473213,10:40:52.121581,1,-1.0
1,10:40:39.473213,10:40:53.522767,-1,-1.0
1,10:40:39.473213,10:40:53.915104,-1,-1.0
1,10:40:39.473213,10:40:54.380340,1,-1.0
1,10:40:39.473213,10:40:54.536000,1,-1.0
1,10:40:39.473213,10:40:54.674950,1,-1.0
1,10:40:39.473213,10:40:54.818925,1,-1.0
1,10:40:39.473213,10:40:54.968942,1,-1.0
1,10:40:39.473213,10:40:55.141052,1,-1.0
1,10:40:39.473213,10:40:55.289749,1,-1.0
1,10:40:39.473213,10:40:55.440155,1,-1.0
1,10:40:39.473213,10:40:55.604152,1,-1.0
1,10:40:39.473213,10:40:55.740386,1,-1.0
1,10:40:39.473213,10:40:55.976047,1,-1.0
1,10:40:39.473213,10:40:56.102847,1,-1.0
1,10:40:39.473213,10:40:56.360273,1,-1.0
1,10:40:39.473213,10:40:56.446943,1,-1.0
1,10:40:39.473213,10:40:56.536341,1,-1.0
1,10:40:39.473213,10:40:56.645696,1,-1.0
1,10:40:39.473213,10:40:56.906077,1,-1.0
1,10:40:39.473213,10:40:57.004900,1,-1.0
1,10:40:39.473213,10:40:57.123941,1,-1.0
1,10:40:39.473213,10:40:57.278210,1,-1.0
1,10:40:39.473213,10:40:57.406942,1,-1.0
1,10:40:39.473213,10:40:57.539728,1,-1.0
1,10:40:39.473213,10:40:57.901187,1,-1.0
1,10:40:39.473213,10:40:58.063972,1,-1.0
1,10:40:39.473213,10:40:58.177065,1,-1.0
1,10:40:39.473213,10:40:58.296782,1,-1.0
1,10:40:39.473213,10:40:58.473380,1,-1.0
1,10:40:39.473213,10:40:58.642306,1,-1.0
1,10:40:39.473213,10:40:58.740976,1,-1.0
1,10:40:39.473213,10:40:58.998228,1,-1.0
1,10:40:39.473213,10:40:59.174349,1,-1.0
1,10:40:39.473213,10:40:59.331922,1,-1.0
1,10:40:39.473213,10:40:59.499060,1,-1.0
1,10:40:39.473213,10:40:59.665621,1,-1.0
1,10:40:39.473213,10:40:59.811803,1,-1.0
1,10:40:39.473213,10:41:00.006293,1,-1.0
1,10:40:39.473213,10:41:00.147979,1,-1.0
1,10:40:39.473213,10:41:00.306356,1,-1.0
1,10:40:39.473213,10:41:00.486685,1,-1.0
1,10:40:39.473213,10:41:00.681059,1,-1.0
1,10:40:39.473213,10:41:00.869521,1,-1.0
1,10:40:39.473213,10:41:01.043910,1,-1.0
1,10:40:39.473213,10:41:01.217124,1,-1.0
1,10:40:39.473213,10:41:01.392019,1,-1.0
1,10:40:39.473213,10:41:01.595460,1,-1.0
1,10:40:39.473213,10:41:01.778962,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,10:41:02.722976,10:41:03.290545,1,-1.0
2,10:41:02.722976,10:41:03.485914,1,-1.0
2,10:41:02.722976,10:41:03.671753,1,-1.0
2,10:41:02.722976,10:41:03.837098,1,-1.0
2,10:41:02.722976,10:41:04.011279,1,-1.0
2,10:41:02.722976,10:41:04.186240,1,-1.0
2,10:41:02.722976,10:41:04.340042,1,-1.0
2,10:41:02.722976,10:41:04.515632,1,-1.0
2,10:41:02.722976,10:41:04.684449,1,-1.0
2,10:41:02.722976,10:41:04.854677,1,-1.0
2,10:41:02.722976,10:41:05.008248,1,-1.0
2,10:41:02.722976,10:41:05.183877,1,-1.0
2,10:41:02.722976,10:41:05.339812,1,-1.0
2,10:41:02.722976,10:41:05.515088,1,-1.0
2,10:41:02.722976,10:41:05.685188,1,-1.0
2,10:41:02.722976,10:41:05.841590,1,-1.0
2,10:41:02.722976,10:41:06.032493,1,-1.0
2,10:41:02.722976,10:41:06.194346,1,-1.0
2,10:41:02.722976,10:41:06.368089,1,-1.0
2,10:41:02.722976,10:41:06.537478,1,-1.0
2,10:41:02.722976,10:41:07.026198,-1,-1.0
2,10:41:02.722976,10:41:07.339949,-1,-1.0
2,10:41:02.722976,10:41:07.676132,-1,-1.0
2,10:41:02.722976,10:41:08.003566,-1,-1.0
2,10:41:02.722976,10:41:08.639141,1,-1.0
2,10:41:02.722976,10:41:08.795608,1,-1.0
2,10:41:02.722976,10:41:08.981196,1,-1.0
2,10:41:02.722976,10:41:09.182066,1,-1.0
2,10:41:02.722976,10:41:09.370798,1,-1.0
2,10:41:02.722976,10:41:09.561598,1,-1.0
2,10:41:02.722976,10:41:09.765066,1,-1.0
2,10:41:02.722976,10:41:09.974087,1,-1.0
2,10:41:02.722976,10:41:10.169267,1,-1.0
2,10:41:02.722976,10:41:10.338436,1,-1.0
2,10:41:02.722976,10:41:10.549440,1,-1.0
2,10:41:02.722976,10:41:10.737083,1,-1.0
2,10:41:02.722976,10:41:10.948087,1,-1.0
2,10:41:02.722976,10:41:11.108849,1,-1.0
2,10:41:02.722976,10:41:11.349018,1,-1.0
2,10:41:02.722976,10:41:11.545027,1,-1.0
2,10:41:02.722976,10:41:11.700075,1,-1.0
2,10:41:02.722976,10:41:11.902280,1,-1.0
2,10:41:02.722976,10:41:12.081553,1,-1.0
2,10:41:02.722976,10:41:12.284067,1,-1.0
2,10:41:02.722976,10:41:12.475449,1,-1.0
2,10:41:02.722976,10:41:12.641281,1,-1.0
2,10:41:02.722976,10:41:12.838798,1,-1.0
2,10:41:02.722976,10:41:14.561403,1,-1.0
2,10:41:02.722976,10:41:14.721498,1,-1.0
2,10:41:02.722976,10:41:14.883035,1,-1.0
2,10:41:02.722976,10:41:15.080405,1,-1.0
2,10:41:02.722976,10:41:15.252760,1,-1.0
2,10:41:02.722976,10:41:15.456453,1,-1.0
