Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:24:05.752712,16:24:07.466510,1,-1.0
1,16:24:05.752712,16:24:07.820154,1,-1.0
1,16:24:05.752712,16:24:08.697343,-1,-1.0
1,16:24:05.752712,16:24:09.201440,-1,-1.0
1,16:24:05.752712,16:24:09.705134,-1,-1.0
1,16:24:05.752712,16:24:10.018889,1,-1.0
1,16:24:05.752712,16:24:10.305410,1,-1.0
1,16:24:05.752712,16:24:10.571049,1,-1.0
1,16:24:05.752712,16:24:10.784195,1,-1.0
1,16:24:05.752712,16:24:11.019023,1,-1.0
1,16:24:05.752712,16:24:11.263665,1,-1.0
1,16:24:05.752712,16:24:11.519428,1,-1.0
1,16:24:05.752712,16:24:11.753295,1,-1.0
1,16:24:05.752712,16:24:11.988985,1,-1.0
1,16:24:05.752712,16:24:12.257142,1,-1.0
1,16:24:05.752712,16:24:12.501688,1,-1.0
1,16:24:05.752712,16:24:12.814306,1,-1.0
1,16:24:05.752712,16:24:13.061496,1,-1.0
1,16:24:05.752712,16:24:13.331322,1,-1.0
1,16:24:05.752712,16:24:13.576995,1,-1.0
1,16:24:05.752712,16:24:13.852189,1,-1.0
1,16:24:05.752712,16:24:14.117655,1,-1.0
1,16:24:05.752712,16:24:14.387119,1,-1.0
1,16:24:05.752712,16:24:14.652025,1,-1.0
1,16:24:05.752712,16:24:14.965802,1,-1.0
1,16:24:05.752712,16:24:15.240779,1,-1.0
1,16:24:05.752712,16:24:15.503745,1,-1.0
1,16:24:05.752712,16:24:15.969935,-1,-1.0
1,16:24:05.752712,16:24:16.234121,-1,-1.0
1,16:24:05.752712,16:24:16.498203,-1,-1.0
1,16:24:05.752712,16:24:16.808736,-1,-1.0
1,16:24:05.752712,16:24:17.153202,-1,-1.0
1,16:24:05.752712,16:24:17.449471,-1,-1.0
1,16:24:05.752712,16:24:17.809355,-1,-1.0
1,16:24:05.752712,16:24:18.302079,-1,-1.0
1,16:24:05.752712,16:24:18.778899,-1,-1.0
1,16:24:05.752712,16:24:19.019576,-1,-1.0
1,16:24:05.752712,16:24:19.422839,-1,-1.0
1,16:24:05.752712,16:24:19.888722,1,-1.0
1,16:24:05.752712,16:24:20.199701,1,-1.0
1,16:24:05.752712,16:24:20.434290,1,-1.0
1,16:24:05.752712,16:24:20.702973,1,-1.0
1,16:24:05.752712,16:24:20.924552,1,-1.0
1,16:24:05.752712,16:24:21.202882,1,-1.0
1,16:24:05.752712,16:24:21.449418,1,-1.0
1,16:24:05.752712,16:24:21.718817,1,-1.0
1,16:24:05.752712,16:24:21.958179,1,-1.0
1,16:24:05.752712,16:24:22.238795,1,-1.0
1,16:24:05.752712,16:24:22.516617,1,-1.0
1,16:24:05.752712,16:24:22.829302,1,-1.0
1,16:24:05.752712,16:24:23.416239,1,-1.0
1,16:24:05.752712,16:24:23.694198,1,-1.0
1,16:24:05.752712,16:24:24.001327,1,-1.0
1,16:24:05.752712,16:24:24.321293,1,-1.0
1,16:24:05.752712,16:24:24.599223,1,-1.0
1,16:24:05.752712,16:24:24.899162,1,-1.0
1,16:24:05.752712,16:24:25.363892,-1,-1.0
1,16:24:05.752712,16:24:25.674234,-1,-1.0
1,16:24:05.752712,16:24:25.998126,-1,-1.0
1,16:24:05.752712,16:24:26.520331,1,-1.0
1,16:24:05.752712,16:24:26.807914,1,-1.0
1,16:24:05.752712,16:24:27.194006,1,-1.0
1,16:24:05.752712,16:24:27.418445,1,-1.0
1,16:24:05.752712,16:24:27.673179,1,-1.0
1,16:24:05.752712,16:24:27.937168,1,-1.0
1,16:24:05.752712,16:24:28.192379,1,-1.0
1,16:24:05.752712,16:24:28.422832,1,-1.0
1,16:24:05.752712,16:24:28.657252,1,-1.0
1,16:24:05.752712,16:24:28.910034,1,-1.0
1,16:24:05.752712,16:24:29.143778,1,-1.0
1,16:24:05.752712,16:24:29.405007,1,-1.0
1,16:24:05.752712,16:24:29.668998,1,-1.0
1,16:24:05.752712,16:24:29.915810,1,-1.0
1,16:24:05.752712,16:24:30.176261,1,-1.0
1,16:24:05.752712,16:24:30.440253,1,-1.0
1,16:24:05.752712,16:24:30.749014,1,-1.0
1,16:24:05.752712,16:24:31.027109,1,-1.0
1,16:24:05.752712,16:24:31.302711,1,-1.0
1,16:24:05.752712,16:24:31.526230,1,-1.0
1,16:24:05.752712,16:24:31.798915,1,-1.0
1,16:24:05.752712,16:24:32.069333,1,-1.0
1,16:24:05.752712,16:24:32.315128,1,-1.0
1,16:24:05.752712,16:24:32.557426,1,-1.0
1,16:24:05.752712,16:24:32.831319,1,-1.0
1,16:24:05.752712,16:24:33.063693,1,-1.0
1,16:24:05.752712,16:24:33.370069,1,-1.0
1,16:24:05.752712,16:24:33.679330,1,-1.0
1,16:24:05.752712,16:24:33.925609,1,-1.0
1,16:24:05.752712,16:24:34.210469,1,-1.0
1,16:24:05.752712,16:24:34.478398,1,-1.0
1,16:24:05.752712,16:24:34.755270,1,-1.0
1,16:24:05.752712,16:24:35.062944,1,-1.0
1,16:24:05.752712,16:24:35.309276,1,-1.0
1,16:24:05.752712,16:24:35.604182,1,-1.0
1,16:24:05.752712,16:24:35.932847,1,-1.0
1,16:24:05.752712,16:24:36.262889,1,-1.0
1,16:24:05.752712,16:24:36.571838,1,-1.0
1,16:24:05.752712,16:24:36.879993,1,-1.0
1,16:24:05.752712,16:24:37.162353,1,-1.0
1,16:24:05.752712,16:24:37.472270,1,-1.0
1,16:24:05.752712,16:24:37.777261,1,-1.0
1,16:24:05.752712,16:24:38.065460,1,-1.0
1,16:24:05.752712,16:24:38.386552,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,16:24:38.696766,16:24:38.985986,-1,-1.0
2,16:24:38.696766,16:24:39.242722,-1,-1.0
2,16:24:38.696766,16:24:39.798800,-1,-1.0
2,16:24:38.696766,16:24:40.172620,1,-1.0
2,16:24:38.696766,16:24:40.469034,1,-1.0
2,16:24:38.696766,16:24:40.718732,1,-1.0
2,16:24:38.696766,16:24:40.987680,1,-1.0
2,16:24:38.696766,16:24:41.243872,1,-1.0
2,16:24:38.696766,16:24:41.509023,1,-1.0
2,16:24:38.696766,16:24:41.794231,1,-1.0
2,16:24:38.696766,16:24:42.061071,1,-1.0
2,16:24:38.696766,16:24:42.334275,1,-1.0
2,16:24:38.696766,16:24:42.791176,-1,-1.0
2,16:24:38.696766,16:24:43.085818,-1,-1.0
2,16:24:38.696766,16:24:43.386526,-1,-1.0
2,16:24:38.696766,16:24:43.675272,-1,-1.0
2,16:24:38.696766,16:24:44.000264,-1,-1.0
2,16:24:38.696766,16:24:44.498230,1,-1.0
2,16:24:38.696766,16:24:44.754754,1,-1.0
2,16:24:38.696766,16:24:44.968083,1,-1.0
2,16:24:38.696766,16:24:45.197079,1,-1.0
2,16:24:38.696766,16:24:45.446214,1,-1.0
2,16:24:38.696766,16:24:45.674065,1,-1.0
2,16:24:38.696766,16:24:45.919886,1,-1.0
2,16:24:38.696766,16:24:46.146213,1,-1.0
2,16:24:38.696766,16:24:46.386791,1,-1.0
