Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:01:49.551106,16:02:00.461480,1,-1.0
1,16:01:49.551106,16:02:00.978737,1,-1.0
1,16:01:49.551106,16:02:01.271919,1,-1.0
1,16:01:49.551106,16:02:02.632482,-1,-1.0
1,16:01:49.551106,16:02:02.874117,-1,-1.0
1,16:01:49.551106,16:02:03.118157,-1,-1.0
1,16:01:49.551106,16:02:03.886569,-1,-1.0
1,16:01:49.551106,16:02:04.266965,1,-1.0
1,16:01:49.551106,16:02:04.653968,1,-1.0
1,16:01:49.551106,16:02:04.949814,1,-1.0
1,16:01:49.551106,16:02:05.149148,1,-1.0
1,16:01:49.551106,16:02:05.390087,1,-1.0
1,16:01:49.551106,16:02:05.886898,1,-1.0
1,16:01:49.551106,16:02:06.030631,1,-1.0
1,16:01:49.551106,16:02:06.156669,1,-1.0
1,16:01:49.551106,16:02:06.303669,1,-1.0
1,16:01:49.551106,16:02:06.443370,1,-1.0
1,16:01:49.551106,16:02:06.571398,1,-1.0
1,16:01:49.551106,16:02:06.709757,1,-1.0
1,16:01:49.551106,16:02:06.860502,1,-1.0
1,16:01:49.551106,16:02:07.009354,1,-1.0
1,16:01:49.551106,16:02:07.137451,1,-1.0
1,16:01:49.551106,16:02:07.282291,1,-1.0
1,16:01:49.551106,16:02:07.420527,1,-1.0
1,16:01:49.551106,16:02:07.548871,1,-1.0
1,16:01:49.551106,16:02:07.671013,1,-1.0
1,16:01:49.551106,16:02:07.797877,1,-1.0
1,16:01:49.551106,16:02:07.926990,1,-1.0
1,16:01:49.551106,16:02:08.181300,1,-1.0
1,16:01:49.551106,16:02:08.342521,1,-1.0
1,16:01:49.551106,16:02:08.502591,1,-1.0
1,16:01:49.551106,16:02:08.661551,1,-1.0
1,16:01:49.551106,16:02:08.789506,1,-1.0
1,16:01:49.551106,16:02:08.952057,1,-1.0
1,16:01:49.551106,16:02:09.131321,1,-1.0
1,16:01:49.551106,16:02:09.261433,1,-1.0
1,16:01:49.551106,16:02:09.405124,1,-1.0
1,16:01:49.551106,16:02:09.565157,1,-1.0
1,16:01:49.551106,16:02:09.747164,1,-1.0
1,16:01:49.551106,16:02:09.864330,1,-1.0
1,16:01:49.551106,16:02:10.013818,1,-1.0
1,16:01:49.551106,16:02:10.169004,1,-1.0
1,16:01:49.551106,16:02:10.322896,1,-1.0
1,16:01:49.551106,16:02:10.472088,1,-1.0
1,16:01:49.551106,16:02:10.631172,1,-1.0
1,16:01:49.551106,16:02:10.792576,1,-1.0
1,16:01:49.551106,16:02:10.950984,1,-1.0
1,16:01:49.551106,16:02:11.110042,1,-1.0
1,16:01:49.551106,16:02:11.267714,1,-1.0
1,16:01:49.551106,16:02:11.425659,1,-1.0
1,16:01:49.551106,16:02:11.566935,1,-1.0
1,16:01:49.551106,16:02:11.700742,1,-1.0
1,16:01:49.551106,16:02:11.851861,1,-1.0
1,16:01:49.551106,16:02:11.982225,1,-1.0
1,16:01:49.551106,16:02:12.133428,1,-1.0
1,16:01:49.551106,16:02:12.266895,1,-1.0
1,16:01:49.551106,16:02:12.428896,1,-1.0
1,16:01:49.551106,16:02:12.565402,1,-1.0
1,16:01:49.551106,16:02:12.699273,1,-1.0
1,16:01:49.551106,16:02:12.830232,1,-1.0
1,16:01:49.551106,16:02:12.984131,1,-1.0
1,16:01:49.551106,16:02:13.132889,1,-1.0
1,16:01:49.551106,16:02:13.275708,1,-1.0
1,16:01:49.551106,16:02:13.403419,1,-1.0
1,16:01:49.551106,16:02:13.540841,1,-1.0
1,16:01:49.551106,16:02:13.662658,1,-1.0
1,16:01:49.551106,16:02:13.801020,1,-1.0
1,16:01:49.551106,16:02:13.932797,1,-1.0
1,16:01:49.551106,16:02:14.049586,1,-1.0
1,16:01:49.551106,16:02:14.189499,1,-1.0
