Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:43:38.984167,14:43:40.736826,1,-1.0
1,14:43:38.984167,14:43:40.992927,1,-1.0
1,14:43:38.984167,14:43:41.273418,1,-1.0
1,14:43:38.984167,14:43:41.623288,1,-1.0
1,14:43:38.984167,14:43:41.911038,1,-1.0
1,14:43:38.984167,14:43:42.148242,1,-1.0
1,14:43:38.984167,14:43:42.408414,1,-1.0
1,14:43:38.984167,14:43:42.674720,1,-1.0
1,14:43:38.984167,14:43:42.919254,1,-1.0
1,14:43:38.984167,14:43:43.172826,1,-1.0
1,14:43:38.984167,14:43:43.438208,1,-1.0
1,14:43:38.984167,14:43:43.684418,1,-1.0
1,14:43:38.984167,14:43:43.952615,1,-1.0
1,14:43:38.984167,14:43:44.224879,1,-1.0
1,14:43:38.984167,14:43:44.490700,1,-1.0
1,14:43:38.984167,14:43:44.863180,-1,-1.0
1,14:43:38.984167,14:43:45.197483,-1,-1.0
1,14:43:38.984167,14:43:45.473406,-1,-1.0
1,14:43:38.984167,14:43:46.077342,-1,-1.0
1,14:43:38.984167,14:43:46.464521,-1,-1.0
1,14:43:38.984167,14:43:46.806651,-1,-1.0
1,14:43:38.984167,14:43:47.161108,-1,-1.0
1,14:43:38.984167,14:43:47.467463,-1,-1.0
1,14:43:38.984167,14:43:47.945777,-1,-1.0
1,14:43:38.984167,14:43:48.438867,1,-1.0
1,14:43:38.984167,14:43:48.676574,1,-1.0
1,14:43:38.984167,14:43:48.889354,1,-1.0
1,14:43:38.984167,14:43:49.174895,1,-1.0
1,14:43:38.984167,14:43:49.416420,1,-1.0
1,14:43:38.984167,14:43:49.651139,1,-1.0
1,14:43:38.984167,14:43:49.888330,1,-1.0
1,14:43:38.984167,14:43:50.164178,1,-1.0
1,14:43:38.984167,14:43:50.410860,1,-1.0
1,14:43:38.984167,14:43:50.641821,1,-1.0
1,14:43:38.984167,14:43:50.888614,1,-1.0
1,14:43:38.984167,14:43:51.133947,1,-1.0
1,14:43:38.984167,14:43:51.378689,1,-1.0
1,14:43:38.984167,14:43:51.621689,1,-1.0
1,14:43:38.984167,14:43:51.868558,1,-1.0
1,14:43:38.984167,14:43:52.135030,1,-1.0
1,14:43:38.984167,14:43:52.410718,1,-1.0
1,14:43:38.984167,14:43:52.660961,1,-1.0
1,14:43:38.984167,14:43:52.914873,1,-1.0
1,14:43:38.984167,14:43:53.148083,1,-1.0
1,14:43:38.984167,14:43:53.397612,1,-1.0
1,14:43:38.984167,14:43:53.649601,1,-1.0
1,14:43:38.984167,14:43:53.904811,1,-1.0
1,14:43:38.984167,14:43:54.165915,1,-1.0
1,14:43:38.984167,14:43:54.420999,1,-1.0
1,14:43:38.984167,14:43:54.685306,1,-1.0
1,14:43:38.984167,14:43:54.965469,1,-1.0
1,14:43:38.984167,14:43:55.217889,1,-1.0
1,14:43:38.984167,14:43:55.485027,1,-1.0
1,14:43:38.984167,14:43:55.755529,1,-1.0
1,14:43:38.984167,14:43:55.989982,1,-1.0
1,14:43:38.984167,14:43:56.227937,1,-1.0
1,14:43:38.984167,14:43:56.469433,1,-1.0
1,14:43:38.984167,14:43:56.718931,1,-1.0
1,14:43:38.984167,14:43:57.102832,1,-1.0
1,14:43:38.984167,14:43:57.500071,1,-1.0
1,14:43:38.984167,14:43:57.928697,1,-1.0
1,14:43:38.984167,14:43:59.003398,1,-1.0
1,14:43:38.984167,14:43:59.393707,-1,-1.0
1,14:43:38.984167,14:43:59.679460,-1,-1.0
1,14:43:38.984167,14:44:00.333368,-1,-1.0
1,14:43:38.984167,14:44:00.662126,-1,-1.0
1,14:43:38.984167,14:44:00.977534,-1,-1.0
1,14:43:38.984167,14:44:01.349606,-1,-1.0
1,14:43:38.984167,14:44:01.769047,-1,-1.0
1,14:43:38.984167,14:44:02.544640,1,-1.0
1,14:43:38.984167,14:44:02.957735,1,-1.0
1,14:43:38.984167,14:44:03.262147,1,-1.0
1,14:43:38.984167,14:44:03.680130,1,-1.0
1,14:43:38.984167,14:44:03.913564,1,-1.0
1,14:43:38.984167,14:44:04.566794,1,-1.0
1,14:43:38.984167,14:44:04.905008,1,-1.0
1,14:43:38.984167,14:44:05.185664,1,-1.0
1,14:43:38.984167,14:44:05.426056,1,-1.0
1,14:43:38.984167,14:44:05.690945,1,-1.0
1,14:43:38.984167,14:44:06.036084,1,-1.0
1,14:43:38.984167,14:44:06.382906,1,-1.0
1,14:43:38.984167,14:44:06.976683,-1,-1.0
1,14:43:38.984167,14:44:07.255957,-1,-1.0
1,14:43:38.984167,14:44:07.791443,1,-1.0
1,14:43:38.984167,14:44:08.044687,1,-1.0
1,14:43:38.984167,14:44:08.364879,1,-1.0
1,14:43:38.984167,14:44:08.619001,1,-1.0
1,14:43:38.984167,14:44:08.924186,1,-1.0
1,14:43:38.984167,14:44:09.149243,1,-1.0
1,14:43:38.984167,14:44:09.444385,1,-1.0
1,14:43:38.984167,14:44:09.723855,1,-1.0
1,14:43:38.984167,14:44:09.976388,1,-1.0
1,14:43:38.984167,14:44:10.231705,1,-1.0
1,14:43:38.984167,14:44:10.505998,1,-1.0
1,14:43:38.984167,14:44:10.784571,1,-1.0
1,14:43:38.984167,14:44:11.088462,1,-1.0
1,14:43:38.984167,14:44:11.511884,1,-1.0
1,14:43:38.984167,14:44:11.778968,1,-1.0
1,14:43:38.984167,14:44:12.065266,1,-1.0
1,14:43:38.984167,14:44:12.349154,1,-1.0
1,14:43:38.984167,14:44:12.682203,1,-1.0
1,14:43:38.984167,14:44:12.969269,1,-1.0
1,14:43:38.984167,14:44:13.247192,1,-1.0
1,14:43:38.984167,14:44:13.502862,1,-1.0
1,14:43:38.984167,14:44:13.757847,1,-1.0
1,14:43:38.984167,14:44:14.061530,1,-1.0
1,14:43:38.984167,14:44:14.313495,1,-1.0
1,14:43:38.984167,14:44:14.622452,1,-1.0
1,14:43:38.984167,14:44:14.902908,1,-1.0
1,14:43:38.984167,14:44:15.233359,1,-1.0
1,14:43:38.984167,14:44:16.492975,1,-1.0
