Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:47:16.372138,15:47:16.994241,1,-1.0
1,15:47:16.372138,15:47:17.189670,1,-1.0
1,15:47:16.372138,15:47:17.371451,1,-1.0
1,15:47:16.372138,15:47:17.553404,1,-1.0
1,15:47:16.372138,15:47:17.713631,1,-1.0
1,15:47:16.372138,15:47:17.885499,1,-1.0
1,15:47:16.372138,15:47:18.036333,1,-1.0
1,15:47:16.372138,15:47:18.198190,1,-1.0
1,15:47:16.372138,15:47:18.347831,1,-1.0
1,15:47:16.372138,15:47:18.498803,1,-1.0
1,15:47:16.372138,15:47:18.652572,1,-1.0
1,15:47:16.372138,15:47:18.843385,1,-1.0
1,15:47:16.372138,15:47:19.004914,1,-1.0
1,15:47:16.372138,15:47:19.168587,1,-1.0
1,15:47:16.372138,15:47:19.320094,1,-1.0
1,15:47:16.372138,15:47:19.488334,1,-1.0
1,15:47:16.372138,15:47:20.014632,-1,-1.0
1,15:47:16.372138,15:47:20.196901,-1,-1.0
1,15:47:16.372138,15:47:20.337308,-1,-1.0
1,15:47:16.372138,15:47:20.488246,-1,-1.0
1,15:47:16.372138,15:47:20.648246,-1,-1.0
1,15:47:16.372138,15:47:20.799593,-1,-1.0
1,15:47:16.372138,15:47:20.962454,-1,-1.0
1,15:47:16.372138,15:47:21.114185,-1,-1.0
1,15:47:16.372138,15:47:21.286540,-1,-1.0
1,15:47:16.372138,15:47:21.437872,-1,-1.0
1,15:47:16.372138,15:47:21.820874,1,-1.0
1,15:47:16.372138,15:47:22.000508,1,-1.0
1,15:47:16.372138,15:47:22.151128,1,-1.0
1,15:47:16.372138,15:47:22.303255,1,-1.0
1,15:47:16.372138,15:47:22.466637,1,-1.0
1,15:47:16.372138,15:47:22.777568,1,-1.0
1,15:47:16.372138,15:47:22.991929,1,-1.0
1,15:47:16.372138,15:47:23.216109,1,-1.0
1,15:47:16.372138,15:47:23.368934,1,-1.0
1,15:47:16.372138,15:47:23.518186,1,-1.0
1,15:47:16.372138,15:47:23.760643,1,-1.0
1,15:47:16.372138,15:47:23.911181,1,-1.0
1,15:47:16.372138,15:47:24.054368,1,-1.0
1,15:47:16.372138,15:47:24.217568,1,-1.0
1,15:47:16.372138,15:47:24.378245,1,-1.0
1,15:47:16.372138,15:47:24.525358,1,-1.0
1,15:47:16.372138,15:47:24.677287,1,-1.0
1,15:47:16.372138,15:47:25.085366,-1,-1.0
1,15:47:16.372138,15:47:25.225697,-1,-1.0
1,15:47:16.372138,15:47:25.397017,-1,-1.0
1,15:47:16.372138,15:47:25.547773,-1,-1.0
1,15:47:16.372138,15:47:25.890045,-1,-1.0
1,15:47:16.372138,15:47:26.272415,-1,-1.0
1,15:47:16.372138,15:47:26.455936,-1,-1.0
1,15:47:16.372138,15:47:26.815587,1,-1.0
1,15:47:16.372138,15:47:26.967162,1,-1.0
1,15:47:16.372138,15:47:28.630535,-1,-1.0
1,15:47:16.372138,15:47:28.804416,-1,-1.0
1,15:47:16.372138,15:47:28.935720,-1,-1.0
1,15:47:16.372138,15:47:29.086395,-1,-1.0
1,15:47:16.372138,15:47:29.807553,1,-1.0
1,15:47:16.372138,15:47:29.988725,1,-1.0
1,15:47:16.372138,15:47:30.140113,1,-1.0
1,15:47:16.372138,15:47:30.302432,1,-1.0
1,15:47:16.372138,15:47:30.456106,1,-1.0
1,15:47:16.372138,15:47:30.636454,1,-1.0
1,15:47:16.372138,15:47:30.788991,1,-1.0
1,15:47:16.372138,15:47:30.981562,1,-1.0
1,15:47:16.372138,15:47:31.155836,1,-1.0
1,15:47:16.372138,15:47:31.325716,1,-1.0
1,15:47:16.372138,15:47:31.511422,1,-1.0
1,15:47:16.372138,15:47:31.707752,1,-1.0
1,15:47:16.372138,15:47:31.899367,1,-1.0
1,15:47:16.372138,15:47:32.039672,1,-1.0
1,15:47:16.372138,15:47:32.283517,1,-1.0
1,15:47:16.372138,15:47:32.477713,1,-1.0
1,15:47:16.372138,15:47:32.939677,1,-1.0
1,15:47:16.372138,15:47:33.134348,1,-1.0
1,15:47:16.372138,15:47:33.336074,1,-1.0
1,15:47:16.372138,15:47:33.566431,1,-1.0
1,15:47:16.372138,15:47:34.157297,-1,-1.0
1,15:47:16.372138,15:47:34.348346,-1,-1.0
1,15:47:16.372138,15:47:34.519026,-1,-1.0
1,15:47:16.372138,15:47:34.901310,-1,-1.0
1,15:47:16.372138,15:47:35.244251,1,-1.0
1,15:47:16.372138,15:47:35.427453,1,-1.0
1,15:47:16.372138,15:47:35.579268,1,-1.0
1,15:47:16.372138,15:47:35.780576,1,-1.0
1,15:47:16.372138,15:47:35.957511,1,-1.0
1,15:47:16.372138,15:47:36.108373,1,-1.0
1,15:47:16.372138,15:47:36.308456,1,-1.0
1,15:47:16.372138,15:47:36.479256,1,-1.0
1,15:47:16.372138,15:47:36.852564,1,-1.0
1,15:47:16.372138,15:47:37.046473,1,-1.0
1,15:47:16.372138,15:47:37.226267,1,-1.0
1,15:47:16.372138,15:47:37.376596,1,-1.0
1,15:47:16.372138,15:47:37.548813,1,-1.0
1,15:47:16.372138,15:47:37.721112,1,-1.0
1,15:47:16.372138,15:47:37.956057,1,-1.0
1,15:47:16.372138,15:47:38.107545,1,-1.0
1,15:47:16.372138,15:47:38.288268,1,-1.0
1,15:47:16.372138,15:47:38.450858,1,-1.0
1,15:47:16.372138,15:47:38.605335,1,-1.0
1,15:47:16.372138,15:47:38.767594,1,-1.0
1,15:47:16.372138,15:47:38.926562,1,-1.0
1,15:47:16.372138,15:47:39.088024,1,-1.0
1,15:47:16.372138,15:47:39.249957,1,-1.0
1,15:47:16.372138,15:47:39.420017,1,-1.0
1,15:47:16.372138,15:47:39.602558,1,-1.0
1,15:47:16.372138,15:47:39.758164,1,-1.0
1,15:47:16.372138,15:47:39.930858,1,-1.0
1,15:47:16.372138,15:47:40.113072,1,-1.0
1,15:47:16.372138,15:47:40.285626,1,-1.0
1,15:47:16.372138,15:47:40.456431,1,-1.0
1,15:47:16.372138,15:47:40.628773,1,-1.0
1,15:47:16.372138,15:47:40.799685,1,-1.0
1,15:47:16.372138,15:47:40.964402,1,-1.0
1,15:47:16.372138,15:47:41.136739,1,-1.0
1,15:47:16.372138,15:47:41.338551,1,-1.0
1,15:47:16.372138,15:47:41.490451,1,-1.0
1,15:47:16.372138,15:47:41.630314,1,-1.0
1,15:47:16.372138,15:47:41.792231,1,-1.0
1,15:47:16.372138,15:47:41.973659,1,-1.0
1,15:47:16.372138,15:47:42.147685,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,15:47:42.779372,15:47:43.201104,1,-1.0
2,15:47:42.779372,15:47:43.363375,1,-1.0
2,15:47:42.779372,15:47:43.545504,1,-1.0
2,15:47:42.779372,15:47:43.726517,1,-1.0
2,15:47:42.779372,15:47:43.897996,1,-1.0
2,15:47:42.779372,15:47:44.069924,1,-1.0
2,15:47:42.779372,15:47:44.240532,1,-1.0
2,15:47:42.779372,15:47:44.421190,1,-1.0
2,15:47:42.779372,15:47:44.594189,1,-1.0
2,15:47:42.779372,15:47:44.767931,1,-1.0
2,15:47:42.779372,15:47:44.938917,1,-1.0
2,15:47:42.779372,15:47:45.109524,1,-1.0
2,15:47:42.779372,15:47:45.279729,1,-1.0
2,15:47:42.779372,15:47:45.440799,1,-1.0
2,15:47:42.779372,15:47:45.603067,1,-1.0
2,15:47:42.779372,15:47:45.768494,1,-1.0
2,15:47:42.779372,15:47:45.959964,1,-1.0
2,15:47:42.779372,15:47:46.124272,1,-1.0
2,15:47:42.779372,15:47:46.297603,1,-1.0
2,15:47:42.779372,15:47:46.470505,1,-1.0
2,15:47:42.779372,15:47:46.652140,1,-1.0
2,15:47:42.779372,15:47:46.814684,1,-1.0
2,15:47:42.779372,15:47:47.010223,1,-1.0
2,15:47:42.779372,15:47:47.204540,1,-1.0
2,15:47:42.779372,15:47:47.532223,-1,-1.0
2,15:47:42.779372,15:47:47.724555,-1,-1.0
2,15:47:42.779372,15:47:47.896489,-1,-1.0
2,15:47:42.779372,15:47:48.077729,-1,-1.0
2,15:47:42.779372,15:47:48.281267,-1,-1.0
2,15:47:42.779372,15:47:48.714815,-1,-1.0
2,15:47:42.779372,15:47:48.898371,-1,-1.0
2,15:47:42.779372,15:47:49.279019,-1,-1.0
2,15:47:42.779372,15:47:49.628269,1,-1.0
2,15:47:42.779372,15:47:49.798127,1,-1.0
2,15:47:42.779372,15:47:49.966911,1,-1.0
2,15:47:42.779372,15:47:50.130090,1,-1.0
2,15:47:42.779372,15:47:50.303045,1,-1.0
2,15:47:42.779372,15:47:50.487667,1,-1.0
2,15:47:42.779372,15:47:50.669963,1,-1.0
2,15:47:42.779372,15:47:50.841611,1,-1.0
2,15:47:42.779372,15:47:51.014179,1,-1.0
2,15:47:42.779372,15:47:51.186280,1,-1.0
2,15:47:42.779372,15:47:51.358566,1,-1.0
2,15:47:42.779372,15:47:51.540335,1,-1.0
2,15:47:42.779372,15:47:51.705443,1,-1.0
2,15:47:42.779372,15:47:51.876408,1,-1.0
2,15:47:42.779372,15:47:52.036764,1,-1.0
2,15:47:42.779372,15:47:52.199711,1,-1.0
2,15:47:42.779372,15:47:52.476320,1,-1.0
2,15:47:42.779372,15:47:52.760465,1,-1.0
2,15:47:42.779372,15:47:52.976194,1,-1.0
2,15:47:42.779372,15:47:53.790391,1,-1.0
2,15:47:42.779372,15:47:55.464931,1,-1.0
2,15:47:42.779372,15:47:55.638810,1,-1.0
2,15:47:42.779372,15:47:55.835862,1,-1.0
2,15:47:42.779372,15:47:56.028312,1,-1.0
2,15:47:42.779372,15:47:56.190205,1,-1.0
2,15:47:42.779372,15:47:56.353382,1,-1.0
2,15:47:42.779372,15:47:56.532222,1,-1.0
2,15:47:42.779372,15:47:56.713576,1,-1.0
2,15:47:42.779372,15:47:56.885250,1,-1.0
2,15:47:42.779372,15:47:57.080230,1,-1.0
2,15:47:42.779372,15:47:57.261448,1,-1.0
2,15:47:42.779372,15:47:57.413567,1,-1.0
2,15:47:42.779372,15:47:57.588309,1,-1.0
2,15:47:42.779372,15:47:57.760028,1,-1.0
2,15:47:42.779372,15:47:57.933352,1,-1.0
2,15:47:42.779372,15:47:58.089146,1,-1.0
2,15:47:42.779372,15:47:58.261505,1,-1.0
2,15:47:42.779372,15:47:58.436339,1,-1.0
2,15:47:42.779372,15:47:58.600019,1,-1.0
2,15:47:42.779372,15:47:58.790848,1,-1.0
2,15:47:42.779372,15:47:58.994653,1,-1.0
2,15:47:42.779372,15:47:59.158190,1,-1.0
2,15:47:42.779372,15:47:59.350031,1,-1.0
2,15:47:42.779372,15:47:59.526393,1,-1.0
2,15:47:42.779372,15:47:59.698429,1,-1.0
2,15:47:42.779372,15:47:59.889881,1,-1.0
2,15:47:42.779372,15:48:00.043869,1,-1.0
2,15:47:42.779372,15:48:00.217605,1,-1.0
2,15:47:42.779372,15:48:00.408536,1,-1.0
2,15:47:42.779372,15:48:00.601274,1,-1.0
2,15:47:42.779372,15:48:00.824130,1,-1.0
2,15:47:42.779372,15:48:00.995597,1,-1.0
2,15:47:42.779372,15:48:01.196302,1,-1.0
2,15:47:42.779372,15:48:01.406657,1,-1.0
2,15:47:42.779372,15:48:01.589452,1,-1.0
2,15:47:42.779372,15:48:01.779737,1,-1.0
2,15:47:42.779372,15:48:01.983472,1,-1.0
2,15:47:42.779372,15:48:02.187766,1,-1.0
2,15:47:42.779372,15:48:02.379814,1,-1.0
2,15:47:42.779372,15:48:02.571608,1,-1.0
2,15:47:42.779372,15:48:02.764346,1,-1.0
2,15:47:42.779372,15:48:02.955719,1,-1.0
