Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:49:34.124024,14:49:35.552898,1,-1.0
1,14:49:34.124024,14:49:35.703994,1,-1.0
1,14:49:34.124024,14:49:35.970704,1,-1.0
1,14:49:34.124024,14:49:36.332736,1,-1.0
1,14:49:34.124024,14:49:36.706221,1,-1.0
1,14:49:34.124024,14:49:36.855932,1,-1.0
1,14:49:34.124024,14:49:37.010039,1,-1.0
1,14:49:34.124024,14:49:37.171548,1,-1.0
1,14:49:34.124024,14:49:37.313585,1,-1.0
1,14:49:34.124024,14:49:37.465721,1,-1.0
1,14:49:34.124024,14:49:37.627953,1,-1.0
1,14:49:34.124024,14:49:37.771071,1,-1.0
1,14:49:34.124024,14:49:37.944908,1,-1.0
1,14:49:34.124024,14:49:38.115823,1,-1.0
1,14:49:34.124024,14:49:38.267824,1,-1.0
1,14:49:34.124024,14:49:38.439952,1,-1.0
1,14:49:34.124024,14:49:38.593506,1,-1.0
1,14:49:34.124024,14:49:38.743757,1,-1.0
1,14:49:34.124024,14:49:38.916156,1,-1.0
1,14:49:34.124024,14:49:39.078243,1,-1.0
1,14:49:34.124024,14:49:39.241516,1,-1.0
1,14:49:34.124024,14:49:39.394393,1,-1.0
1,14:49:34.124024,14:49:39.568226,1,-1.0
1,14:49:34.124024,14:49:39.779953,1,-1.0
1,14:49:34.124024,14:49:39.979702,1,-1.0
1,14:49:34.124024,14:49:40.323560,1,-1.0
1,14:49:34.124024,14:49:40.475191,1,-1.0
1,14:49:34.124024,14:49:41.532705,-1,-1.0
1,14:49:34.124024,14:49:41.686737,-1,-1.0
1,14:49:34.124024,14:49:41.828537,-1,-1.0
1,14:49:34.124024,14:49:41.981140,-1,-1.0
1,14:49:34.124024,14:49:42.201508,-1,-1.0
1,14:49:34.124024,14:49:42.434668,-1,-1.0
1,14:49:34.124024,14:49:42.668822,-1,-1.0
1,14:49:34.124024,14:49:42.913879,-1,-1.0
1,14:49:34.124024,14:49:43.118137,-1,-1.0
1,14:49:34.124024,14:49:43.300726,-1,-1.0
1,14:49:34.124024,14:49:43.675469,1,-1.0
1,14:49:34.124024,14:49:43.816949,1,-1.0
1,14:49:34.124024,14:49:43.978100,1,-1.0
1,14:49:34.124024,14:49:44.140948,1,-1.0
1,14:49:34.124024,14:49:44.303374,1,-1.0
1,14:49:34.124024,14:49:44.488481,1,-1.0
1,14:49:34.124024,14:49:44.659807,1,-1.0
1,14:49:34.124024,14:49:44.811565,1,-1.0
1,14:49:34.124024,14:49:44.976092,1,-1.0
1,14:49:34.124024,14:49:45.149743,1,-1.0
1,14:49:34.124024,14:49:45.311144,1,-1.0
1,14:49:34.124024,14:49:45.441163,1,-1.0
1,14:49:34.124024,14:49:45.617363,1,-1.0
1,14:49:34.124024,14:49:45.849123,1,-1.0
1,14:49:34.124024,14:49:46.020856,1,-1.0
1,14:49:34.124024,14:49:46.206538,1,-1.0
1,14:49:34.124024,14:49:46.388715,1,-1.0
1,14:49:34.124024,14:49:46.560954,1,-1.0
1,14:49:34.124024,14:49:46.724205,1,-1.0
1,14:49:34.124024,14:49:46.895140,1,-1.0
1,14:49:34.124024,14:49:47.058237,1,-1.0
1,14:49:34.124024,14:49:47.228496,1,-1.0
1,14:49:34.124024,14:49:47.403451,1,-1.0
1,14:49:34.124024,14:49:47.587734,1,-1.0
1,14:49:34.124024,14:49:47.750719,1,-1.0
1,14:49:34.124024,14:49:47.925455,1,-1.0
1,14:49:34.124024,14:49:48.098189,1,-1.0
1,14:49:34.124024,14:49:48.268301,1,-1.0
1,14:49:34.124024,14:49:48.438332,1,-1.0
1,14:49:34.124024,14:49:48.599281,1,-1.0
1,14:49:34.124024,14:49:48.774456,1,-1.0
1,14:49:34.124024,14:49:48.938880,1,-1.0
1,14:49:34.124024,14:49:49.599893,-1,-1.0
1,14:49:34.124024,14:49:49.821358,-1,-1.0
1,14:49:34.124024,14:49:50.045237,-1,-1.0
1,14:49:34.124024,14:49:50.258036,-1,-1.0
1,14:49:34.124024,14:49:50.634711,-1,-1.0
1,14:49:34.124024,14:49:50.846968,-1,-1.0
1,14:49:34.124024,14:49:51.305156,-1,-1.0
1,14:49:34.124024,14:49:51.712757,-1,-1.0
1,14:49:34.124024,14:49:52.045123,1,-1.0
1,14:49:34.124024,14:49:52.556367,1,-1.0
1,14:49:34.124024,14:49:52.720827,1,-1.0
1,14:49:34.124024,14:49:52.903665,1,-1.0
1,14:49:34.124024,14:49:53.080945,1,-1.0
1,14:49:34.124024,14:49:53.256281,1,-1.0
1,14:49:34.124024,14:49:53.429495,1,-1.0
1,14:49:34.124024,14:49:53.601132,1,-1.0
1,14:49:34.124024,14:49:53.781510,1,-1.0
1,14:49:34.124024,14:49:53.954519,1,-1.0
1,14:49:34.124024,14:49:54.127096,1,-1.0
1,14:49:34.124024,14:49:54.432701,1,-1.0
1,14:49:34.124024,14:49:54.638611,1,-1.0
1,14:49:34.124024,14:49:54.820207,1,-1.0
1,14:49:34.124024,14:49:55.032765,1,-1.0
1,14:49:34.124024,14:49:55.217831,1,-1.0
1,14:49:34.124024,14:49:55.410685,1,-1.0
1,14:49:34.124024,14:49:55.601315,1,-1.0
1,14:49:34.124024,14:49:55.776601,1,-1.0
1,14:49:34.124024,14:49:55.919704,1,-1.0
1,14:49:34.124024,14:49:56.334670,-1,-1.0
1,14:49:34.124024,14:49:56.590821,-1,-1.0
1,14:49:34.124024,14:49:57.567052,1,-1.0
1,14:49:34.124024,14:49:57.738941,1,-1.0
1,14:49:34.124024,14:49:57.941500,1,-1.0
1,14:49:34.124024,14:49:58.134635,1,-1.0
1,14:49:34.124024,14:49:58.328726,1,-1.0
1,14:49:34.124024,14:49:58.708070,1,-1.0
1,14:49:34.124024,14:49:58.901560,1,-1.0
1,14:49:34.124024,14:49:59.093268,1,-1.0
1,14:49:34.124024,14:49:59.285934,1,-1.0
1,14:49:34.124024,14:49:59.459099,1,-1.0
1,14:49:34.124024,14:49:59.651408,1,-1.0
1,14:49:34.124024,14:49:59.845891,1,-1.0
1,14:49:34.124024,14:50:00.038218,1,-1.0
1,14:49:34.124024,14:50:00.231500,1,-1.0
1,14:49:34.124024,14:50:00.582120,1,-1.0
1,14:49:34.124024,14:50:00.776396,1,-1.0
1,14:49:34.124024,14:50:01.008755,1,-1.0
1,14:49:34.124024,14:50:01.255796,1,-1.0
1,14:49:34.124024,14:50:01.482655,1,-1.0
1,14:49:34.124024,14:50:01.715834,1,-1.0
1,14:49:34.124024,14:50:01.941817,1,-1.0
1,14:49:34.124024,14:50:02.150641,1,-1.0
1,14:49:34.124024,14:50:02.344927,1,-1.0
1,14:49:34.124024,14:50:02.539560,1,-1.0
1,14:49:34.124024,14:50:02.705807,1,-1.0
1,14:49:34.124024,14:50:02.869169,1,-1.0
1,14:49:34.124024,14:50:03.418567,1,-1.0
1,14:49:34.124024,14:50:03.599399,1,-1.0
1,14:49:34.124024,14:50:03.782255,1,-1.0
1,14:49:34.124024,14:50:04.031867,1,-1.0
1,14:49:34.124024,14:50:04.234669,1,-1.0
1,14:49:34.124024,14:50:04.479034,1,-1.0
1,14:49:34.124024,14:50:04.629555,1,-1.0
