Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:27:38.386227,16:27:40.480641,1,-1.0
1,16:27:38.386227,16:27:41.268209,1,-1.0
1,16:27:38.386227,16:27:41.533048,1,-1.0
1,16:27:38.386227,16:27:41.778592,1,-1.0
1,16:27:38.386227,16:27:42.013516,1,-1.0
1,16:27:38.386227,16:27:42.228258,1,-1.0
1,16:27:38.386227,16:27:42.452000,1,-1.0
1,16:27:38.386227,16:27:42.678375,1,-1.0
1,16:27:38.386227,16:27:43.217279,1,-1.0
1,16:27:38.386227,16:27:43.452295,1,-1.0
1,16:27:38.386227,16:27:43.689411,1,-1.0
1,16:27:38.386227,16:27:45.568893,1,-1.0
1,16:27:38.386227,16:27:46.127379,1,-1.0
1,16:27:38.386227,16:27:47.333460,1,-1.0
1,16:27:38.386227,16:27:47.538148,1,-1.0
1,16:27:38.386227,16:27:47.741556,1,-1.0
1,16:27:38.386227,16:27:47.936898,1,-1.0
1,16:27:38.386227,16:27:48.149380,1,-1.0
1,16:27:38.386227,16:27:48.351510,1,-1.0
1,16:27:38.386227,16:27:48.575877,1,-1.0
1,16:27:38.386227,16:27:48.791176,1,-1.0
1,16:27:38.386227,16:27:48.993040,1,-1.0
1,16:27:38.386227,16:27:49.175606,1,-1.0
1,16:27:38.386227,16:27:49.378321,1,-1.0
1,16:27:38.386227,16:27:49.643744,1,-1.0
1,16:27:38.386227,16:27:49.859452,1,-1.0
