Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,19:42:35.257659,19:42:36.653916,1,-1.0
1,19:42:35.257659,19:42:36.941234,1,-1.0
1,19:42:35.257659,19:42:37.314163,1,-1.0
1,19:42:35.257659,19:42:37.558521,1,-1.0
1,19:42:35.257659,19:42:37.748599,1,-1.0
1,19:42:35.257659,19:42:37.961801,1,-1.0
1,19:42:35.257659,19:42:38.163169,1,-1.0
1,19:42:35.257659,19:42:38.354529,1,-1.0
1,19:42:35.257659,19:42:38.579980,1,-1.0
1,19:42:35.257659,19:42:38.792296,1,-1.0
1,19:42:35.257659,19:42:38.991803,1,-1.0
1,19:42:35.257659,19:42:39.184584,1,-1.0
1,19:42:35.257659,19:42:39.396176,1,-1.0
1,19:42:35.257659,19:42:39.590525,1,-1.0
1,19:42:35.257659,19:42:39.793336,1,-1.0
1,19:42:35.257659,19:42:39.968656,1,-1.0
1,19:42:35.257659,19:42:40.163124,1,-1.0
1,19:42:35.257659,19:42:40.369319,1,-1.0
1,19:42:35.257659,19:42:40.539185,1,-1.0
1,19:42:35.257659,19:42:40.720752,1,-1.0
1,19:42:35.257659,19:42:40.933702,1,-1.0
1,19:42:35.257659,19:42:41.125632,1,-1.0
1,19:42:35.257659,19:42:41.351098,1,-1.0
1,19:42:35.257659,19:42:41.558031,1,-1.0
1,19:42:35.257659,19:42:41.740639,1,-1.0
1,19:42:35.257659,19:42:42.133766,-1,-1.0
1,19:42:35.257659,19:42:42.292038,-1,-1.0
1,19:42:35.257659,19:42:42.489378,-1,-1.0
1,19:42:35.257659,19:42:42.690472,-1,-1.0
1,19:42:35.257659,19:42:42.903276,-1,-1.0
1,19:42:35.257659,19:42:43.209328,-1,-1.0
1,19:42:35.257659,19:42:43.421645,-1,-1.0
1,19:42:35.257659,19:42:43.753675,-1,-1.0
1,19:42:35.257659,19:42:43.965820,-1,-1.0
1,19:42:35.257659,19:42:44.217491,-1,-1.0
1,19:42:35.257659,19:42:44.429818,-1,-1.0
1,19:42:35.257659,19:42:45.035421,1,-1.0
1,19:42:35.257659,19:42:45.227571,1,-1.0
1,19:42:35.257659,19:42:45.399007,1,-1.0
1,19:42:35.257659,19:42:45.593230,1,-1.0
1,19:42:35.257659,19:42:45.787617,1,-1.0
1,19:42:35.257659,19:42:45.992067,1,-1.0
1,19:42:35.257659,19:42:46.204579,1,-1.0
1,19:42:35.257659,19:42:46.419511,1,-1.0
1,19:42:35.257659,19:42:46.622335,1,-1.0
1,19:42:35.257659,19:42:46.833763,1,-1.0
1,19:42:35.257659,19:42:47.106904,1,-1.0
1,19:42:35.257659,19:42:47.358163,1,-1.0
1,19:42:35.257659,19:42:47.579421,1,-1.0
1,19:42:35.257659,19:42:47.801688,1,-1.0
1,19:42:35.257659,19:42:48.013440,1,-1.0
1,19:42:35.257659,19:42:48.224515,1,-1.0
1,19:42:35.257659,19:42:48.456743,1,-1.0
1,19:42:35.257659,19:42:49.134607,-1,-1.0
1,19:42:35.257659,19:42:49.359174,-1,-1.0
1,19:42:35.257659,19:42:49.591888,-1,-1.0
1,19:42:35.257659,19:42:49.794853,-1,-1.0
1,19:42:35.257659,19:42:50.031259,-1,-1.0
1,19:42:35.257659,19:42:50.757614,1,-1.0
1,19:42:35.257659,19:42:51.002952,1,-1.0
1,19:42:35.257659,19:42:51.222357,1,-1.0
1,19:42:35.257659,19:42:51.552880,1,-1.0
1,19:42:35.257659,19:42:51.822159,1,-1.0
1,19:42:35.257659,19:42:52.047009,1,-1.0
1,19:42:35.257659,19:42:52.260231,1,-1.0
1,19:42:35.257659,19:42:52.495539,1,-1.0
1,19:42:35.257659,19:42:52.709403,1,-1.0
1,19:42:35.257659,19:42:52.965088,1,-1.0
1,19:42:35.257659,19:42:53.190562,1,-1.0
1,19:42:35.257659,19:42:53.417114,1,-1.0
1,19:42:35.257659,19:42:53.654360,1,-1.0
1,19:42:35.257659,19:42:53.899190,1,-1.0
1,19:42:35.257659,19:42:54.147617,1,-1.0
1,19:42:35.257659,19:42:54.373127,1,-1.0
1,19:42:35.257659,19:42:54.609120,1,-1.0
1,19:42:35.257659,19:42:54.854024,1,-1.0
1,19:42:35.257659,19:42:55.098575,1,-1.0
1,19:42:35.257659,19:42:55.343326,1,-1.0
1,19:42:35.257659,19:42:55.601253,1,-1.0
1,19:42:35.257659,19:42:55.846613,1,-1.0
1,19:42:35.257659,19:42:56.079364,1,-1.0
1,19:42:35.257659,19:42:56.293137,1,-1.0
1,19:42:35.257659,19:42:56.517671,1,-1.0
1,19:42:35.257659,19:42:56.761355,1,-1.0
1,19:42:35.257659,19:42:56.973330,1,-1.0
1,19:42:35.257659,19:42:57.667682,-1,-1.0
1,19:42:35.257659,19:42:57.860920,-1,-1.0
1,19:42:35.257659,19:42:58.093661,-1,-1.0
1,19:42:35.257659,19:42:58.326180,-1,-1.0
1,19:42:35.257659,19:42:58.619161,-1,-1.0
1,19:42:35.257659,19:42:59.360527,1,-1.0
1,19:42:35.257659,19:42:59.532841,1,-1.0
1,19:42:35.257659,19:42:59.778693,1,-1.0
1,19:42:35.257659,19:42:59.992536,1,-1.0
1,19:42:35.257659,19:43:00.246017,1,-1.0
1,19:42:35.257659,19:43:00.501346,1,-1.0
1,19:42:35.257659,19:43:00.776499,1,-1.0
1,19:42:35.257659,19:43:01.019309,1,-1.0
1,19:42:35.257659,19:43:01.257654,1,-1.0
1,19:42:35.257659,19:43:01.502472,1,-1.0
1,19:42:35.257659,19:43:01.747987,1,-1.0
1,19:42:35.257659,19:43:01.990128,1,-1.0
1,19:42:35.257659,19:43:02.234483,1,-1.0
1,19:42:35.257659,19:43:02.487202,1,-1.0
1,19:42:35.257659,19:43:02.722208,1,-1.0
1,19:42:35.257659,19:43:03.006379,1,-1.0
1,19:42:35.257659,19:43:03.262406,1,-1.0
1,19:42:35.257659,19:43:03.497178,1,-1.0
1,19:42:35.257659,19:43:03.709307,1,-1.0
