Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,19:03:55.118654,19:03:56.482756,1,-1.0
1,19:03:55.118654,19:03:56.825213,1,-1.0
1,19:03:55.118654,19:03:57.198564,1,-1.0
1,19:03:55.118654,19:03:57.713082,1,-1.0
1,19:03:55.118654,19:03:58.045112,1,-1.0
1,19:03:55.118654,19:03:59.038017,1,-1.0
1,19:03:55.118654,19:04:00.508919,1,-1.0
1,19:03:55.118654,19:04:02.336440,-1,-1.0
1,19:03:55.118654,19:04:02.903311,-1,-1.0
1,19:03:55.118654,19:04:03.382170,-1,-1.0
1,19:03:55.118654,19:04:03.874321,-1,-1.0
1,19:03:55.118654,19:04:04.280371,1,-1.0
1,19:03:55.118654,19:04:04.487405,1,-1.0
1,19:03:55.118654,19:04:04.948858,1,-1.0
1,19:03:55.118654,19:04:05.440423,1,-1.0
1,19:03:55.118654,19:04:06.219725,1,-1.0
1,19:03:55.118654,19:04:06.904973,1,-1.0
1,19:03:55.118654,19:04:07.556180,1,-1.0
1,19:03:55.118654,19:04:08.115090,1,-1.0
1,19:03:55.118654,19:04:08.769464,1,-1.0
1,19:03:55.118654,19:04:09.117311,1,-1.0
1,19:03:55.118654,19:04:09.356028,1,-1.0
1,19:03:55.118654,19:04:09.605115,1,-1.0
1,19:03:55.118654,19:04:11.214761,1,-1.0
1,19:03:55.118654,19:04:11.920664,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,19:04:35.072870,19:04:37.314608,1,-1.0
2,19:04:35.072870,19:04:37.971870,1,-1.0
2,19:04:35.072870,19:04:38.189567,1,-1.0
2,19:04:35.072870,19:04:38.392463,1,-1.0
2,19:04:35.072870,19:04:38.594767,1,-1.0
2,19:04:35.072870,19:04:38.824255,1,-1.0
2,19:04:35.072870,19:04:41.144076,-1,-1.0
2,19:04:35.072870,19:04:41.486614,-1,-1.0
2,19:04:35.072870,19:04:41.837200,-1,-1.0
2,19:04:35.072870,19:04:42.190494,-1,-1.0
2,19:04:35.072870,19:04:42.629657,1,-1.0
2,19:04:35.072870,19:04:42.920845,1,-1.0
2,19:04:35.072870,19:04:43.212245,1,-1.0
2,19:04:35.072870,19:04:43.513894,1,-1.0
2,19:04:35.072870,19:04:45.068484,1,-1.0
2,19:04:35.072870,19:04:46.636826,-1,-1.0
2,19:04:35.072870,19:04:47.080758,1,-1.0
2,19:04:35.072870,19:04:47.339917,1,-1.0
2,19:04:35.072870,19:04:47.558581,1,-1.0
2,19:04:35.072870,19:04:47.789727,1,-1.0
2,19:04:35.072870,19:04:48.053955,1,-1.0
2,19:04:35.072870,19:04:48.299776,1,-1.0
2,19:04:35.072870,19:04:48.491576,1,-1.0
2,19:04:35.072870,19:04:48.708729,1,-1.0
2,19:04:35.072870,19:04:48.928691,1,-1.0
2,19:04:35.072870,19:04:49.132920,1,-1.0
2,19:04:35.072870,19:04:49.370691,1,-1.0
2,19:04:35.072870,19:04:49.542868,1,-1.0
2,19:04:35.072870,19:04:50.369694,1,-1.0
2,19:04:35.072870,19:04:50.904177,1,-1.0
2,19:04:35.072870,19:04:51.225809,1,-1.0
2,19:04:35.072870,19:04:51.494264,1,-1.0
2,19:04:35.072870,19:04:51.900846,1,-1.0
2,19:04:35.072870,19:04:52.329642,1,-1.0
2,19:04:35.072870,19:04:52.774913,1,-1.0
2,19:04:35.072870,19:04:53.369815,1,-1.0
