Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,18:36:28.459109,18:36:29.502706,1,-1.0
1,18:36:28.459109,18:36:30.021366,1,-1.0
1,18:36:28.459109,18:36:30.557230,1,-1.0
1,18:36:28.459109,18:36:31.096342,-1,-1.0
1,18:36:28.459109,18:36:32.196255,-1,-1.0
1,18:36:28.459109,18:36:32.971551,-1,-1.0
1,18:36:28.459109,18:36:33.527553,-1,-1.0
1,18:36:28.459109,18:36:33.950304,1,-1.0
1,18:36:28.459109,18:36:34.289316,1,-1.0
1,18:36:28.459109,18:36:34.641662,1,-1.0
1,18:36:28.459109,18:36:35.047967,1,-1.0
1,18:36:28.459109,18:36:35.403987,1,-1.0
1,18:36:28.459109,18:36:35.774164,1,-1.0
1,18:36:28.459109,18:36:36.141712,1,-1.0
1,18:36:28.459109,18:36:36.576339,1,-1.0
1,18:36:28.459109,18:36:36.958979,-1,-1.0
1,18:36:28.459109,18:36:37.429375,-1,-1.0
1,18:36:28.459109,18:36:37.885365,-1,-1.0
1,18:36:28.459109,18:36:38.315472,1,-1.0
1,18:36:28.459109,18:36:38.721366,1,-1.0
1,18:36:28.459109,18:36:39.114697,1,-1.0
1,18:36:28.459109,18:36:39.320457,1,-1.0
1,18:36:28.459109,18:36:39.516953,1,-1.0
1,18:36:28.459109,18:36:39.748977,1,-1.0
1,18:36:28.459109,18:36:40.014318,1,-1.0
1,18:36:28.459109,18:36:41.070543,-1,-1.0
1,18:36:28.459109,18:36:41.600347,-1,-1.0
1,18:36:28.459109,18:36:42.005921,1,-1.0
1,18:36:28.459109,18:36:42.406074,1,-1.0
1,18:36:28.459109,18:36:42.679568,1,-1.0
1,18:36:28.459109,18:36:42.910246,1,-1.0
1,18:36:28.459109,18:36:43.137779,1,-1.0
1,18:36:28.459109,18:36:43.400231,1,-1.0
1,18:36:28.459109,18:36:43.631509,1,-1.0
1,18:36:28.459109,18:36:43.855262,1,-1.0
1,18:36:28.459109,18:36:44.020061,1,-1.0
1,18:36:28.459109,18:36:44.183725,1,-1.0
1,18:36:28.459109,18:36:44.350239,1,-1.0
1,18:36:28.459109,18:36:44.580626,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,18:37:15.897938,18:37:24.361199,-1,-1.0
2,18:37:15.897938,18:37:24.802156,-1,-1.0
2,18:37:15.897938,18:37:25.242502,-1,-1.0
2,18:37:15.897938,18:37:25.729314,1,-1.0
2,18:37:15.897938,18:37:25.981635,1,-1.0
2,18:37:15.897938,18:37:26.166557,1,-1.0
2,18:37:15.897938,18:37:26.352238,1,-1.0
2,18:37:15.897938,18:37:26.508526,1,-1.0
2,18:37:15.897938,18:37:26.663328,1,-1.0
2,18:37:15.897938,18:37:26.816643,1,-1.0
2,18:37:15.897938,18:37:26.961348,1,-1.0
2,18:37:15.897938,18:37:27.104124,1,-1.0
2,18:37:15.897938,18:37:27.249095,1,-1.0
2,18:37:15.897938,18:37:27.401728,1,-1.0
2,18:37:15.897938,18:37:27.544883,1,-1.0
2,18:37:15.897938,18:37:27.667177,1,-1.0
2,18:37:15.897938,18:37:27.781716,1,-1.0
2,18:37:15.897938,18:37:27.905780,1,-1.0
2,18:37:15.897938,18:37:28.028639,1,-1.0
2,18:37:15.897938,18:37:28.172389,1,-1.0
2,18:37:15.897938,18:37:28.378348,1,-1.0
2,18:37:15.897938,18:37:28.542356,1,-1.0
2,18:37:15.897938,18:37:28.716277,1,-1.0
2,18:37:15.897938,18:37:29.075066,-1,-1.0
2,18:37:15.897938,18:37:29.232340,-1,-1.0
2,18:37:15.897938,18:37:29.389873,-1,-1.0
2,18:37:15.897938,18:37:29.504623,-1,-1.0
2,18:37:15.897938,18:37:29.668943,-1,-1.0
2,18:37:15.897938,18:37:29.855201,1,-1.0
2,18:37:15.897938,18:37:30.001578,1,-1.0
2,18:37:15.897938,18:37:30.145877,1,-1.0
2,18:37:15.897938,18:37:30.302787,1,-1.0
2,18:37:15.897938,18:37:30.436926,1,-1.0
2,18:37:15.897938,18:37:30.572546,1,-1.0
2,18:37:15.897938,18:37:30.682681,1,-1.0
2,18:37:15.897938,18:37:30.828988,1,-1.0
2,18:37:15.897938,18:37:30.961545,1,-1.0
2,18:37:15.897938,18:37:31.103651,1,-1.0
2,18:37:15.897938,18:37:31.225799,1,-1.0
2,18:37:15.897938,18:37:31.378074,1,-1.0
2,18:37:15.897938,18:37:31.513507,1,-1.0
2,18:37:15.897938,18:37:31.657151,1,-1.0
2,18:37:15.897938,18:37:31.814850,1,-1.0
2,18:37:15.897938,18:37:31.957220,1,-1.0
2,18:37:15.897938,18:37:32.099696,1,-1.0
2,18:37:15.897938,18:37:32.243328,1,-1.0
2,18:37:15.897938,18:37:32.387636,1,-1.0
2,18:37:15.897938,18:37:32.543195,1,-1.0
2,18:37:15.897938,18:37:32.688100,1,-1.0
2,18:37:15.897938,18:37:32.823267,1,-1.0
2,18:37:15.897938,18:37:32.957129,1,-1.0
