Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:15:09.532914,16:15:19.292966,1,-1.0
1,16:15:09.532914,16:15:19.542757,1,-1.0
1,16:15:09.532914,16:15:19.770300,1,-1.0
1,16:15:09.532914,16:15:20.005856,1,-1.0
1,16:15:09.532914,16:15:20.221347,1,-1.0
1,16:15:09.532914,16:15:21.349584,-1,-1.0
1,16:15:09.532914,16:15:21.768109,-1,-1.0
1,16:15:09.532914,16:15:22.033125,-1,-1.0
1,16:15:09.532914,16:15:22.270443,-1,-1.0
1,16:15:09.532914,16:15:22.822963,-1,-1.0
1,16:15:09.532914,16:15:23.599535,1,-1.0
1,16:15:09.532914,16:15:23.796094,1,-1.0
1,16:15:09.532914,16:15:24.059597,1,-1.0
1,16:15:09.532914,16:15:24.260109,1,-1.0
1,16:15:09.532914,16:15:24.535011,1,-1.0
1,16:15:09.532914,16:15:24.760718,1,-1.0
1,16:15:09.532914,16:15:24.967733,1,-1.0
1,16:15:09.532914,16:15:25.212068,1,-1.0
1,16:15:09.532914,16:15:25.441758,1,-1.0
1,16:15:09.532914,16:15:25.651114,1,-1.0
1,16:15:09.532914,16:15:25.860717,1,-1.0
1,16:15:09.532914,16:15:26.095616,1,-1.0
1,16:15:09.532914,16:15:26.319680,1,-1.0
1,16:15:09.532914,16:15:26.513505,1,-1.0
1,16:15:09.532914,16:15:26.712823,1,-1.0
1,16:15:09.532914,16:15:26.902639,1,-1.0
1,16:15:09.532914,16:15:27.158812,1,-1.0
1,16:15:09.532914,16:15:27.391172,1,-1.0
1,16:15:09.532914,16:15:27.635524,1,-1.0
1,16:15:09.532914,16:15:27.841489,1,-1.0
1,16:15:09.532914,16:15:28.070327,1,-1.0
1,16:15:09.532914,16:15:28.325784,1,-1.0
1,16:15:09.532914,16:15:28.557844,1,-1.0
1,16:15:09.532914,16:15:29.052943,1,-1.0
1,16:15:09.532914,16:15:29.270021,1,-1.0
1,16:15:09.532914,16:15:29.486227,1,-1.0
1,16:15:09.532914,16:15:29.722605,1,-1.0
1,16:15:09.532914,16:15:29.940606,1,-1.0
1,16:15:09.532914,16:15:30.166267,1,-1.0
1,16:15:09.532914,16:15:30.388738,1,-1.0
1,16:15:09.532914,16:15:30.603469,1,-1.0
1,16:15:09.532914,16:15:30.854763,1,-1.0
1,16:15:09.532914,16:15:31.082554,1,-1.0
1,16:15:09.532914,16:15:31.296054,1,-1.0
1,16:15:09.532914,16:15:31.498515,1,-1.0
1,16:15:09.532914,16:15:31.711200,1,-1.0
1,16:15:09.532914,16:15:31.933415,1,-1.0
1,16:15:09.532914,16:15:32.155340,1,-1.0
1,16:15:09.532914,16:15:32.391269,1,-1.0
1,16:15:09.532914,16:15:32.619385,1,-1.0
1,16:15:09.532914,16:15:32.845983,1,-1.0
1,16:15:09.532914,16:15:33.081985,1,-1.0
1,16:15:09.532914,16:15:33.332193,1,-1.0
1,16:15:09.532914,16:15:33.578879,1,-1.0
1,16:15:09.532914,16:15:33.806940,1,-1.0
1,16:15:09.532914,16:15:34.040344,1,-1.0
1,16:15:09.532914,16:15:34.268331,1,-1.0
1,16:15:09.532914,16:15:34.520637,1,-1.0
1,16:15:09.532914,16:15:34.762584,1,-1.0
1,16:15:09.532914,16:15:35.025698,1,-1.0
1,16:15:09.532914,16:15:35.359725,1,-1.0
1,16:15:09.532914,16:15:35.585059,1,-1.0
1,16:15:09.532914,16:15:35.809734,1,-1.0
1,16:15:09.532914,16:15:36.072921,1,-1.0
1,16:15:09.532914,16:15:36.284029,1,-1.0
1,16:15:09.532914,16:15:36.524338,1,-1.0
1,16:15:09.532914,16:15:36.775067,1,-1.0
1,16:15:09.532914,16:15:37.031662,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,16:15:37.035368,16:15:37.275959,1,-1.0
2,16:15:37.035368,16:15:37.526092,1,-1.0
2,16:15:37.035368,16:15:37.755309,1,-1.0
2,16:15:37.035368,16:15:38.090722,1,-1.0
2,16:15:37.035368,16:15:38.423873,1,-1.0
2,16:15:37.035368,16:15:38.660581,1,-1.0
2,16:15:37.035368,16:15:38.909479,1,-1.0
2,16:15:37.035368,16:15:39.222584,1,-1.0
2,16:15:37.035368,16:15:39.443389,1,-1.0
2,16:15:37.035368,16:15:39.730658,1,-1.0
2,16:15:37.035368,16:15:40.065105,1,-1.0
2,16:15:37.035368,16:15:40.391952,1,-1.0
2,16:15:37.035368,16:15:40.648908,1,-1.0
2,16:15:37.035368,16:15:40.984085,1,-1.0
2,16:15:37.035368,16:15:41.260597,1,-1.0
2,16:15:37.035368,16:15:41.512494,1,-1.0
2,16:15:37.035368,16:15:41.731683,1,-1.0
2,16:15:37.035368,16:15:41.949634,1,-1.0
2,16:15:37.035368,16:15:42.185836,1,-1.0
2,16:15:37.035368,16:15:42.419521,1,-1.0
2,16:15:37.035368,16:15:42.649559,1,-1.0
2,16:15:37.035368,16:15:42.893604,1,-1.0
2,16:15:37.035368,16:15:43.148387,1,-1.0
2,16:15:37.035368,16:15:43.869231,-1,-1.0
2,16:15:37.035368,16:15:44.200455,-1,-1.0
2,16:15:37.035368,16:15:44.473722,-1,-1.0
2,16:15:37.035368,16:15:45.001456,-1,-1.0
2,16:15:37.035368,16:15:45.437453,-1,-1.0
2,16:15:37.035368,16:15:45.861915,-1,-1.0
2,16:15:37.035368,16:15:46.157785,-1,-1.0
2,16:15:37.035368,16:15:46.593632,-1,-1.0
2,16:15:37.035368,16:15:47.053039,-1,-1.0
2,16:15:37.035368,16:15:47.616604,-1,-1.0
2,16:15:37.035368,16:15:48.072071,-1,-1.0
2,16:15:37.035368,16:15:48.427230,-1,-1.0
2,16:15:37.035368,16:15:49.397644,1,-1.0
