Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,18:41:12.245452,18:41:13.317020,-1,-1.0
1,18:41:12.245452,18:41:14.144956,-1,-1.0
1,18:41:12.245452,18:41:14.578373,1,-1.0
1,18:41:12.245452,18:41:14.813716,1,-1.0
1,18:41:12.245452,18:41:15.005468,1,-1.0
1,18:41:12.245452,18:41:15.158409,1,-1.0
1,18:41:12.245452,18:41:15.344885,1,-1.0
1,18:41:12.245452,18:41:15.488886,1,-1.0
1,18:41:12.245452,18:41:15.643775,1,-1.0
1,18:41:12.245452,18:41:15.791118,1,-1.0
1,18:41:12.245452,18:41:15.943066,1,-1.0
1,18:41:12.245452,18:41:16.096922,1,-1.0
1,18:41:12.245452,18:41:16.252361,1,-1.0
1,18:41:12.245452,18:41:16.401091,1,-1.0
1,18:41:12.245452,18:41:16.544753,1,-1.0
1,18:41:12.245452,18:41:16.708407,1,-1.0
1,18:41:12.245452,18:41:16.862880,1,-1.0
1,18:41:12.245452,18:41:17.014980,1,-1.0
1,18:41:12.245452,18:41:17.371563,-1,-1.0
1,18:41:12.245452,18:41:17.678251,-1,-1.0
1,18:41:12.245452,18:41:17.991177,-1,-1.0
1,18:41:12.245452,18:41:18.297557,-1,-1.0
1,18:41:12.245452,18:41:18.637491,-1,-1.0
1,18:41:12.245452,18:41:18.954753,-1,-1.0
1,18:41:12.245452,18:41:19.337643,-1,-1.0
1,18:41:12.245452,18:41:19.738161,-1,-1.0
1,18:41:12.245452,18:41:19.956065,-1,-1.0
1,18:41:12.245452,18:41:20.718362,-1,-1.0
1,18:41:12.245452,18:41:21.152464,-1,-1.0
1,18:41:12.245452,18:41:21.757002,-1,-1.0
1,18:41:12.245452,18:41:22.147209,1,-1.0
1,18:41:12.245452,18:41:22.455351,1,-1.0
1,18:41:12.245452,18:41:22.761298,1,-1.0
1,18:41:12.245452,18:41:23.045194,1,-1.0
1,18:41:12.245452,18:41:23.360360,1,-1.0
1,18:41:12.245452,18:41:23.696965,1,-1.0
1,18:41:12.245452,18:41:24.011432,1,-1.0
1,18:41:12.245452,18:41:24.337923,1,-1.0
1,18:41:12.245452,18:41:24.716417,1,-1.0
1,18:41:12.245452,18:41:25.020108,-1,-1.0
1,18:41:12.245452,18:41:25.364299,-1,-1.0
1,18:41:12.245452,18:41:25.689950,-1,-1.0
1,18:41:12.245452,18:41:26.403854,-1,-1.0
1,18:41:12.245452,18:41:26.816664,1,-1.0
1,18:41:12.245452,18:41:27.056852,1,-1.0
1,18:41:12.245452,18:41:27.242945,1,-1.0
1,18:41:12.245452,18:41:27.398145,1,-1.0
1,18:41:12.245452,18:41:27.573914,1,-1.0
1,18:41:12.245452,18:41:27.772074,1,-1.0
1,18:41:12.245452,18:41:27.972408,1,-1.0
1,18:41:12.245452,18:41:28.202693,1,-1.0
1,18:41:12.245452,18:41:28.371023,1,-1.0
1,18:41:12.245452,18:41:28.527675,1,-1.0
1,18:41:12.245452,18:41:28.715072,1,-1.0
1,18:41:12.245452,18:41:29.067523,-1,-1.0
1,18:41:12.245452,18:41:29.404036,-1,-1.0
1,18:41:12.245452,18:41:29.782603,1,-1.0
1,18:41:12.245452,18:41:29.972123,1,-1.0
1,18:41:12.245452,18:41:30.134594,1,-1.0
1,18:41:12.245452,18:41:30.299108,1,-1.0
1,18:41:12.245452,18:41:30.465290,1,-1.0
1,18:41:12.245452,18:41:30.660484,1,-1.0
1,18:41:12.245452,18:41:30.844782,1,-1.0
1,18:41:12.245452,18:41:31.041410,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,18:41:50.570966,18:41:56.473898,1,-1.0
2,18:41:50.570966,18:41:56.772091,1,-1.0
2,18:41:50.570966,18:41:57.037568,1,-1.0
2,18:41:50.570966,18:41:57.321069,1,-1.0
2,18:41:50.570966,18:41:57.602730,1,-1.0
2,18:41:50.570966,18:41:57.888336,1,-1.0
2,18:41:50.570966,18:41:58.212628,1,-1.0
2,18:41:50.570966,18:41:58.506456,1,-1.0
2,18:41:50.570966,18:41:59.373393,1,-1.0
2,18:41:50.570966,18:41:59.974180,-1,-1.0
2,18:41:50.570966,18:42:00.453241,1,-1.0
2,18:41:50.570966,18:42:00.703152,1,-1.0
2,18:41:50.570966,18:42:00.909113,1,-1.0
2,18:41:50.570966,18:42:01.126827,1,-1.0
2,18:41:50.570966,18:42:01.333934,1,-1.0
2,18:41:50.570966,18:42:01.571147,1,-1.0
2,18:41:50.570966,18:42:01.780433,1,-1.0
2,18:41:50.570966,18:42:02.000152,1,-1.0
2,18:41:50.570966,18:42:02.215919,1,-1.0
2,18:41:50.570966,18:42:02.448077,1,-1.0
2,18:41:50.570966,18:42:02.671193,1,-1.0
2,18:41:50.570966,18:42:02.889541,1,-1.0
2,18:41:50.570966,18:42:03.144348,1,-1.0
2,18:41:50.570966,18:42:03.351263,1,-1.0
