Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,18:55:30.591760,18:55:32.073391,-1,-1.0
1,18:55:30.591760,18:55:33.009316,-1,-1.0
1,18:55:30.591760,18:55:33.515350,1,-1.0
1,18:55:30.591760,18:55:34.140853,1,-1.0
1,18:55:30.591760,18:55:36.182416,1,-1.0
1,18:55:30.591760,18:55:37.461335,-1,-1.0
1,18:55:30.591760,18:55:38.367901,-1,-1.0
1,18:55:30.591760,18:55:39.209718,-1,-1.0
1,18:55:30.591760,18:55:40.009937,-1,-1.0
1,18:55:30.591760,18:55:40.553969,1,-1.0
1,18:55:30.591760,18:55:41.408029,1,-1.0
1,18:55:30.591760,18:55:42.558191,1,-1.0
1,18:55:30.591760,18:55:43.511508,1,-1.0
1,18:55:30.591760,18:55:44.562512,-1,-1.0
1,18:55:30.591760,18:55:45.138595,-1,-1.0
1,18:55:30.591760,18:55:45.610228,1,-1.0
1,18:55:30.591760,18:55:46.075197,1,-1.0
1,18:55:30.591760,18:55:47.157680,1,-1.0
1,18:55:30.591760,18:55:47.776851,1,-1.0
1,18:55:30.591760,18:55:48.151749,1,-1.0
1,18:55:30.591760,18:55:48.365015,1,-1.0
1,18:55:30.591760,18:55:48.567872,1,-1.0
1,18:55:30.591760,18:55:48.771847,1,-1.0
1,18:55:30.591760,18:55:48.973068,1,-1.0
1,18:55:30.591760,18:55:49.186353,1,-1.0
1,18:55:30.591760,18:55:49.389564,1,-1.0
1,18:55:30.591760,18:55:49.603427,1,-1.0
1,18:55:30.591760,18:55:49.796740,1,-1.0
1,18:55:30.591760,18:55:50.010753,1,-1.0
1,18:55:30.591760,18:55:50.205136,1,-1.0
1,18:55:30.591760,18:55:50.761294,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,18:56:21.348361,18:56:23.491395,-1,-1.0
2,18:56:21.348361,18:56:24.399342,-1,-1.0
2,18:56:21.348361,18:56:25.433359,-1,-1.0
2,18:56:21.348361,18:56:26.085132,1,-1.0
2,18:56:21.348361,18:56:27.650080,1,-1.0
2,18:56:21.348361,18:56:29.219922,-1,-1.0
2,18:56:21.348361,18:56:30.299217,-1,-1.0
2,18:56:21.348361,18:56:31.268734,1,-1.0
2,18:56:21.348361,18:56:32.323287,1,-1.0
2,18:56:21.348361,18:56:33.736486,1,-1.0
2,18:56:21.348361,18:56:34.933965,-1,-1.0
2,18:56:21.348361,18:56:35.893276,-1,-1.0
2,18:56:21.348361,18:56:36.405848,1,-1.0
2,18:56:21.348361,18:56:37.467297,1,-1.0
2,18:56:21.348361,18:56:38.649884,1,-1.0
2,18:56:21.348361,18:56:39.822778,1,-1.0
2,18:56:21.348361,18:56:42.272523,1,-1.0
2,18:56:21.348361,18:56:43.197323,1,-1.0
2,18:56:21.348361,18:56:43.719472,1,-1.0
2,18:56:21.348361,18:56:44.169593,1,-1.0
2,18:56:21.348361,18:56:44.562846,1,-1.0
2,18:56:21.348361,18:56:44.937197,1,-1.0
2,18:56:21.348361,18:56:45.301583,1,-1.0
2,18:56:21.348361,18:56:45.686666,1,-1.0
2,18:56:21.348361,18:56:51.723631,1,-1.0
2,18:56:21.348361,18:56:52.108817,1,-1.0
2,18:56:21.348361,18:56:52.407679,1,-1.0
