Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:25:21.719524,12:25:22.154621,-1,-1.0
1,12:25:21.719524,12:25:22.397672,-1,-1.0
1,12:25:21.719524,12:25:22.670740,-1,-1.0
1,12:25:21.719524,12:25:22.932613,-1,-1.0
1,12:25:21.719524,12:25:23.205453,-1,-1.0
1,12:25:21.719524,12:25:24.154088,1,-1.0
1,12:25:21.719524,12:25:24.363864,1,-1.0
1,12:25:21.719524,12:25:24.594172,1,-1.0
1,12:25:21.719524,12:25:24.856430,1,-1.0
1,12:25:21.719524,12:25:25.095421,1,-1.0
1,12:25:21.719524,12:25:25.358118,1,-1.0
1,12:25:21.719524,12:25:25.647823,1,-1.0
1,12:25:21.719524,12:25:25.895925,1,-1.0
1,12:25:21.719524,12:25:26.187257,1,-1.0
1,12:25:21.719524,12:25:26.411257,1,-1.0
1,12:25:21.719524,12:25:26.679316,1,-1.0
1,12:25:21.719524,12:25:26.894356,1,-1.0
1,12:25:21.719524,12:25:27.127858,1,-1.0
1,12:25:21.719524,12:25:27.525170,-1,-1.0
1,12:25:21.719524,12:25:27.865788,-1,-1.0
1,12:25:21.719524,12:25:28.253898,-1,-1.0
1,12:25:21.719524,12:25:28.605373,-1,-1.0
1,12:25:21.719524,12:25:28.965799,-1,-1.0
1,12:25:21.719524,12:25:29.307617,-1,-1.0
1,12:25:21.719524,12:25:29.666437,-1,-1.0
1,12:25:21.719524,12:25:30.080996,-1,-1.0
1,12:25:21.719524,12:25:30.777102,-1,-1.0
1,12:25:21.719524,12:25:31.035375,1,-1.0
1,12:25:21.719524,12:25:31.297904,1,-1.0
1,12:25:21.719524,12:25:31.501034,1,-1.0
1,12:25:21.719524,12:25:31.707405,1,-1.0
1,12:25:21.719524,12:25:31.942854,1,-1.0
1,12:25:21.719524,12:25:32.175566,1,-1.0
1,12:25:21.719524,12:25:32.380483,1,-1.0
1,12:25:21.719524,12:25:32.573656,1,-1.0
1,12:25:21.719524,12:25:32.816882,1,-1.0
1,12:25:21.719524,12:25:33.369791,1,-1.0
1,12:25:21.719524,12:25:33.510580,1,-1.0
1,12:25:21.719524,12:25:33.644546,1,-1.0
1,12:25:21.719524,12:25:33.799631,1,-1.0
1,12:25:21.719524,12:25:33.957991,1,-1.0
1,12:25:21.719524,12:25:34.088601,1,-1.0
1,12:25:21.719524,12:25:34.228790,1,-1.0
1,12:25:21.719524,12:25:34.385789,1,-1.0
1,12:25:21.719524,12:25:34.529639,1,-1.0
1,12:25:21.719524,12:25:34.683381,1,-1.0
1,12:25:21.719524,12:25:34.831665,1,-1.0
1,12:25:21.719524,12:25:34.984482,1,-1.0
1,12:25:21.719524,12:25:35.142340,1,-1.0
1,12:25:21.719524,12:25:35.301033,1,-1.0
1,12:25:21.719524,12:25:35.464483,1,-1.0
1,12:25:21.719524,12:25:35.626472,1,-1.0
1,12:25:21.719524,12:25:35.783793,1,-1.0
1,12:25:21.719524,12:25:35.959647,1,-1.0
1,12:25:21.719524,12:25:36.121231,1,-1.0
1,12:25:21.719524,12:25:36.283939,1,-1.0
1,12:25:21.719524,12:25:36.436534,1,-1.0
1,12:25:21.719524,12:25:36.598609,1,-1.0
1,12:25:21.719524,12:25:36.753876,1,-1.0
1,12:25:21.719524,12:25:36.920125,1,-1.0
1,12:25:21.719524,12:25:37.087547,1,-1.0
1,12:25:21.719524,12:25:37.232597,1,-1.0
1,12:25:21.719524,12:25:37.386958,1,-1.0
1,12:25:21.719524,12:25:37.564613,1,-1.0
1,12:25:21.719524,12:25:37.726856,1,-1.0
1,12:25:21.719524,12:25:37.895733,1,-1.0
1,12:25:21.719524,12:25:38.059670,1,-1.0
1,12:25:21.719524,12:25:38.205601,1,-1.0
1,12:25:21.719524,12:25:38.377355,1,-1.0
1,12:25:21.719524,12:25:38.547841,1,-1.0
1,12:25:21.719524,12:25:38.702806,1,-1.0
1,12:25:21.719524,12:25:38.875803,1,-1.0
1,12:25:21.719524,12:25:39.038451,1,-1.0
1,12:25:21.719524,12:25:39.182440,1,-1.0
1,12:25:21.719524,12:25:39.348670,1,-1.0
1,12:25:21.719524,12:25:39.514572,1,-1.0
1,12:25:21.719524,12:25:39.661298,1,-1.0
1,12:25:21.719524,12:25:40.157774,-1,-1.0
1,12:25:21.719524,12:25:40.328539,-1,-1.0
1,12:25:21.719524,12:25:40.477724,-1,-1.0
1,12:25:21.719524,12:25:40.657835,-1,-1.0
1,12:25:21.719524,12:25:40.950480,-1,-1.0
1,12:25:21.719524,12:25:41.129834,-1,-1.0
1,12:25:21.719524,12:25:41.468835,-1,-1.0
1,12:25:21.719524,12:25:41.630258,-1,-1.0
1,12:25:21.719524,12:25:41.935821,-1,-1.0
1,12:25:21.719524,12:25:42.169055,-1,-1.0
1,12:25:21.719524,12:25:42.689374,-1,-1.0
1,12:25:21.719524,12:25:43.000451,1,-1.0
1,12:25:21.719524,12:25:43.203838,1,-1.0
1,12:25:21.719524,12:25:43.377415,1,-1.0
1,12:25:21.719524,12:25:43.571757,1,-1.0
1,12:25:21.719524,12:25:43.765735,1,-1.0
1,12:25:21.719524,12:25:44.271825,1,-1.0
1,12:25:21.719524,12:25:44.438281,1,-1.0
1,12:25:21.719524,12:25:44.633472,1,-1.0
1,12:25:21.719524,12:25:45.106477,1,-1.0
1,12:25:21.719524,12:25:45.566031,1,-1.0
1,12:25:21.719524,12:25:45.801783,1,-1.0
1,12:25:21.719524,12:25:46.002115,1,-1.0
1,12:25:21.719524,12:25:46.202173,1,-1.0
1,12:25:21.719524,12:25:46.400443,1,-1.0
1,12:25:21.719524,12:25:46.853261,-1,-1.0
1,12:25:21.719524,12:25:47.146171,-1,-1.0
1,12:25:21.719524,12:25:47.440636,-1,-1.0
1,12:25:21.719524,12:25:47.712081,-1,-1.0
1,12:25:21.719524,12:25:48.040352,-1,-1.0
1,12:25:21.719524,12:25:48.349917,-1,-1.0
1,12:25:21.719524,12:25:48.964498,1,-1.0
1,12:25:21.719524,12:25:49.171333,1,-1.0
1,12:25:21.719524,12:25:49.404623,1,-1.0
1,12:25:21.719524,12:25:49.584280,1,-1.0
1,12:25:21.719524,12:25:49.800665,1,-1.0
1,12:25:21.719524,12:25:49.992208,1,-1.0
1,12:25:21.719524,12:25:50.176064,1,-1.0
1,12:25:21.719524,12:25:50.340419,1,-1.0
1,12:25:21.719524,12:25:50.499563,1,-1.0
1,12:25:21.719524,12:25:50.665536,1,-1.0
1,12:25:21.719524,12:25:50.836672,1,-1.0
1,12:25:21.719524,12:25:51.017347,1,-1.0
1,12:25:21.719524,12:25:51.260563,1,-1.0
1,12:25:21.719524,12:25:51.477356,1,-1.0
1,12:25:21.719524,12:25:51.695635,1,-1.0
1,12:25:21.719524,12:25:51.865561,1,-1.0
1,12:25:21.719524,12:25:52.030431,1,-1.0
1,12:25:21.719524,12:25:52.191509,1,-1.0
1,12:25:21.719524,12:25:52.348512,1,-1.0
1,12:25:21.719524,12:25:52.519832,1,-1.0
1,12:25:21.719524,12:25:52.714234,1,-1.0
1,12:25:21.719524,12:25:52.898672,1,-1.0
1,12:25:21.719524,12:25:53.068070,1,-1.0
1,12:25:21.719524,12:25:53.253465,1,-1.0
1,12:25:21.719524,12:25:53.437596,1,-1.0
1,12:25:21.719524,12:25:53.617378,1,-1.0
1,12:25:21.719524,12:25:53.782126,1,-1.0
1,12:25:21.719524,12:25:53.985128,1,-1.0
1,12:25:21.719524,12:25:54.358675,1,-1.0
1,12:25:21.719524,12:25:54.594765,1,-1.0
1,12:25:21.719524,12:25:54.774548,1,-1.0
1,12:25:21.719524,12:25:54.943249,1,-1.0
1,12:25:21.719524,12:25:55.118577,1,-1.0
1,12:25:21.719524,12:25:55.304015,1,-1.0
1,12:25:21.719524,12:25:55.487350,1,-1.0
1,12:25:21.719524,12:25:55.652200,1,-1.0
1,12:25:21.719524,12:25:55.872404,1,-1.0
1,12:25:21.719524,12:25:56.055889,1,-1.0
1,12:25:21.719524,12:25:56.256232,1,-1.0
1,12:25:21.719524,12:25:56.463284,1,-1.0
1,12:25:21.719524,12:25:56.660035,1,-1.0
1,12:25:21.719524,12:25:56.860750,1,-1.0
1,12:25:21.719524,12:25:57.051912,1,-1.0
1,12:25:21.719524,12:25:57.251964,1,-1.0
1,12:25:21.719524,12:25:57.462661,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,12:25:58.098088,12:25:58.453107,-1,-1.0
2,12:25:58.098088,12:25:58.624551,-1,-1.0
2,12:25:58.098088,12:25:59.269568,1,-1.0
2,12:25:58.098088,12:25:59.448443,1,-1.0
2,12:25:58.098088,12:25:59.646570,1,-1.0
2,12:25:58.098088,12:25:59.825945,1,-1.0
2,12:25:58.098088,12:26:00.005000,1,-1.0
2,12:25:58.098088,12:26:00.177052,1,-1.0
2,12:25:58.098088,12:26:00.330364,1,-1.0
2,12:25:58.098088,12:26:00.515573,1,-1.0
2,12:25:58.098088,12:26:00.690080,1,-1.0
2,12:25:58.098088,12:26:00.859024,1,-1.0
2,12:25:58.098088,12:26:01.031419,1,-1.0
2,12:25:58.098088,12:26:01.212624,1,-1.0
2,12:25:58.098088,12:26:01.381631,1,-1.0
2,12:25:58.098088,12:26:01.558501,1,-1.0
2,12:25:58.098088,12:26:01.763752,1,-1.0
2,12:25:58.098088,12:26:02.131374,-1,-1.0
2,12:25:58.098088,12:26:02.340625,-1,-1.0
2,12:25:58.098088,12:26:02.670805,-1,-1.0
2,12:25:58.098088,12:26:02.909664,-1,-1.0
2,12:25:58.098088,12:26:03.273422,-1,-1.0
2,12:25:58.098088,12:26:03.583868,-1,-1.0
2,12:25:58.098088,12:26:03.907884,-1,-1.0
2,12:25:58.098088,12:26:04.354647,1,-1.0
2,12:25:58.098088,12:26:04.553628,1,-1.0
2,12:25:58.098088,12:26:04.709543,1,-1.0
2,12:25:58.098088,12:26:04.901390,1,-1.0
2,12:25:58.098088,12:26:05.092445,1,-1.0
2,12:25:58.098088,12:26:05.316810,1,-1.0
2,12:25:58.098088,12:26:05.486883,1,-1.0
2,12:25:58.098088,12:26:05.725615,1,-1.0
2,12:25:58.098088,12:26:05.923722,1,-1.0
2,12:25:58.098088,12:26:06.148569,1,-1.0
2,12:25:58.098088,12:26:06.327628,1,-1.0
2,12:25:58.098088,12:26:06.554433,1,-1.0
2,12:25:58.098088,12:26:06.751230,1,-1.0
2,12:25:58.098088,12:26:06.972703,1,-1.0
2,12:25:58.098088,12:26:07.154715,1,-1.0
2,12:25:58.098088,12:26:07.437339,1,-1.0
2,12:25:58.098088,12:26:07.655199,1,-1.0
2,12:25:58.098088,12:26:07.877953,1,-1.0
2,12:25:58.098088,12:26:08.066944,1,-1.0
2,12:25:58.098088,12:26:08.271061,1,-1.0
2,12:25:58.098088,12:26:08.557332,1,-1.0
2,12:25:58.098088,12:26:09.039622,1,-1.0
2,12:25:58.098088,12:26:09.566070,-1,-1.0
2,12:25:58.098088,12:26:10.694430,-1,-1.0
2,12:25:58.098088,12:26:11.111516,-1,-1.0
2,12:25:58.098088,12:26:11.542764,-1,-1.0
2,12:25:58.098088,12:26:11.908018,-1,-1.0
2,12:25:58.098088,12:26:12.268377,-1,-1.0
2,12:25:58.098088,12:26:12.819481,1,-1.0
2,12:25:58.098088,12:26:13.051045,1,-1.0
2,12:25:58.098088,12:26:13.255473,1,-1.0
2,12:25:58.098088,12:26:13.465067,1,-1.0
2,12:25:58.098088,12:26:13.656285,1,-1.0
2,12:25:58.098088,12:26:13.845772,1,-1.0
2,12:25:58.098088,12:26:13.988661,1,-1.0
2,12:25:58.098088,12:26:14.229627,1,-1.0
2,12:25:58.098088,12:26:14.508911,1,-1.0
2,12:25:58.098088,12:26:14.795710,1,-1.0
