Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,18:52:50.469232,18:52:51.389572,1,-1.0
1,18:52:50.469232,18:52:51.617149,1,-1.0
1,18:52:50.469232,18:52:51.845174,1,-1.0
1,18:52:50.469232,18:52:52.113398,1,-1.0
1,18:52:50.469232,18:52:52.349687,1,-1.0
1,18:52:50.469232,18:52:52.568573,1,-1.0
1,18:52:50.469232,18:52:52.808496,1,-1.0
1,18:52:50.469232,18:52:53.025309,1,-1.0
1,18:52:50.469232,18:52:53.253565,1,-1.0
1,18:52:50.469232,18:52:53.496699,1,-1.0
1,18:52:50.469232,18:52:53.725317,1,-1.0
1,18:52:50.469232,18:52:53.953448,1,-1.0
1,18:52:50.469232,18:52:54.183072,1,-1.0
1,18:52:50.469232,18:52:54.548455,1,-1.0
1,18:52:50.469232,18:52:54.795654,1,-1.0
1,18:52:50.469232,18:52:55.025574,1,-1.0
1,18:52:50.469232,18:52:55.236918,1,-1.0
1,18:52:50.469232,18:52:55.497938,1,-1.0
1,18:52:50.469232,18:52:55.772887,-1,-1.0
1,18:52:50.469232,18:52:55.957853,-1,-1.0
1,18:52:50.469232,18:52:56.150713,-1,-1.0
1,18:52:50.469232,18:52:56.323190,-1,-1.0
1,18:52:50.469232,18:52:56.506054,-1,-1.0
1,18:52:50.469232,18:52:56.698601,-1,-1.0
1,18:52:50.469232,18:52:56.874823,-1,-1.0
1,18:52:50.469232,18:52:57.065357,-1,-1.0
1,18:52:50.469232,18:52:57.409447,1,-1.0
1,18:52:50.469232,18:52:57.600817,1,-1.0
1,18:52:50.469232,18:52:57.776481,1,-1.0
1,18:52:50.469232,18:52:57.970273,1,-1.0
1,18:52:50.469232,18:52:58.155243,1,-1.0
1,18:52:50.469232,18:52:58.358727,1,-1.0
1,18:52:50.469232,18:52:58.562802,1,-1.0
1,18:52:50.469232,18:52:58.776915,1,-1.0
1,18:52:50.469232,18:52:58.979541,1,-1.0
1,18:52:50.469232,18:52:59.186117,1,-1.0
1,18:52:50.469232,18:52:59.389029,1,-1.0
1,18:52:50.469232,18:52:59.603238,1,-1.0
1,18:52:50.469232,18:52:59.861250,1,-1.0
1,18:52:50.469232,18:53:00.088782,1,-1.0
1,18:52:50.469232,18:53:00.303201,1,-1.0
1,18:52:50.469232,18:53:00.537820,1,-1.0
1,18:52:50.469232,18:53:00.776426,1,-1.0
1,18:52:50.469232,18:53:01.014668,1,-1.0
1,18:52:50.469232,18:53:01.274907,1,-1.0
1,18:52:50.469232,18:53:01.521905,1,-1.0
1,18:52:50.469232,18:53:01.747851,1,-1.0
1,18:52:50.469232,18:53:01.996612,1,-1.0
1,18:52:50.469232,18:53:02.245547,1,-1.0
1,18:52:50.469232,18:53:02.480770,1,-1.0
1,18:52:50.469232,18:53:02.730630,1,-1.0
1,18:52:50.469232,18:53:02.968101,1,-1.0
1,18:52:50.469232,18:53:03.218351,1,-1.0
1,18:52:50.469232,18:53:03.430765,1,-1.0
