Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,19:17:01.615798,19:17:01.941860,1,-1.0
1,19:17:01.615798,19:17:02.157478,1,-1.0
1,19:17:01.615798,19:17:02.544756,1,-1.0
1,19:17:01.615798,19:17:02.720571,1,-1.0
1,19:17:01.615798,19:17:02.882635,1,-1.0
1,19:17:01.615798,19:17:03.035638,1,-1.0
1,19:17:01.615798,19:17:03.199374,1,-1.0
1,19:17:01.615798,19:17:03.361117,1,-1.0
1,19:17:01.615798,19:17:03.522538,1,-1.0
1,19:17:01.615798,19:17:03.697099,1,-1.0
1,19:17:01.615798,19:17:03.870347,1,-1.0
1,19:17:01.615798,19:17:04.041455,1,-1.0
1,19:17:01.615798,19:17:04.192764,1,-1.0
1,19:17:01.615798,19:17:04.386479,1,-1.0
1,19:17:01.615798,19:17:04.568256,1,-1.0
1,19:17:01.615798,19:17:04.795047,1,-1.0
1,19:17:01.615798,19:17:05.481649,1,-1.0
1,19:17:01.615798,19:17:05.634507,1,-1.0
1,19:17:01.615798,19:17:05.775382,1,-1.0
1,19:17:01.615798,19:17:05.915620,1,-1.0
1,19:17:01.615798,19:17:06.069457,1,-1.0
1,19:17:01.615798,19:17:06.209589,1,-1.0
1,19:17:01.615798,19:17:06.362821,1,-1.0
1,19:17:01.615798,19:17:06.503798,1,-1.0
1,19:17:01.615798,19:17:06.643780,1,-1.0
1,19:17:01.615798,19:17:06.774342,1,-1.0
1,19:17:01.615798,19:17:06.893739,1,-1.0
1,19:17:01.615798,19:17:07.085634,1,-1.0
1,19:17:01.615798,19:17:07.386999,-1,-1.0
1,19:17:01.615798,19:17:07.536528,-1,-1.0
1,19:17:01.615798,19:17:07.718635,-1,-1.0
1,19:17:01.615798,19:17:07.988548,-1,-1.0
1,19:17:01.615798,19:17:08.152430,-1,-1.0
1,19:17:01.615798,19:17:08.324658,-1,-1.0
1,19:17:01.615798,19:17:08.755834,-1,-1.0
1,19:17:01.615798,19:17:08.915054,-1,-1.0
1,19:17:01.615798,19:17:09.117745,-1,-1.0
1,19:17:01.615798,19:17:09.290317,-1,-1.0
1,19:17:01.615798,19:17:09.464695,-1,-1.0
1,19:17:01.615798,19:17:09.667931,1,-1.0
