Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,10:33:31.042626,10:33:31.975832,1,-1.0
1,10:33:31.042626,10:33:32.313932,1,-1.0
1,10:33:31.042626,10:33:32.546545,1,-1.0
1,10:33:31.042626,10:33:32.832839,1,-1.0
1,10:33:31.042626,10:33:33.079040,1,-1.0
1,10:33:31.042626,10:33:33.317948,1,-1.0
1,10:33:31.042626,10:33:33.597630,1,-1.0
1,10:33:31.042626,10:33:33.960007,-1,-1.0
1,10:33:31.042626,10:33:34.213249,-1,-1.0
1,10:33:31.042626,10:33:34.496625,-1,-1.0
1,10:33:31.042626,10:33:34.925866,-1,-1.0
1,10:33:31.042626,10:33:35.223057,-1,-1.0
1,10:33:31.042626,10:33:35.813230,-1,-1.0
1,10:33:31.042626,10:33:36.585820,1,-1.0
1,10:33:31.042626,10:33:36.812404,1,-1.0
1,10:33:31.042626,10:33:37.021632,1,-1.0
1,10:33:31.042626,10:33:37.246384,1,-1.0
1,10:33:31.042626,10:33:37.475342,1,-1.0
1,10:33:31.042626,10:33:37.687228,1,-1.0
1,10:33:31.042626,10:33:37.899284,1,-1.0
1,10:33:31.042626,10:33:38.129208,1,-1.0
1,10:33:31.042626,10:33:38.328368,1,-1.0
1,10:33:31.042626,10:33:38.574666,1,-1.0
1,10:33:31.042626,10:33:38.786562,1,-1.0
1,10:33:31.042626,10:33:39.001024,1,-1.0
1,10:33:31.042626,10:33:39.206658,1,-1.0
1,10:33:31.042626,10:33:39.423456,1,-1.0
1,10:33:31.042626,10:33:39.647882,1,-1.0
1,10:33:31.042626,10:33:39.878531,1,-1.0
1,10:33:31.042626,10:33:40.117929,1,-1.0
1,10:33:31.042626,10:33:40.393731,1,-1.0
1,10:33:31.042626,10:33:40.620319,1,-1.0
1,10:33:31.042626,10:33:40.866809,1,-1.0
1,10:33:31.042626,10:33:41.215738,-1,-1.0
1,10:33:31.042626,10:33:41.421783,-1,-1.0
1,10:33:31.042626,10:33:41.704078,-1,-1.0
1,10:33:31.042626,10:33:42.020691,-1,-1.0
1,10:33:31.042626,10:33:42.450468,-1,-1.0
1,10:33:31.042626,10:33:42.785179,-1,-1.0
1,10:33:31.042626,10:33:43.254016,1,-1.0
1,10:33:31.042626,10:33:43.484267,1,-1.0
1,10:33:31.042626,10:33:43.713705,1,-1.0
1,10:33:31.042626,10:33:43.954835,1,-1.0
1,10:33:31.042626,10:33:44.222135,1,-1.0
1,10:33:31.042626,10:33:44.430259,1,-1.0
1,10:33:31.042626,10:33:44.665656,1,-1.0
1,10:33:31.042626,10:33:44.897288,1,-1.0
1,10:33:31.042626,10:33:45.111228,1,-1.0
1,10:33:31.042626,10:33:45.579624,1,-1.0
1,10:33:31.042626,10:33:45.877570,1,-1.0
1,10:33:31.042626,10:33:46.109095,1,-1.0
1,10:33:31.042626,10:33:46.312319,1,-1.0
1,10:33:31.042626,10:33:46.558872,1,-1.0
1,10:33:31.042626,10:33:46.802478,1,-1.0
1,10:33:31.042626,10:33:47.042354,1,-1.0
1,10:33:31.042626,10:33:47.276495,1,-1.0
1,10:33:31.042626,10:33:47.555426,1,-1.0
1,10:33:31.042626,10:33:47.788555,1,-1.0
1,10:33:31.042626,10:33:48.046921,1,-1.0
1,10:33:31.042626,10:33:48.295075,1,-1.0
1,10:33:31.042626,10:33:48.549949,1,-1.0
1,10:33:31.042626,10:33:48.826162,1,-1.0
1,10:33:31.042626,10:33:49.106086,1,-1.0
1,10:33:31.042626,10:33:49.508174,-1,-1.0
1,10:33:31.042626,10:33:49.692582,-1,-1.0
1,10:33:31.042626,10:33:49.920518,-1,-1.0
1,10:33:31.042626,10:33:50.471559,1,-1.0
1,10:33:31.042626,10:33:50.722011,1,-1.0
1,10:33:31.042626,10:33:50.955924,1,-1.0
1,10:33:31.042626,10:33:51.178915,1,-1.0
1,10:33:31.042626,10:33:51.421065,1,-1.0
1,10:33:31.042626,10:33:51.652070,1,-1.0
1,10:33:31.042626,10:33:51.906097,1,-1.0
1,10:33:31.042626,10:33:52.132751,1,-1.0
1,10:33:31.042626,10:33:52.391888,1,-1.0
1,10:33:31.042626,10:33:52.641873,1,-1.0
1,10:33:31.042626,10:33:52.925478,1,-1.0
1,10:33:31.042626,10:33:53.227705,1,-1.0
1,10:33:31.042626,10:33:53.467088,1,-1.0
1,10:33:31.042626,10:33:53.720285,1,-1.0
1,10:33:31.042626,10:33:53.944272,1,-1.0
1,10:33:31.042626,10:33:54.214727,1,-1.0
1,10:33:31.042626,10:33:54.479243,1,-1.0
1,10:33:31.042626,10:33:54.737645,1,-1.0
1,10:33:31.042626,10:33:54.993285,1,-1.0
1,10:33:31.042626,10:33:55.246506,1,-1.0
1,10:33:31.042626,10:33:55.464532,1,-1.0
1,10:33:31.042626,10:33:55.714916,1,-1.0
1,10:33:31.042626,10:33:55.972059,1,-1.0
1,10:33:31.042626,10:33:56.249568,1,-1.0
1,10:33:31.042626,10:33:56.518951,1,-1.0
1,10:33:31.042626,10:33:56.763817,1,-1.0
1,10:33:31.042626,10:33:57.099994,1,-1.0
1,10:33:31.042626,10:33:57.342843,1,-1.0
1,10:33:31.042626,10:33:57.592601,1,-1.0
1,10:33:31.042626,10:33:57.860404,1,-1.0
1,10:33:31.042626,10:33:58.198680,1,-1.0
1,10:33:31.042626,10:33:58.436262,1,-1.0
1,10:33:31.042626,10:33:58.670990,1,-1.0
1,10:33:31.042626,10:33:58.980781,1,-1.0
1,10:33:31.042626,10:33:59.187670,1,-1.0
1,10:33:31.042626,10:33:59.445382,1,-1.0
1,10:33:31.042626,10:33:59.687316,1,-1.0
1,10:33:31.042626,10:33:59.949225,1,-1.0
1,10:33:31.042626,10:34:00.165985,1,-1.0
1,10:33:31.042626,10:34:00.432390,1,-1.0
1,10:33:31.042626,10:34:00.696620,1,-1.0
1,10:33:31.042626,10:34:00.939005,1,-1.0
1,10:33:31.042626,10:34:01.186087,1,-1.0
1,10:33:31.042626,10:34:01.449681,1,-1.0
1,10:33:31.042626,10:34:01.669040,1,-1.0
1,10:33:31.042626,10:34:01.918765,1,-1.0
1,10:33:31.042626,10:34:02.223358,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,10:34:02.864150,10:34:03.864008,1,-1.0
2,10:34:02.864150,10:34:04.098799,1,-1.0
2,10:34:02.864150,10:34:04.363558,1,-1.0
2,10:34:02.864150,10:34:04.606232,1,-1.0
2,10:34:02.864150,10:34:04.888894,1,-1.0
2,10:34:02.864150,10:34:05.178058,1,-1.0
2,10:34:02.864150,10:34:05.453765,-1,-1.0
2,10:34:02.864150,10:34:05.735691,-1,-1.0
2,10:34:02.864150,10:34:05.986816,-1,-1.0
2,10:34:02.864150,10:34:06.352491,-1,-1.0
2,10:34:02.864150,10:34:06.844380,1,-1.0
2,10:34:02.864150,10:34:07.127792,1,-1.0
2,10:34:02.864150,10:34:07.370566,1,-1.0
2,10:34:02.864150,10:34:07.598725,1,-1.0
2,10:34:02.864150,10:34:07.788489,1,-1.0
2,10:34:02.864150,10:34:08.059262,1,-1.0
2,10:34:02.864150,10:34:08.258112,1,-1.0
2,10:34:02.864150,10:34:08.537462,1,-1.0
2,10:34:02.864150,10:34:09.039289,1,-1.0
2,10:34:02.864150,10:34:09.275512,1,-1.0
2,10:34:02.864150,10:34:09.512911,1,-1.0
2,10:34:02.864150,10:34:09.746589,1,-1.0
2,10:34:02.864150,10:34:09.979338,1,-1.0
2,10:34:02.864150,10:34:10.235539,1,-1.0
2,10:34:02.864150,10:34:10.480645,1,-1.0
2,10:34:02.864150,10:34:10.709120,1,-1.0
2,10:34:02.864150,10:34:10.933899,1,-1.0
2,10:34:02.864150,10:34:11.160398,1,-1.0
2,10:34:02.864150,10:34:11.407545,1,-1.0
2,10:34:02.864150,10:34:11.634545,1,-1.0
2,10:34:02.864150,10:34:11.901375,-1,-1.0
2,10:34:02.864150,10:34:12.158087,-1,-1.0
2,10:34:02.864150,10:34:12.638069,1,-1.0
2,10:34:02.864150,10:34:13.060610,-1,-1.0
2,10:34:02.864150,10:34:13.368699,-1,-1.0
2,10:34:02.864150,10:34:13.811951,-1,-1.0
