Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,19:06:01.910711,19:06:03.575584,-1,-1.0
1,19:06:01.910711,19:06:04.980557,-1,-1.0
1,19:06:01.910711,19:06:05.516460,1,-1.0
1,19:06:01.910711,19:06:06.635310,1,-1.0
1,19:06:01.910711,19:06:07.102978,1,-1.0
1,19:06:01.910711,19:06:07.615953,1,-1.0
1,19:06:01.910711,19:06:09.310480,1,-1.0
1,19:06:01.910711,19:06:10.113919,-1,-1.0
1,19:06:01.910711,19:06:11.151491,-1,-1.0
1,19:06:01.910711,19:06:12.098998,-1,-1.0
1,19:06:01.910711,19:06:12.526658,-1,-1.0
1,19:06:01.910711,19:06:13.082371,-1,-1.0
1,19:06:01.910711,19:06:13.562735,1,-1.0
1,19:06:01.910711,19:06:14.268308,-1,-1.0
1,19:06:01.910711,19:06:14.689705,-1,-1.0
1,19:06:01.910711,19:06:15.126655,1,-1.0
1,19:06:01.910711,19:06:15.497937,1,-1.0
1,19:06:01.910711,19:06:15.921340,1,-1.0
1,19:06:01.910711,19:06:16.402748,1,-1.0
1,19:06:01.910711,19:06:17.670898,1,-1.0
1,19:06:01.910711,19:06:18.583449,-1,-1.0
1,19:06:01.910711,19:06:19.107745,-1,-1.0
1,19:06:01.910711,19:06:19.578478,1,-1.0
1,19:06:01.910711,19:06:20.038434,1,-1.0
1,19:06:01.910711,19:06:20.498535,1,-1.0
1,19:06:01.910711,19:06:20.961672,1,-1.0
1,19:06:01.910711,19:06:21.421342,1,-1.0
1,19:06:01.910711,19:06:21.913005,1,-1.0
1,19:06:01.910711,19:06:22.585465,1,-1.0
1,19:06:01.910711,19:06:23.107610,1,-1.0
1,19:06:01.910711,19:06:23.656562,1,-1.0
1,19:06:01.910711,19:06:24.236406,1,-1.0
1,19:06:01.910711,19:06:24.780459,1,-1.0
1,19:06:01.910711,19:06:25.389570,1,-1.0
1,19:06:01.910711,19:06:25.975380,1,-1.0
1,19:06:01.910711,19:06:26.548912,1,-1.0
