Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,18:53:22.971270,18:53:24.640158,-1,-1.0
1,18:53:22.971270,18:53:25.815454,-1,-1.0
1,18:53:22.971270,18:53:26.329439,1,-1.0
1,18:53:22.971270,18:53:26.765105,1,-1.0
1,18:53:22.971270,18:53:27.222056,1,-1.0
1,18:53:22.971270,18:53:27.729188,1,-1.0
1,18:53:22.971270,18:53:28.260309,1,-1.0
1,18:53:22.971270,18:53:28.947603,1,-1.0
1,18:53:22.971270,18:53:29.621422,1,-1.0
1,18:53:22.971270,18:53:30.333459,1,-1.0
1,18:53:22.971270,18:53:30.991526,1,-1.0
1,18:53:22.971270,18:53:32.005623,-1,-1.0
1,18:53:22.971270,18:53:32.637720,-1,-1.0
1,18:53:22.971270,18:53:33.346324,-1,-1.0
1,18:53:22.971270,18:53:34.011071,-1,-1.0
1,18:53:22.971270,18:53:34.564776,-1,-1.0
1,18:53:22.971270,18:53:35.100705,-1,-1.0
1,18:53:22.971270,18:53:35.521216,1,-1.0
1,18:53:22.971270,18:53:35.927560,1,-1.0
1,18:53:22.971270,18:53:36.312210,1,-1.0
1,18:53:22.971270,18:53:36.763142,1,-1.0
1,18:53:22.971270,18:53:37.224322,1,-1.0
1,18:53:22.971270,18:53:37.749283,1,-1.0
1,18:53:22.971270,18:53:38.308428,1,-1.0
1,18:53:22.971270,18:53:38.906934,1,-1.0
1,18:53:22.971270,18:53:39.530433,1,-1.0
1,18:53:22.971270,18:53:39.932457,-1,-1.0
1,18:53:22.971270,18:53:40.514987,-1,-1.0
1,18:53:22.971270,18:53:41.103076,1,-1.0
1,18:53:22.971270,18:53:41.712227,1,-1.0
1,18:53:22.971270,18:53:42.284588,1,-1.0
1,18:53:22.971270,18:53:42.905930,1,-1.0
1,18:53:22.971270,18:53:43.517908,1,-1.0
1,18:53:22.971270,18:53:44.170652,1,-1.0
1,18:53:22.971270,18:53:44.792047,1,-1.0
1,18:53:22.971270,18:53:45.397717,1,-1.0
1,18:53:22.971270,18:53:46.025441,1,-1.0
1,18:53:22.971270,18:53:46.623431,1,-1.0
1,18:53:22.971270,18:53:47.244733,1,-1.0
1,18:53:22.971270,18:53:47.832274,1,-1.0
1,18:53:22.971270,18:53:48.377135,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,18:54:08.440697,18:54:10.229978,1,-1.0
2,18:54:08.440697,18:54:10.986857,1,-1.0
2,18:54:08.440697,18:54:11.651918,1,-1.0
2,18:54:08.440697,18:54:12.323445,1,-1.0
2,18:54:08.440697,18:54:13.075242,1,-1.0
2,18:54:08.440697,18:54:13.805106,1,-1.0
2,18:54:08.440697,18:54:14.491601,-1,-1.0
2,18:54:08.440697,18:54:15.090059,-1,-1.0
2,18:54:08.440697,18:54:15.665509,-1,-1.0
2,18:54:08.440697,18:54:16.222668,-1,-1.0
2,18:54:08.440697,18:54:16.780288,-1,-1.0
2,18:54:08.440697,18:54:17.231753,1,-1.0
2,18:54:08.440697,18:54:17.530503,1,-1.0
2,18:54:08.440697,18:54:17.820636,1,-1.0
2,18:54:08.440697,18:54:18.089210,1,-1.0
2,18:54:08.440697,18:54:18.361032,1,-1.0
2,18:54:08.440697,18:54:18.644065,1,-1.0
2,18:54:08.440697,18:54:18.965154,1,-1.0
2,18:54:08.440697,18:54:19.285519,1,-1.0
2,18:54:08.440697,18:54:19.579352,1,-1.0
2,18:54:08.440697,18:54:19.881292,1,-1.0
2,18:54:08.440697,18:54:20.203769,1,-1.0
2,18:54:08.440697,18:54:20.592585,-1,-1.0
2,18:54:08.440697,18:54:21.128906,-1,-1.0
2,18:54:08.440697,18:54:21.673757,1,-1.0
2,18:54:08.440697,18:54:21.973754,1,-1.0
2,18:54:08.440697,18:54:22.255147,1,-1.0
2,18:54:08.440697,18:54:22.547520,1,-1.0
2,18:54:08.440697,18:54:22.839014,1,-1.0
2,18:54:08.440697,18:54:23.120064,1,-1.0
2,18:54:08.440697,18:54:23.420952,1,-1.0
2,18:54:08.440697,18:54:23.700940,1,-1.0
2,18:54:08.440697,18:54:23.959897,1,-1.0
2,18:54:08.440697,18:54:24.260606,1,-1.0
2,18:54:08.440697,18:54:24.529329,1,-1.0
2,18:54:08.440697,18:54:24.881425,1,-1.0
2,18:54:08.440697,18:54:25.224075,1,-1.0
2,18:54:08.440697,18:54:25.565713,1,-1.0
2,18:54:08.440697,18:54:26.219301,1,-1.0
2,18:54:08.440697,18:54:27.839241,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,18:54:46.756921,18:54:48.049056,1,-1.0
3,18:54:46.756921,18:54:48.614568,1,-1.0
3,18:54:46.756921,18:54:49.157210,1,-1.0
3,18:54:46.756921,18:54:49.868974,1,-1.0
3,18:54:46.756921,18:54:50.554052,1,-1.0
3,18:54:46.756921,18:54:51.844168,-1,-1.0
3,18:54:46.756921,18:54:52.612655,-1,-1.0
3,18:54:46.756921,18:54:53.391365,1,-1.0
3,18:54:46.756921,18:54:53.913746,1,-1.0
3,18:54:46.756921,18:54:54.469381,1,-1.0
3,18:54:46.756921,18:54:55.026390,1,-1.0
3,18:54:46.756921,18:54:55.864765,1,-1.0
3,18:54:46.756921,18:54:56.541885,1,-1.0
3,18:54:46.756921,18:54:56.979300,-1,-1.0
3,18:54:46.756921,18:54:57.621710,1,-1.0
3,18:54:46.756921,18:54:58.100113,1,-1.0
3,18:54:46.756921,18:54:58.505170,1,-1.0
3,18:54:46.756921,18:54:58.869170,1,-1.0
3,18:54:46.756921,18:54:59.170628,1,-1.0
3,18:54:46.756921,18:54:59.480027,1,-1.0
3,18:54:46.756921,18:54:59.751436,1,-1.0
3,18:54:46.756921,18:55:00.042088,1,-1.0
3,18:54:46.756921,18:55:00.317811,1,-1.0
3,18:54:46.756921,18:55:00.587139,1,-1.0
3,18:54:46.756921,18:55:01.080386,1,-1.0
3,18:54:46.756921,18:55:02.364644,1,-1.0
