Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:13:02.380780,15:13:04.654081,1,-1.0
1,15:13:02.380780,15:13:04.821247,1,-1.0
1,15:13:02.380780,15:13:04.972562,1,-1.0
1,15:13:02.380780,15:13:05.285360,1,-1.0
1,15:13:02.380780,15:13:05.492040,1,-1.0
1,15:13:02.380780,15:13:05.675755,1,-1.0
1,15:13:02.380780,15:13:05.836791,1,-1.0
1,15:13:02.380780,15:13:06.020138,1,-1.0
1,15:13:02.380780,15:13:06.181947,1,-1.0
1,15:13:02.380780,15:13:06.311524,1,-1.0
1,15:13:02.380780,15:13:06.421520,1,-1.0
1,15:13:02.380780,15:13:06.563262,1,-1.0
1,15:13:02.380780,15:13:06.686448,1,-1.0
1,15:13:02.380780,15:13:06.806691,1,-1.0
1,15:13:02.380780,15:13:06.952074,1,-1.0
1,15:13:02.380780,15:13:07.102894,1,-1.0
1,15:13:02.380780,15:13:07.347033,1,-1.0
1,15:13:02.380780,15:13:07.507519,1,-1.0
1,15:13:02.380780,15:13:07.647141,1,-1.0
1,15:13:02.380780,15:13:07.820305,1,-1.0
1,15:13:02.380780,15:13:07.971784,1,-1.0
1,15:13:02.380780,15:13:08.128224,1,-1.0
1,15:13:02.380780,15:13:08.283876,1,-1.0
1,15:13:02.380780,15:13:08.425702,1,-1.0
1,15:13:02.380780,15:13:08.586171,1,-1.0
1,15:13:02.380780,15:13:08.727900,1,-1.0
1,15:13:02.380780,15:13:08.889592,1,-1.0
1,15:13:02.380780,15:13:09.032635,1,-1.0
1,15:13:02.380780,15:13:09.194728,1,-1.0
1,15:13:02.380780,15:13:09.353278,1,-1.0
1,15:13:02.380780,15:13:09.506625,1,-1.0
1,15:13:02.380780,15:13:09.668708,1,-1.0
1,15:13:02.380780,15:13:09.828659,-1,-1.0
1,15:13:02.380780,15:13:10.000119,-1,-1.0
1,15:13:02.380780,15:13:10.246990,-1,-1.0
1,15:13:02.380780,15:13:10.386323,-1,-1.0
1,15:13:02.380780,15:13:10.674458,-1,-1.0
1,15:13:02.380780,15:13:10.839450,-1,-1.0
1,15:13:02.380780,15:13:10.981065,-1,-1.0
1,15:13:02.380780,15:13:11.143749,-1,-1.0
1,15:13:02.380780,15:13:11.317267,-1,-1.0
1,15:13:02.380780,15:13:11.468554,-1,-1.0
1,15:13:02.380780,15:13:11.959192,-1,-1.0
1,15:13:02.380780,15:13:12.112792,-1,-1.0
1,15:13:02.380780,15:13:12.500972,-1,-1.0
1,15:13:02.380780,15:13:13.401255,-1,-1.0
1,15:13:02.380780,15:13:14.764049,1,-1.0
1,15:13:02.380780,15:13:15.097529,-1,-1.0
1,15:13:02.380780,15:13:15.564165,-1,-1.0
1,15:13:02.380780,15:13:16.053089,-1,-1.0
1,15:13:02.380780,15:13:16.446997,1,-1.0
1,15:13:02.380780,15:13:16.578210,1,-1.0
1,15:13:02.380780,15:13:16.755038,1,-1.0
1,15:13:02.380780,15:13:16.898331,1,-1.0
1,15:13:02.380780,15:13:17.042532,1,-1.0
1,15:13:02.380780,15:13:17.186357,1,-1.0
1,15:13:02.380780,15:13:17.337308,1,-1.0
1,15:13:02.380780,15:13:17.488182,1,-1.0
1,15:13:02.380780,15:13:17.621550,1,-1.0
1,15:13:02.380780,15:13:17.765593,1,-1.0
1,15:13:02.380780,15:13:17.910420,1,-1.0
1,15:13:02.380780,15:13:18.054563,1,-1.0
1,15:13:02.380780,15:13:18.195249,1,-1.0
1,15:13:02.380780,15:13:18.347134,1,-1.0
1,15:13:02.380780,15:13:18.495702,1,-1.0
1,15:13:02.380780,15:13:18.584416,1,-1.0
1,15:13:02.380780,15:13:19.437960,1,-1.0
1,15:13:02.380780,15:13:19.587852,1,-1.0
1,15:13:02.380780,15:13:19.747680,1,-1.0
1,15:13:02.380780,15:13:19.913583,1,-1.0
1,15:13:02.380780,15:13:20.077842,1,-1.0
1,15:13:02.380780,15:13:20.456037,-1,-1.0
1,15:13:02.380780,15:13:20.668584,-1,-1.0
1,15:13:02.380780,15:13:20.855192,-1,-1.0
1,15:13:02.380780,15:13:21.030399,-1,-1.0
1,15:13:02.380780,15:13:21.210229,-1,-1.0
1,15:13:02.380780,15:13:21.368052,-1,-1.0
1,15:13:02.380780,15:13:21.935959,1,-1.0
1,15:13:02.380780,15:13:22.149574,1,-1.0
1,15:13:02.380780,15:13:22.313394,1,-1.0
1,15:13:02.380780,15:13:22.479181,1,-1.0
1,15:13:02.380780,15:13:22.660098,1,-1.0
1,15:13:02.380780,15:13:22.801731,1,-1.0
1,15:13:02.380780,15:13:22.961553,1,-1.0
1,15:13:02.380780,15:13:23.132863,1,-1.0
1,15:13:02.380780,15:13:23.285274,1,-1.0
1,15:13:02.380780,15:13:23.437320,1,-1.0
1,15:13:02.380780,15:13:23.597954,1,-1.0
1,15:13:02.380780,15:13:23.795537,1,-1.0
1,15:13:02.380780,15:13:23.969261,1,-1.0
1,15:13:02.380780,15:13:24.167132,1,-1.0
1,15:13:02.380780,15:13:24.350632,1,-1.0
1,15:13:02.380780,15:13:24.522024,1,-1.0
1,15:13:02.380780,15:13:24.707625,1,-1.0
1,15:13:02.380780,15:13:24.875546,1,-1.0
1,15:13:02.380780,15:13:25.065154,1,-1.0
1,15:13:02.380780,15:13:25.250681,1,-1.0
1,15:13:02.380780,15:13:25.575318,-1,-1.0
1,15:13:02.380780,15:13:25.768035,-1,-1.0
1,15:13:02.380780,15:13:25.926530,-1,-1.0
1,15:13:02.380780,15:13:26.094970,-1,-1.0
1,15:13:02.380780,15:13:26.240993,-1,-1.0
1,15:13:02.380780,15:13:26.398030,-1,-1.0
1,15:13:02.380780,15:13:26.903080,-1,-1.0
1,15:13:02.380780,15:13:27.864643,1,-1.0
1,15:13:02.380780,15:13:28.026474,1,-1.0
1,15:13:02.380780,15:13:28.221329,1,-1.0
1,15:13:02.380780,15:13:28.394571,1,-1.0
1,15:13:02.380780,15:13:28.565335,1,-1.0
1,15:13:02.380780,15:13:28.735394,1,-1.0
1,15:13:02.380780,15:13:28.895414,1,-1.0
1,15:13:02.380780,15:13:29.071025,1,-1.0
1,15:13:02.380780,15:13:29.255243,1,-1.0
1,15:13:02.380780,15:13:29.438649,1,-1.0
1,15:13:02.380780,15:13:29.642379,1,-1.0
1,15:13:02.380780,15:13:29.826766,1,-1.0
1,15:13:02.380780,15:13:30.032758,1,-1.0
1,15:13:02.380780,15:13:30.254466,1,-1.0
1,15:13:02.380780,15:13:30.446959,1,-1.0
1,15:13:02.380780,15:13:30.642849,1,-1.0
1,15:13:02.380780,15:13:30.848022,1,-1.0
1,15:13:02.380780,15:13:31.031575,1,-1.0
1,15:13:02.380780,15:13:31.224674,1,-1.0
1,15:13:02.380780,15:13:31.440933,1,-1.0
1,15:13:02.380780,15:13:31.633976,1,-1.0
1,15:13:02.380780,15:13:31.795999,1,-1.0
1,15:13:02.380780,15:13:31.987829,1,-1.0
1,15:13:02.380780,15:13:32.190936,1,-1.0
1,15:13:02.380780,15:13:32.383493,1,-1.0
1,15:13:02.380780,15:13:32.584385,1,-1.0
1,15:13:02.380780,15:13:32.777846,1,-1.0
1,15:13:02.380780,15:13:32.986801,1,-1.0
1,15:13:02.380780,15:13:33.181138,1,-1.0
1,15:13:02.380780,15:13:33.384652,1,-1.0
1,15:13:02.380780,15:13:33.577805,1,-1.0
1,15:13:02.380780,15:13:33.782581,1,-1.0
1,15:13:02.380780,15:13:33.972532,1,-1.0
1,15:13:02.380780,15:13:34.159348,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,15:13:34.783648,15:13:37.958523,-1,-1.0
2,15:13:34.783648,15:13:38.599035,-1,-1.0
2,15:13:34.783648,15:13:39.115688,-1,-1.0
2,15:13:34.783648,15:13:39.586567,-1,-1.0
2,15:13:34.783648,15:13:40.502521,1,-1.0
2,15:13:34.783648,15:13:40.674581,1,-1.0
2,15:13:34.783648,15:13:40.859415,1,-1.0
2,15:13:34.783648,15:13:41.030875,1,-1.0
2,15:13:34.783648,15:13:41.225349,1,-1.0
2,15:13:34.783648,15:13:41.393510,1,-1.0
2,15:13:34.783648,15:13:41.584271,1,-1.0
2,15:13:34.783648,15:13:41.763881,1,-1.0
2,15:13:34.783648,15:13:41.948920,1,-1.0
2,15:13:34.783648,15:13:42.112458,1,-1.0
2,15:13:34.783648,15:13:42.297900,1,-1.0
2,15:13:34.783648,15:13:42.479935,1,-1.0
2,15:13:34.783648,15:13:42.675100,1,-1.0
2,15:13:34.783648,15:13:42.869040,1,-1.0
2,15:13:34.783648,15:13:43.040200,1,-1.0
2,15:13:34.783648,15:13:43.224478,1,-1.0
2,15:13:34.783648,15:13:43.419014,1,-1.0
2,15:13:34.783648,15:13:43.611340,1,-1.0
2,15:13:34.783648,15:13:43.814308,1,-1.0
2,15:13:34.783648,15:13:43.995438,1,-1.0
2,15:13:34.783648,15:13:44.166872,1,-1.0
2,15:13:34.783648,15:13:44.361730,1,-1.0
2,15:13:34.783648,15:13:44.556157,1,-1.0
2,15:13:34.783648,15:13:44.772889,1,-1.0
2,15:13:34.783648,15:13:44.953813,1,-1.0
2,15:13:34.783648,15:13:45.147019,1,-1.0
2,15:13:34.783648,15:13:45.359320,1,-1.0
2,15:13:34.783648,15:13:45.560942,1,-1.0
2,15:13:34.783648,15:13:45.746709,1,-1.0
2,15:13:34.783648,15:13:45.950892,1,-1.0
2,15:13:34.783648,15:13:46.186221,1,-1.0
2,15:13:34.783648,15:13:46.412519,1,-1.0
2,15:13:34.783648,15:13:46.617986,1,-1.0
2,15:13:34.783648,15:13:46.924144,-1,-1.0
2,15:13:34.783648,15:13:47.426755,-1,-1.0
2,15:13:34.783648,15:13:47.661637,-1,-1.0
2,15:13:34.783648,15:13:48.423272,1,-1.0
2,15:13:34.783648,15:13:48.652834,1,-1.0
2,15:13:34.783648,15:13:48.865256,1,-1.0
2,15:13:34.783648,15:13:49.028271,1,-1.0
2,15:13:34.783648,15:13:49.212387,1,-1.0
2,15:13:34.783648,15:13:49.386072,1,-1.0
2,15:13:34.783648,15:13:49.579635,1,-1.0
2,15:13:34.783648,15:13:49.764162,1,-1.0
2,15:13:34.783648,15:13:49.954579,1,-1.0
2,15:13:34.783648,15:13:50.188770,1,-1.0
2,15:13:34.783648,15:13:50.360911,1,-1.0
2,15:13:34.783648,15:13:50.523071,1,-1.0
2,15:13:34.783648,15:13:50.708749,1,-1.0
2,15:13:34.783648,15:13:50.901694,1,-1.0
2,15:13:34.783648,15:13:51.062508,1,-1.0
2,15:13:34.783648,15:13:51.256541,1,-1.0
2,15:13:34.783648,15:13:51.454980,1,-1.0
2,15:13:34.783648,15:13:51.644489,1,-1.0
2,15:13:34.783648,15:13:51.846523,1,-1.0
2,15:13:34.783648,15:13:52.026420,1,-1.0
2,15:13:34.783648,15:13:52.209664,1,-1.0
2,15:13:34.783648,15:13:52.412519,1,-1.0
2,15:13:34.783648,15:13:52.606196,1,-1.0
2,15:13:34.783648,15:13:52.796763,1,-1.0
2,15:13:34.783648,15:13:52.979729,1,-1.0
2,15:13:34.783648,15:13:53.183145,1,-1.0
2,15:13:34.783648,15:13:53.386814,1,-1.0
2,15:13:34.783648,15:13:53.581208,1,-1.0
2,15:13:34.783648,15:13:53.781953,1,-1.0
2,15:13:34.783648,15:13:53.996933,1,-1.0
2,15:13:34.783648,15:13:54.203635,1,-1.0
2,15:13:34.783648,15:13:54.405358,1,-1.0
2,15:13:34.783648,15:13:54.609988,1,-1.0
2,15:13:34.783648,15:13:54.823719,1,-1.0
2,15:13:34.783648,15:13:55.026709,1,-1.0
2,15:13:34.783648,15:13:55.220096,1,-1.0
2,15:13:34.783648,15:13:55.426517,1,-1.0
2,15:13:34.783648,15:13:55.621400,1,-1.0
2,15:13:34.783648,15:13:55.798271,1,-1.0
2,15:13:34.783648,15:13:55.980101,1,-1.0
