Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,18:30:09.822535,18:30:10.816184,1,-1.0
1,18:30:09.822535,18:30:11.034064,1,-1.0
1,18:30:09.822535,18:30:11.241667,1,-1.0
1,18:30:09.822535,18:30:11.472574,1,-1.0
1,18:30:09.822535,18:30:11.694520,1,-1.0
1,18:30:09.822535,18:30:11.912690,1,-1.0
1,18:30:09.822535,18:30:12.130518,1,-1.0
1,18:30:09.822535,18:30:12.362939,1,-1.0
1,18:30:09.822535,18:30:12.583795,1,-1.0
1,18:30:09.822535,18:30:12.828026,1,-1.0
1,18:30:09.822535,18:30:13.067852,1,-1.0
1,18:30:09.822535,18:30:13.309802,1,-1.0
1,18:30:09.822535,18:30:13.564238,1,-1.0
1,18:30:09.822535,18:30:13.822697,-1,-1.0
1,18:30:09.822535,18:30:14.136063,-1,-1.0
1,18:30:09.822535,18:30:14.432459,-1,-1.0
1,18:30:09.822535,18:30:14.684666,-1,-1.0
1,18:30:09.822535,18:30:14.914554,-1,-1.0
1,18:30:09.822535,18:30:15.188349,-1,-1.0
1,18:30:09.822535,18:30:15.703162,-1,-1.0
1,18:30:09.822535,18:30:16.128079,-1,-1.0
1,18:30:09.822535,18:30:16.592865,1,-1.0
1,18:30:09.822535,18:30:16.975740,-1,-1.0
