Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,18:52:13.893904,18:52:14.848057,1,-1.0
1,18:52:13.893904,18:52:15.095544,1,-1.0
1,18:52:13.893904,18:52:15.301746,1,-1.0
1,18:52:13.893904,18:52:15.516848,1,-1.0
1,18:52:13.893904,18:52:15.742385,1,-1.0
1,18:52:13.893904,18:52:15.967053,1,-1.0
1,18:52:13.893904,18:52:16.181385,1,-1.0
1,18:52:13.893904,18:52:16.396299,1,-1.0
1,18:52:13.893904,18:52:16.623162,1,-1.0
1,18:52:13.893904,18:52:16.836482,1,-1.0
1,18:52:13.893904,18:52:17.061097,1,-1.0
1,18:52:13.893904,18:52:17.286507,1,-1.0
1,18:52:13.893904,18:52:19.605066,1,-1.0
1,18:52:13.893904,18:52:22.917115,-1,-1.0
1,18:52:13.893904,18:52:23.173730,-1,-1.0
1,18:52:13.893904,18:52:23.378790,-1,-1.0
1,18:52:13.893904,18:52:23.606169,-1,-1.0
1,18:52:13.893904,18:52:23.801425,-1,-1.0
1,18:52:13.893904,18:52:24.015470,-1,-1.0
1,18:52:13.893904,18:52:24.458025,1,-1.0
1,18:52:13.893904,18:52:24.660511,1,-1.0
1,18:52:13.893904,18:52:24.851949,1,-1.0
1,18:52:13.893904,18:52:25.064820,-1,-1.0
1,18:52:13.893904,18:52:25.387217,-1,-1.0
1,18:52:13.893904,18:52:25.756062,-1,-1.0
1,18:52:13.893904,18:52:26.078130,-1,-1.0
1,18:52:13.893904,18:52:26.507984,1,-1.0
1,18:52:13.893904,18:52:26.698541,1,-1.0
1,18:52:13.893904,18:52:26.879721,1,-1.0
1,18:52:13.893904,18:52:27.073410,1,-1.0
1,18:52:13.893904,18:52:27.255722,1,-1.0
1,18:52:13.893904,18:52:27.438327,1,-1.0
1,18:52:13.893904,18:52:27.619680,1,-1.0
1,18:52:13.893904,18:52:27.812276,1,-1.0
1,18:52:13.893904,18:52:28.007626,1,-1.0
1,18:52:13.893904,18:52:28.201509,1,-1.0
1,18:52:13.893904,18:52:28.404367,1,-1.0
1,18:52:13.893904,18:52:28.600714,1,-1.0
1,18:52:13.893904,18:52:28.795347,1,-1.0
1,18:52:13.893904,18:52:28.999388,1,-1.0
1,18:52:13.893904,18:52:29.190674,1,-1.0
1,18:52:13.893904,18:52:29.394204,1,-1.0
1,18:52:13.893904,18:52:29.605851,1,-1.0
1,18:52:13.893904,18:52:29.827874,1,-1.0
1,18:52:13.893904,18:52:30.042321,1,-1.0
1,18:52:13.893904,18:52:30.265845,1,-1.0
1,18:52:13.893904,18:52:30.470521,1,-1.0
1,18:52:13.893904,18:52:30.684503,1,-1.0
1,18:52:13.893904,18:52:30.899182,1,-1.0
1,18:52:13.893904,18:52:31.134106,1,-1.0
1,18:52:13.893904,18:52:31.359398,1,-1.0
1,18:52:13.893904,18:52:31.598271,1,-1.0
1,18:52:13.893904,18:52:31.813408,1,-1.0
1,18:52:13.893904,18:52:32.025656,1,-1.0
1,18:52:13.893904,18:52:32.241666,1,-1.0
1,18:52:13.893904,18:52:32.466158,1,-1.0
1,18:52:13.893904,18:52:32.691782,1,-1.0
1,18:52:13.893904,18:52:32.916849,1,-1.0
1,18:52:13.893904,18:52:33.131160,1,-1.0
1,18:52:13.893904,18:52:33.366288,1,-1.0
1,18:52:13.893904,18:52:33.590317,1,-1.0
1,18:52:13.893904,18:52:33.828132,1,-1.0
1,18:52:13.893904,18:52:34.041628,1,-1.0
1,18:52:13.893904,18:52:34.266672,1,-1.0
1,18:52:13.893904,18:52:34.495727,1,-1.0
1,18:52:13.893904,18:52:34.699128,1,-1.0
1,18:52:13.893904,18:52:34.924117,1,-1.0
1,18:52:13.893904,18:52:36.065797,-1,-1.0
1,18:52:13.893904,18:52:36.301369,-1,-1.0
1,18:52:13.893904,18:52:36.577272,1,-1.0
