Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,19:45:31.247860,19:45:32.485474,1,-1.0
1,19:45:31.247860,19:45:33.026746,1,-1.0
1,19:45:31.247860,19:45:35.619905,1,-1.0
1,19:45:31.247860,19:45:37.707704,-1,-1.0
1,19:45:31.247860,19:45:39.100888,-1,-1.0
1,19:45:31.247860,19:45:39.813197,-1,-1.0
1,19:45:31.247860,19:45:40.200427,1,-1.0
1,19:45:31.247860,19:45:40.948839,1,-1.0
1,19:45:31.247860,19:45:41.601991,1,-1.0
1,19:45:31.247860,19:45:43.096049,1,-1.0
1,19:45:31.247860,19:45:44.207910,1,-1.0
1,19:45:31.247860,19:45:47.439356,-1,-1.0
1,19:45:31.247860,19:45:47.620973,-1,-1.0
1,19:45:31.247860,19:45:47.775321,-1,-1.0
1,19:45:31.247860,19:45:48.290754,-1,-1.0
1,19:45:31.247860,19:45:48.778829,-1,-1.0
1,19:45:31.247860,19:45:49.250903,1,-1.0
1,19:45:31.247860,19:45:49.500534,1,-1.0
1,19:45:31.247860,19:45:49.750177,1,-1.0
1,19:45:31.247860,19:45:50.020112,1,-1.0
1,19:45:31.247860,19:45:50.682074,1,-1.0
1,19:45:31.247860,19:45:53.233676,-1,-1.0
1,19:45:31.247860,19:45:53.650142,1,-1.0
1,19:45:31.247860,19:45:54.763114,1,-1.0
1,19:45:31.247860,19:45:54.923458,1,-1.0
1,19:45:31.247860,19:45:55.074613,1,-1.0
1,19:45:31.247860,19:45:55.214811,1,-1.0
1,19:45:31.247860,19:45:55.364551,1,-1.0
1,19:45:31.247860,19:45:55.514481,1,-1.0
1,19:45:31.247860,19:45:55.643185,1,-1.0
1,19:45:31.247860,19:45:56.062671,1,-1.0
1,19:45:31.247860,19:45:57.467654,1,-1.0
1,19:45:31.247860,19:45:58.477489,1,-1.0
1,19:45:31.247860,19:45:58.706703,1,-1.0
1,19:45:31.247860,19:45:58.888883,1,-1.0
1,19:45:31.247860,19:45:59.081755,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,19:46:28.295387,19:46:30.007542,1,-1.0
2,19:46:28.295387,19:46:32.484704,1,-1.0
2,19:46:28.295387,19:46:34.573092,-1,-1.0
2,19:46:28.295387,19:46:35.227478,-1,-1.0
2,19:46:28.295387,19:46:36.527892,1,-1.0
2,19:46:28.295387,19:46:38.295845,1,-1.0
2,19:46:28.295387,19:46:38.809226,-1,-1.0
2,19:46:28.295387,19:46:39.884733,-1,-1.0
2,19:46:28.295387,19:46:40.723382,-1,-1.0
2,19:46:28.295387,19:46:41.424718,-1,-1.0
2,19:46:28.295387,19:46:42.511843,-1,-1.0
2,19:46:28.295387,19:46:43.092012,1,-1.0
2,19:46:28.295387,19:46:44.737735,1,-1.0
2,19:46:28.295387,19:46:48.020000,1,-1.0
2,19:46:28.295387,19:46:48.521248,1,-1.0
2,19:46:28.295387,19:46:49.011857,1,-1.0
2,19:46:28.295387,19:46:50.237361,1,-1.0
2,19:46:28.295387,19:46:51.186325,1,-1.0
2,19:46:28.295387,19:46:52.665203,-1,-1.0
2,19:46:28.295387,19:46:53.111278,1,-1.0
2,19:46:28.295387,19:46:55.305446,1,-1.0
2,19:46:28.295387,19:46:56.198744,1,-1.0
2,19:46:28.295387,19:46:56.560797,1,-1.0
2,19:46:28.295387,19:46:57.213055,1,-1.0
2,19:46:28.295387,19:46:57.872023,1,-1.0
