Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,18:57:05.254260,18:57:06.719031,-1,-1.0
1,18:57:05.254260,18:57:07.676978,-1,-1.0
1,18:57:05.254260,18:57:08.138740,1,-1.0
1,18:57:05.254260,18:57:08.747841,1,-1.0
1,18:57:05.254260,18:57:09.440334,1,-1.0
1,18:57:05.254260,18:57:10.198943,1,-1.0
1,18:57:05.254260,18:57:11.304897,1,-1.0
1,18:57:05.254260,18:57:12.578480,1,-1.0
1,18:57:05.254260,18:57:14.388074,-1,-1.0
1,18:57:05.254260,18:57:15.368647,-1,-1.0
1,18:57:05.254260,18:57:16.064439,-1,-1.0
1,18:57:05.254260,18:57:16.740848,-1,-1.0
1,18:57:05.254260,18:57:17.347200,-1,-1.0
1,18:57:05.254260,18:57:17.809630,1,-1.0
1,18:57:05.254260,18:57:18.580623,1,-1.0
1,18:57:05.254260,18:57:19.467869,1,-1.0
1,18:57:05.254260,18:57:20.468899,1,-1.0
1,18:57:05.254260,18:57:21.594002,-1,-1.0
1,18:57:05.254260,18:57:22.137233,1,-1.0
1,18:57:05.254260,18:57:22.876058,1,-1.0
1,18:57:05.254260,18:57:23.604232,1,-1.0
1,18:57:05.254260,18:57:24.704468,1,-1.0
1,18:57:05.254260,18:57:25.230491,1,-1.0
1,18:57:05.254260,18:57:25.432515,1,-1.0
1,18:57:05.254260,18:57:25.628534,1,-1.0
1,18:57:05.254260,18:57:25.819524,1,-1.0
1,18:57:05.254260,18:57:26.024111,1,-1.0
1,18:57:05.254260,18:57:26.217449,1,-1.0
1,18:57:05.254260,18:57:27.387152,1,-1.0
1,18:57:05.254260,18:57:27.634115,1,-1.0
1,18:57:05.254260,18:57:29.169781,1,-1.0
1,18:57:05.254260,18:57:29.437501,1,-1.0
1,18:57:05.254260,18:57:29.718220,1,-1.0
1,18:57:05.254260,18:57:29.985743,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,18:57:56.864102,18:57:58.216960,1,-1.0
2,18:57:56.864102,18:57:59.082391,1,-1.0
2,18:57:56.864102,18:58:00.124163,1,-1.0
2,18:57:56.864102,18:58:01.315541,1,-1.0
2,18:57:56.864102,18:58:02.950231,-1,-1.0
2,18:57:56.864102,18:58:03.954631,-1,-1.0
2,18:57:56.864102,18:58:04.928382,-1,-1.0
2,18:57:56.864102,18:58:05.450397,1,-1.0
2,18:57:56.864102,18:58:06.272820,1,-1.0
2,18:57:56.864102,18:58:07.273163,1,-1.0
2,18:57:56.864102,18:58:08.246437,1,-1.0
2,18:57:56.864102,18:58:09.164173,1,-1.0
2,18:57:56.864102,18:58:10.404855,1,-1.0
2,18:57:56.864102,18:58:10.651059,1,-1.0
2,18:57:56.864102,18:58:10.864799,1,-1.0
2,18:57:56.864102,18:58:11.100092,1,-1.0
2,18:57:56.864102,18:58:11.302442,1,-1.0
2,18:57:56.864102,18:58:11.487169,1,-1.0
2,18:57:56.864102,18:58:11.669411,1,-1.0
2,18:57:56.864102,18:58:11.862693,1,-1.0
2,18:57:56.864102,18:58:12.054343,1,-1.0
2,18:57:56.864102,18:58:12.247116,1,-1.0
2,18:57:56.864102,18:58:12.440631,1,-1.0
2,18:57:56.864102,18:58:12.634311,1,-1.0
2,18:57:56.864102,18:58:12.816076,1,-1.0
2,18:57:56.864102,18:58:13.680927,1,-1.0
2,18:57:56.864102,18:58:13.885897,1,-1.0
2,18:57:56.864102,18:58:14.444271,1,-1.0
2,18:57:56.864102,18:58:16.167613,1,-1.0
2,18:57:56.864102,18:58:16.370903,1,-1.0
2,18:57:56.864102,18:58:16.562710,1,-1.0
2,18:57:56.864102,18:58:16.768088,1,-1.0
2,18:57:56.864102,18:58:16.996679,1,-1.0
2,18:57:56.864102,18:58:17.227806,1,-1.0
2,18:57:56.864102,18:58:17.454067,1,-1.0
2,18:57:56.864102,18:58:17.680185,1,-1.0
2,18:57:56.864102,18:58:17.907636,1,-1.0
