Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:41:44.829041,14:41:46.687953,1,-1.0
1,14:41:44.829041,14:41:46.901929,1,-1.0
1,14:41:44.829041,14:41:47.146887,1,-1.0
1,14:41:44.829041,14:41:47.380111,1,-1.0
1,14:41:44.829041,14:41:47.593729,1,-1.0
1,14:41:44.829041,14:41:47.859985,1,-1.0
1,14:41:44.829041,14:41:48.116368,1,-1.0
1,14:41:44.829041,14:41:48.360490,1,-1.0
1,14:41:44.829041,14:41:48.639899,1,-1.0
1,14:41:44.829041,14:41:48.853290,1,-1.0
1,14:41:44.829041,14:41:49.234257,1,-1.0
1,14:41:44.829041,14:41:49.449790,1,-1.0
1,14:41:44.829041,14:41:49.674513,1,-1.0
1,14:41:44.829041,14:41:49.916596,1,-1.0
1,14:41:44.829041,14:41:50.165304,1,-1.0
1,14:41:44.829041,14:41:50.418458,1,-1.0
1,14:41:44.829041,14:41:51.156089,-1,-1.0
1,14:41:44.829041,14:41:51.408824,-1,-1.0
1,14:41:44.829041,14:41:51.745607,-1,-1.0
1,14:41:44.829041,14:41:52.120606,-1,-1.0
1,14:41:44.829041,14:41:52.436418,-1,-1.0
1,14:41:44.829041,14:41:52.649780,-1,-1.0
1,14:41:44.829041,14:41:52.938937,-1,-1.0
1,14:41:44.829041,14:41:53.202331,-1,-1.0
1,14:41:44.829041,14:41:53.813473,-1,-1.0
1,14:41:44.829041,14:41:54.230212,1,-1.0
1,14:41:44.829041,14:41:54.431779,1,-1.0
1,14:41:44.829041,14:41:54.658836,1,-1.0
1,14:41:44.829041,14:41:54.881667,1,-1.0
1,14:41:44.829041,14:41:55.445498,1,-1.0
1,14:41:44.829041,14:41:55.596539,1,-1.0
1,14:41:44.829041,14:41:55.759358,1,-1.0
1,14:41:44.829041,14:41:55.938453,1,-1.0
1,14:41:44.829041,14:41:56.090125,1,-1.0
1,14:41:44.829041,14:41:56.219814,1,-1.0
1,14:41:44.829041,14:41:56.381429,1,-1.0
1,14:41:44.829041,14:41:56.515720,1,-1.0
1,14:41:44.829041,14:41:56.657362,1,-1.0
1,14:41:44.829041,14:41:56.809850,1,-1.0
1,14:41:44.829041,14:41:56.951715,1,-1.0
1,14:41:44.829041,14:41:57.091496,1,-1.0
1,14:41:44.829041,14:41:57.381186,1,-1.0
1,14:41:44.829041,14:41:57.525750,1,-1.0
1,14:41:44.829041,14:41:57.677780,1,-1.0
1,14:41:44.829041,14:41:57.840562,1,-1.0
1,14:41:44.829041,14:41:57.999592,1,-1.0
1,14:41:44.829041,14:41:58.161654,1,-1.0
1,14:41:44.829041,14:41:58.325421,1,-1.0
1,14:41:44.829041,14:41:58.486099,1,-1.0
1,14:41:44.829041,14:41:58.648762,1,-1.0
1,14:41:44.829041,14:41:58.801529,1,-1.0
1,14:41:44.829041,14:41:58.965675,1,-1.0
1,14:41:44.829041,14:41:59.126845,1,-1.0
1,14:41:44.829041,14:41:59.289507,1,-1.0
1,14:41:44.829041,14:41:59.442545,1,-1.0
1,14:41:44.829041,14:41:59.595267,1,-1.0
1,14:41:44.829041,14:41:59.749406,1,-1.0
1,14:41:44.829041,14:41:59.922591,1,-1.0
1,14:41:44.829041,14:42:00.082006,1,-1.0
1,14:41:44.829041,14:42:00.246618,1,-1.0
1,14:41:44.829041,14:42:00.460991,1,-1.0
1,14:41:44.829041,14:42:01.376542,-1,-1.0
1,14:41:44.829041,14:42:01.580566,-1,-1.0
1,14:41:44.829041,14:42:01.837536,-1,-1.0
1,14:41:44.829041,14:42:02.092285,-1,-1.0
1,14:41:44.829041,14:42:02.332336,-1,-1.0
1,14:41:44.829041,14:42:02.600843,-1,-1.0
1,14:41:44.829041,14:42:03.076617,-1,-1.0
1,14:41:44.829041,14:42:03.352079,-1,-1.0
1,14:41:44.829041,14:42:03.622404,-1,-1.0
1,14:41:44.829041,14:42:03.852275,-1,-1.0
1,14:41:44.829041,14:42:04.363622,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
