Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,09:34:47.913804,09:34:48.720528,1,-1.0
1,09:34:47.913804,09:34:48.935509,1,-1.0
1,09:34:47.913804,09:34:49.193266,1,-1.0
1,09:34:47.913804,09:34:49.574333,-1,-1.0
1,09:34:47.913804,09:34:50.130689,-1,-1.0
1,09:34:47.913804,09:34:50.589271,-1,-1.0
1,09:34:47.913804,09:34:51.155885,-1,-1.0
1,09:34:47.913804,09:34:51.429323,1,-1.0
1,09:34:47.913804,09:34:51.681061,1,-1.0
1,09:34:47.913804,09:34:51.898718,1,-1.0
1,09:34:47.913804,09:34:52.130702,1,-1.0
1,09:34:47.913804,09:34:52.352200,1,-1.0
1,09:34:47.913804,09:34:52.598066,1,-1.0
1,09:34:47.913804,09:34:52.814787,1,-1.0
1,09:34:47.913804,09:34:53.028340,1,-1.0
1,09:34:47.913804,09:34:53.238508,1,-1.0
1,09:34:47.913804,09:34:53.509011,1,-1.0
1,09:34:47.913804,09:34:53.756447,1,-1.0
1,09:34:47.913804,09:34:53.970263,1,-1.0
1,09:34:47.913804,09:34:54.214832,1,-1.0
1,09:34:47.913804,09:34:54.402187,1,-1.0
1,09:34:47.913804,09:34:54.594191,1,-1.0
1,09:34:47.913804,09:34:54.812850,1,-1.0
1,09:34:47.913804,09:34:55.022261,1,-1.0
1,09:34:47.913804,09:34:55.213539,1,-1.0
1,09:34:47.913804,09:34:55.433329,1,-1.0
1,09:34:47.913804,09:34:55.629019,1,-1.0
1,09:34:47.913804,09:34:55.978867,1,-1.0
1,09:34:47.913804,09:34:56.202372,1,-1.0
1,09:34:47.913804,09:34:56.556501,-1,-1.0
1,09:34:47.913804,09:34:56.885241,-1,-1.0
1,09:34:47.913804,09:34:57.452556,-1,-1.0
1,09:34:47.913804,09:34:57.829286,-1,-1.0
1,09:34:47.913804,09:34:58.452006,-1,-1.0
1,09:34:47.913804,09:34:58.850205,-1,-1.0
1,09:34:47.913804,09:34:59.186671,-1,-1.0
1,09:34:47.913804,09:34:59.831342,1,-1.0
1,09:34:47.913804,09:35:00.073089,1,-1.0
1,09:34:47.913804,09:35:00.265288,1,-1.0
1,09:34:47.913804,09:35:00.474921,1,-1.0
1,09:34:47.913804,09:35:00.660491,1,-1.0
1,09:34:47.913804,09:35:00.896968,1,-1.0
1,09:34:47.913804,09:35:01.164198,-1,-1.0
1,09:34:47.913804,09:35:01.573356,-1,-1.0
1,09:34:47.913804,09:35:01.801087,-1,-1.0
1,09:34:47.913804,09:35:02.157295,-1,-1.0
1,09:34:47.913804,09:35:02.691510,-1,-1.0
1,09:34:47.913804,09:35:03.035574,-1,-1.0
1,09:34:47.913804,09:35:03.510004,1,-1.0
1,09:34:47.913804,09:35:03.903933,-1,-1.0
1,09:34:47.913804,09:35:04.536263,-1,-1.0
1,09:34:47.913804,09:35:05.486939,-1,-1.0
1,09:34:47.913804,09:35:06.214795,-1,-1.0
1,09:34:47.913804,09:35:06.582222,-1,-1.0
1,09:34:47.913804,09:35:06.908979,-1,-1.0
1,09:34:47.913804,09:35:07.209261,-1,-1.0
1,09:34:47.913804,09:35:07.553006,-1,-1.0
1,09:34:47.913804,09:35:07.961501,-1,-1.0
1,09:34:47.913804,09:35:08.166787,-1,-1.0
1,09:34:47.913804,09:35:08.570707,1,-1.0
1,09:34:47.913804,09:35:08.709125,1,-1.0
1,09:34:47.913804,09:35:08.842560,1,-1.0
1,09:34:47.913804,09:35:08.996511,1,-1.0
1,09:34:47.913804,09:35:09.307450,1,-1.0
1,09:34:47.913804,09:35:09.456088,1,-1.0
1,09:34:47.913804,09:35:09.613879,1,-1.0
1,09:34:47.913804,09:35:09.766842,1,-1.0
1,09:34:47.913804,09:35:09.915331,1,-1.0
1,09:34:47.913804,09:35:10.073437,1,-1.0
1,09:34:47.913804,09:35:10.219260,1,-1.0
1,09:34:47.913804,09:35:10.371379,1,-1.0
1,09:34:47.913804,09:35:10.532580,1,-1.0
1,09:34:47.913804,09:35:10.696658,1,-1.0
