Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,19:06:40.005986,19:06:41.948312,-1,-1.0
1,19:06:40.005986,19:06:43.613344,-1,-1.0
1,19:06:40.005986,19:06:44.084751,1,-1.0
1,19:06:40.005986,19:06:44.555068,1,-1.0
1,19:06:40.005986,19:06:45.662346,1,-1.0
1,19:06:40.005986,19:06:46.865939,1,-1.0
1,19:06:40.005986,19:06:48.003572,1,-1.0
1,19:06:40.005986,19:06:48.762247,-1,-1.0
1,19:06:40.005986,19:06:49.566734,-1,-1.0
1,19:06:40.005986,19:06:50.462426,-1,-1.0
1,19:06:40.005986,19:06:51.659331,-1,-1.0
1,19:06:40.005986,19:06:52.477853,-1,-1.0
1,19:06:40.005986,19:06:52.959671,1,-1.0
1,19:06:40.005986,19:06:53.565240,-1,-1.0
1,19:06:40.005986,19:06:54.121005,-1,-1.0
1,19:06:40.005986,19:06:54.581895,1,-1.0
1,19:06:40.005986,19:06:55.086760,1,-1.0
1,19:06:40.005986,19:06:55.581184,1,-1.0
1,19:06:40.005986,19:06:56.197075,1,-1.0
1,19:06:40.005986,19:06:56.852032,1,-1.0
1,19:06:40.005986,19:06:58.392299,-1,-1.0
1,19:06:40.005986,19:06:59.096121,-1,-1.0
1,19:06:40.005986,19:06:59.683320,1,-1.0
1,19:06:40.005986,19:07:00.300922,1,-1.0
1,19:06:40.005986,19:07:00.631202,1,-1.0
1,19:06:40.005986,19:07:00.921327,1,-1.0
1,19:06:40.005986,19:07:01.213772,1,-1.0
1,19:06:40.005986,19:07:01.438242,1,-1.0
1,19:06:40.005986,19:07:01.614099,1,-1.0
1,19:06:40.005986,19:07:01.776045,1,-1.0
1,19:06:40.005986,19:07:01.935865,1,-1.0
1,19:06:40.005986,19:07:02.107694,1,-1.0
1,19:06:40.005986,19:07:02.385848,1,-1.0
1,19:06:40.005986,19:07:02.633752,1,-1.0
1,19:06:40.005986,19:07:04.169449,1,-1.0
1,19:06:40.005986,19:07:04.523578,1,-1.0
1,19:06:40.005986,19:07:05.930416,1,-1.0
1,19:06:40.005986,19:07:06.541301,1,-1.0
