Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:52:28.082598,15:52:29.019859,1,-1.0
1,15:52:28.082598,15:52:29.190647,1,-1.0
1,15:52:28.082598,15:52:29.341940,1,-1.0
1,15:52:28.082598,15:52:29.512176,1,-1.0
1,15:52:28.082598,15:52:29.666350,1,-1.0
1,15:52:28.082598,15:52:29.827897,1,-1.0
1,15:52:28.082598,15:52:29.967758,1,-1.0
1,15:52:28.082598,15:52:30.151165,1,-1.0
1,15:52:28.082598,15:52:30.648244,-1,-1.0
1,15:52:28.082598,15:52:30.798095,-1,-1.0
1,15:52:28.082598,15:52:30.968717,-1,-1.0
1,15:52:28.082598,15:52:31.129742,-1,-1.0
1,15:52:28.082598,15:52:31.301032,-1,-1.0
1,15:52:28.082598,15:52:31.471139,-1,-1.0
1,15:52:28.082598,15:52:31.655226,-1,-1.0
1,15:52:28.082598,15:52:31.995879,1,-1.0
1,15:52:28.082598,15:52:32.177529,1,-1.0
1,15:52:28.082598,15:52:32.334589,1,-1.0
1,15:52:28.082598,15:52:32.474816,1,-1.0
1,15:52:28.082598,15:52:32.624969,1,-1.0
1,15:52:28.082598,15:52:32.767253,1,-1.0
1,15:52:28.082598,15:52:32.921105,1,-1.0
1,15:52:28.082598,15:52:33.070738,1,-1.0
1,15:52:28.082598,15:52:33.212077,1,-1.0
1,15:52:28.082598,15:52:33.374206,1,-1.0
1,15:52:28.082598,15:52:33.527365,1,-1.0
1,15:52:28.082598,15:52:33.680200,1,-1.0
1,15:52:28.082598,15:52:33.976110,1,-1.0
1,15:52:28.082598,15:52:34.124636,1,-1.0
1,15:52:28.082598,15:52:34.288202,1,-1.0
1,15:52:28.082598,15:52:34.715129,1,-1.0
1,15:52:28.082598,15:52:34.930479,1,-1.0
1,15:52:28.082598,15:52:35.154869,1,-1.0
1,15:52:28.082598,15:52:35.712216,-1,-1.0
1,15:52:28.082598,15:52:36.084786,-1,-1.0
1,15:52:28.082598,15:52:36.260363,-1,-1.0
1,15:52:28.082598,15:52:36.454322,-1,-1.0
1,15:52:28.082598,15:52:36.658946,-1,-1.0
1,15:52:28.082598,15:52:36.870067,-1,-1.0
1,15:52:28.082598,15:52:37.358957,1,-1.0
1,15:52:28.082598,15:52:37.480104,1,-1.0
1,15:52:28.082598,15:52:37.662220,1,-1.0
1,15:52:28.082598,15:52:37.816987,1,-1.0
1,15:52:28.082598,15:52:37.990744,1,-1.0
1,15:52:28.082598,15:52:38.131220,1,-1.0
1,15:52:28.082598,15:52:38.293222,1,-1.0
1,15:52:28.082598,15:52:38.478320,1,-1.0
1,15:52:28.082598,15:52:38.649909,1,-1.0
1,15:52:28.082598,15:52:38.823114,1,-1.0
1,15:52:28.082598,15:52:38.998790,1,-1.0
1,15:52:28.082598,15:52:39.169889,1,-1.0
1,15:52:28.082598,15:52:39.340681,1,-1.0
1,15:52:28.082598,15:52:39.533146,1,-1.0
1,15:52:28.082598,15:52:40.149828,1,-1.0
1,15:52:28.082598,15:52:40.334169,1,-1.0
1,15:52:28.082598,15:52:40.508161,1,-1.0
1,15:52:28.082598,15:52:40.668522,1,-1.0
1,15:52:28.082598,15:52:40.828366,1,-1.0
1,15:52:28.082598,15:52:40.990276,1,-1.0
1,15:52:28.082598,15:52:41.254414,1,-1.0
1,15:52:28.082598,15:52:41.437278,1,-1.0
1,15:52:28.082598,15:52:41.702150,1,-1.0
1,15:52:28.082598,15:52:42.127464,1,-1.0
1,15:52:28.082598,15:52:42.351391,1,-1.0
1,15:52:28.082598,15:52:42.534140,1,-1.0
1,15:52:28.082598,15:52:42.789181,1,-1.0
1,15:52:28.082598,15:52:43.045297,-1,-1.0
1,15:52:28.082598,15:52:43.247440,-1,-1.0
1,15:52:28.082598,15:52:43.408603,-1,-1.0
1,15:52:28.082598,15:52:43.570603,1,-1.0
1,15:52:28.082598,15:52:44.067295,-1,-1.0
1,15:52:28.082598,15:52:44.228900,-1,-1.0
1,15:52:28.082598,15:52:44.425720,1,-1.0
1,15:52:28.082598,15:52:44.710465,-1,-1.0
1,15:52:28.082598,15:52:44.938707,-1,-1.0
1,15:52:28.082598,15:52:45.364871,1,-1.0
1,15:52:28.082598,15:52:45.556128,1,-1.0
1,15:52:28.082598,15:52:45.712678,1,-1.0
1,15:52:28.082598,15:52:46.008435,1,-1.0
1,15:52:28.082598,15:52:46.162826,1,-1.0
1,15:52:28.082598,15:52:46.398634,1,-1.0
1,15:52:28.082598,15:52:46.589368,1,-1.0
1,15:52:28.082598,15:52:46.760913,1,-1.0
1,15:52:28.082598,15:52:47.055420,1,-1.0
1,15:52:28.082598,15:52:47.238426,1,-1.0
1,15:52:28.082598,15:52:47.423138,1,-1.0
1,15:52:28.082598,15:52:48.067938,1,-1.0
1,15:52:28.082598,15:52:48.734945,1,-1.0
1,15:52:28.082598,15:52:49.222087,1,-1.0
1,15:52:28.082598,15:52:49.819620,1,-1.0
1,15:52:28.082598,15:52:50.128932,1,-1.0
1,15:52:28.082598,15:52:50.540387,1,-1.0
1,15:52:28.082598,15:52:50.945704,1,-1.0
1,15:52:28.082598,15:52:51.317034,1,-1.0
1,15:52:28.082598,15:52:51.722678,1,-1.0
1,15:52:28.082598,15:52:52.075095,1,-1.0
1,15:52:28.082598,15:52:52.465401,1,-1.0
1,15:52:28.082598,15:52:52.805109,1,-1.0
1,15:52:28.082598,15:52:53.627948,1,-1.0
1,15:52:28.082598,15:52:54.095080,1,-1.0
1,15:52:28.082598,15:52:54.390305,1,-1.0
1,15:52:28.082598,15:52:54.855315,-1,-1.0
1,15:52:28.082598,15:52:55.049834,-1,-1.0
1,15:52:28.082598,15:52:55.215090,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,15:52:56.471636,15:52:56.845587,1,-1.0
2,15:52:56.471636,15:52:57.006356,1,-1.0
2,15:52:56.471636,15:52:57.220363,1,-1.0
2,15:52:56.471636,15:52:57.381413,1,-1.0
2,15:52:56.471636,15:52:57.543102,1,-1.0
2,15:52:56.471636,15:52:57.706049,1,-1.0
2,15:52:56.471636,15:52:57.856310,1,-1.0
2,15:52:56.471636,15:52:58.008315,1,-1.0
2,15:52:56.471636,15:52:58.160012,1,-1.0
2,15:52:56.471636,15:52:58.331915,1,-1.0
2,15:52:56.471636,15:52:58.471602,1,-1.0
2,15:52:56.471636,15:52:58.660910,1,-1.0
2,15:52:56.471636,15:52:58.830956,1,-1.0
2,15:52:56.471636,15:52:59.012520,1,-1.0
2,15:52:56.471636,15:52:59.188812,1,-1.0
2,15:52:56.471636,15:52:59.549313,1,-1.0
2,15:52:56.471636,15:52:59.744997,1,-1.0
2,15:52:56.471636,15:53:00.105351,1,-1.0
2,15:52:56.471636,15:53:00.308129,1,-1.0
2,15:52:56.471636,15:53:00.480290,1,-1.0
2,15:52:56.471636,15:53:00.644067,1,-1.0
2,15:52:56.471636,15:53:00.817494,1,-1.0
2,15:52:56.471636,15:53:00.979692,1,-1.0
2,15:52:56.471636,15:53:01.155179,1,-1.0
2,15:52:56.471636,15:53:01.337605,1,-1.0
2,15:52:56.471636,15:53:01.510905,1,-1.0
2,15:52:56.471636,15:53:01.714169,1,-1.0
2,15:52:56.471636,15:53:02.726049,-1,-1.0
2,15:52:56.471636,15:53:02.887273,-1,-1.0
2,15:52:56.471636,15:53:03.339374,-1,-1.0
2,15:52:56.471636,15:53:03.755232,1,-1.0
2,15:52:56.471636,15:53:03.917450,1,-1.0
2,15:52:56.471636,15:53:04.079192,1,-1.0
2,15:52:56.471636,15:53:04.249629,1,-1.0
2,15:52:56.471636,15:53:04.420324,1,-1.0
2,15:52:56.471636,15:53:04.549990,1,-1.0
2,15:52:56.471636,15:53:04.710601,1,-1.0
2,15:52:56.471636,15:53:04.870415,1,-1.0
2,15:52:56.471636,15:53:05.255358,1,-1.0
2,15:52:56.471636,15:53:05.409023,1,-1.0
2,15:52:56.471636,15:53:05.631004,1,-1.0
2,15:52:56.471636,15:53:05.874270,1,-1.0
2,15:52:56.471636,15:53:06.149379,1,-1.0
2,15:52:56.471636,15:53:06.332119,1,-1.0
2,15:52:56.471636,15:53:06.526402,1,-1.0
2,15:52:56.471636,15:53:06.699078,1,-1.0
2,15:52:56.471636,15:53:06.883817,1,-1.0
2,15:52:56.471636,15:53:07.069716,1,-1.0
2,15:52:56.471636,15:53:07.250544,1,-1.0
2,15:52:56.471636,15:53:07.555945,-1,-1.0
2,15:52:56.471636,15:53:07.706388,-1,-1.0
2,15:52:56.471636,15:53:07.999897,-1,-1.0
2,15:52:56.471636,15:53:08.144118,-1,-1.0
2,15:52:56.471636,15:53:08.307338,-1,-1.0
2,15:52:56.471636,15:53:08.469334,-1,-1.0
2,15:52:56.471636,15:53:08.641056,-1,-1.0
2,15:52:56.471636,15:53:08.821431,-1,-1.0
2,15:52:56.471636,15:53:08.984267,-1,-1.0
2,15:52:56.471636,15:53:09.138978,-1,-1.0
2,15:52:56.471636,15:53:09.301707,-1,-1.0
2,15:52:56.471636,15:53:09.444375,-1,-1.0
2,15:52:56.471636,15:53:09.584487,-1,-1.0
2,15:52:56.471636,15:53:10.873831,1,-1.0
2,15:52:56.471636,15:53:11.065741,1,-1.0
2,15:52:56.471636,15:53:11.217338,1,-1.0
2,15:52:56.471636,15:53:11.399305,1,-1.0
2,15:52:56.471636,15:53:11.563365,1,-1.0
2,15:52:56.471636,15:53:11.747923,1,-1.0
2,15:52:56.471636,15:53:12.072095,1,-1.0
2,15:52:56.471636,15:53:12.438844,1,-1.0
2,15:52:56.471636,15:53:12.652718,1,-1.0
2,15:52:56.471636,15:53:12.825239,1,-1.0
2,15:52:56.471636,15:53:13.017954,1,-1.0
2,15:52:56.471636,15:53:13.229412,1,-1.0
2,15:52:56.471636,15:53:13.423081,1,-1.0
2,15:52:56.471636,15:53:13.595886,1,-1.0
2,15:52:56.471636,15:53:13.813445,1,-1.0
2,15:52:56.471636,15:53:14.380123,-1,-1.0
2,15:52:56.471636,15:53:14.575816,-1,-1.0
2,15:52:56.471636,15:53:15.062101,1,-1.0
2,15:52:56.471636,15:53:15.245980,1,-1.0
2,15:52:56.471636,15:53:15.407569,1,-1.0
2,15:52:56.471636,15:53:15.569923,1,-1.0
2,15:52:56.471636,15:53:15.730818,1,-1.0
2,15:52:56.471636,15:53:15.903217,1,-1.0
2,15:52:56.471636,15:53:16.065944,1,-1.0
2,15:52:56.471636,15:53:16.229626,1,-1.0
2,15:52:56.471636,15:53:16.410254,1,-1.0
2,15:52:56.471636,15:53:16.580260,1,-1.0
2,15:52:56.471636,15:53:16.763161,1,-1.0
2,15:52:56.471636,15:53:16.954419,1,-1.0
2,15:52:56.471636,15:53:17.128296,1,-1.0
2,15:52:56.471636,15:53:17.321050,1,-1.0
2,15:52:56.471636,15:53:17.493926,1,-1.0
2,15:52:56.471636,15:53:17.667321,1,-1.0
2,15:52:56.471636,15:53:17.819250,1,-1.0
2,15:52:56.471636,15:53:18.040185,1,-1.0
2,15:52:56.471636,15:53:18.255424,1,-1.0
2,15:52:56.471636,15:53:18.447578,1,-1.0
2,15:52:56.471636,15:53:18.793170,1,-1.0
2,15:52:56.471636,15:53:18.965029,1,-1.0
2,15:52:56.471636,15:53:19.149414,1,-1.0
2,15:52:56.471636,15:53:19.344090,1,-1.0
2,15:52:56.471636,15:53:19.537593,1,-1.0
2,15:52:56.471636,15:53:19.718561,1,-1.0
2,15:52:56.471636,15:53:20.070859,1,-1.0
2,15:52:56.471636,15:53:20.244339,1,-1.0
2,15:52:56.471636,15:53:20.449661,1,-1.0
2,15:52:56.471636,15:53:20.620477,1,-1.0
2,15:52:56.471636,15:53:20.822319,1,-1.0
2,15:52:56.471636,15:53:21.025672,1,-1.0
2,15:52:56.471636,15:53:21.206750,1,-1.0
2,15:52:56.471636,15:53:21.451949,1,-1.0
2,15:52:56.471636,15:53:21.655391,1,-1.0
2,15:52:56.471636,15:53:22.213394,1,-1.0
2,15:52:56.471636,15:53:22.688823,1,-1.0
2,15:52:56.471636,15:53:22.934477,1,-1.0
2,15:52:56.471636,15:53:23.150650,1,-1.0
2,15:52:56.471636,15:53:23.394080,1,-1.0
2,15:52:56.471636,15:53:23.619501,1,-1.0
2,15:52:56.471636,15:53:23.842058,1,-1.0
2,15:52:56.471636,15:53:24.065115,1,-1.0
2,15:52:56.471636,15:53:24.289698,1,-1.0
