Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,18:49:02.014771,18:49:11.726235,1,-1.0
1,18:49:02.014771,18:49:11.983975,1,-1.0
1,18:49:02.014771,18:49:12.211396,1,-1.0
1,18:49:02.014771,18:49:12.435201,1,-1.0
1,18:49:02.014771,18:49:12.642364,1,-1.0
1,18:49:02.014771,18:49:12.860264,1,-1.0
1,18:49:02.014771,18:49:13.074983,1,-1.0
1,18:49:02.014771,18:49:13.328002,-1,-1.0
1,18:49:02.014771,18:49:13.545693,-1,-1.0
1,18:49:02.014771,18:49:13.753868,-1,-1.0
1,18:49:02.014771,18:49:13.951345,-1,-1.0
1,18:49:02.014771,18:49:14.146921,-1,-1.0
1,18:49:02.014771,18:49:14.362780,-1,-1.0
1,18:49:02.014771,18:49:14.710688,1,-1.0
1,18:49:02.014771,18:49:14.905972,1,-1.0
1,18:49:02.014771,18:49:15.080215,1,-1.0
1,18:49:02.014771,18:49:15.254807,1,-1.0
1,18:49:02.014771,18:49:15.429942,1,-1.0
1,18:49:02.014771,18:49:15.647816,1,-1.0
1,18:49:02.014771,18:49:15.853488,1,-1.0
1,18:49:02.014771,18:49:16.059028,1,-1.0
1,18:49:02.014771,18:49:16.280501,1,-1.0
1,18:49:02.014771,18:49:16.500042,1,-1.0
1,18:49:02.014771,18:49:16.710946,1,-1.0
1,18:49:02.014771,18:49:16.917643,1,-1.0
1,18:49:02.014771,18:49:17.123235,1,-1.0
1,18:49:02.014771,18:49:17.324928,1,-1.0
1,18:49:02.014771,18:49:17.545938,1,-1.0
1,18:49:02.014771,18:49:17.761176,1,-1.0
1,18:49:02.014771,18:49:17.965783,1,-1.0
1,18:49:02.014771,18:49:18.216590,1,-1.0
1,18:49:02.014771,18:49:18.483096,-1,-1.0
1,18:49:02.014771,18:49:18.722398,-1,-1.0
1,18:49:02.014771,18:49:18.926247,-1,-1.0
1,18:49:02.014771,18:49:19.122441,-1,-1.0
1,18:49:02.014771,18:49:19.332035,-1,-1.0
1,18:49:02.014771,18:49:19.508810,-1,-1.0
1,18:49:02.014771,18:49:20.025588,1,-1.0
1,18:49:02.014771,18:49:20.197946,1,-1.0
1,18:49:02.014771,18:49:20.395302,1,-1.0
1,18:49:02.014771,18:49:20.582339,1,-1.0
1,18:49:02.014771,18:49:20.790348,1,-1.0
1,18:49:02.014771,18:49:20.998600,1,-1.0
1,18:49:02.014771,18:49:21.217583,1,-1.0
1,18:49:02.014771,18:49:21.435364,1,-1.0
1,18:49:02.014771,18:49:21.652940,1,-1.0
1,18:49:02.014771,18:49:21.859727,1,-1.0
1,18:49:02.014771,18:49:22.067914,1,-1.0
1,18:49:02.014771,18:49:22.283471,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,18:49:24.064874,18:49:27.188249,1,-1.0
2,18:49:24.064874,18:49:27.406699,1,-1.0
2,18:49:24.064874,18:49:27.602086,1,-1.0
