Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,18:58:36.391697,18:58:37.634885,1,-1.0
1,18:58:36.391697,18:58:38.289868,1,-1.0
1,18:58:36.391697,18:58:38.871524,1,-1.0
1,18:58:36.391697,18:58:39.426653,1,-1.0
1,18:58:36.391697,18:58:40.174188,1,-1.0
1,18:58:36.391697,18:58:42.865660,-1,-1.0
1,18:58:36.391697,18:58:43.914609,-1,-1.0
1,18:58:36.391697,18:58:44.792375,-1,-1.0
1,18:58:36.391697,18:58:45.584689,-1,-1.0
1,18:58:36.391697,18:58:46.320929,-1,-1.0
1,18:58:36.391697,18:58:46.909524,1,-1.0
1,18:58:36.391697,18:58:47.604406,1,-1.0
1,18:58:36.391697,18:58:48.873385,1,-1.0
1,18:58:36.391697,18:58:49.841927,1,-1.0
1,18:58:36.391697,18:58:50.665356,1,-1.0
1,18:58:36.391697,18:58:51.346889,1,-1.0
1,18:58:36.391697,18:58:52.050417,1,-1.0
1,18:58:36.391697,18:58:52.766429,-1,-1.0
1,18:58:36.391697,18:58:53.586252,-1,-1.0
1,18:58:36.391697,18:58:54.448450,-1,-1.0
1,18:58:36.391697,18:58:55.041808,1,-1.0
1,18:58:36.391697,18:58:55.902655,1,-1.0
1,18:58:36.391697,18:58:56.840445,1,-1.0
1,18:58:36.391697,18:58:57.781823,1,-1.0
1,18:58:36.391697,18:58:58.751661,1,-1.0
1,18:58:36.391697,18:58:59.223450,-1,-1.0
1,18:58:36.391697,18:58:59.725916,1,-1.0
1,18:58:36.391697,18:59:00.451541,1,-1.0
1,18:58:36.391697,18:59:01.136710,1,-1.0
1,18:58:36.391697,18:59:02.234853,1,-1.0
1,18:58:36.391697,18:59:03.133445,1,-1.0
1,18:58:36.391697,18:59:04.127011,1,-1.0
1,18:58:36.391697,18:59:05.129412,1,-1.0
1,18:58:36.391697,18:59:06.058685,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,18:59:29.826528,18:59:31.379036,-1,-1.0
