Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,19:07:18.860651,19:07:20.544992,1,-1.0
1,19:07:18.860651,19:07:20.778451,1,-1.0
1,19:07:18.860651,19:07:20.995224,1,-1.0
1,19:07:18.860651,19:07:21.225497,1,-1.0
1,19:07:18.860651,19:07:21.407310,1,-1.0
1,19:07:18.860651,19:07:21.579205,1,-1.0
1,19:07:18.860651,19:07:21.761403,1,-1.0
1,19:07:18.860651,19:07:21.954064,1,-1.0
1,19:07:18.860651,19:07:23.206033,1,-1.0
1,19:07:18.860651,19:07:23.852820,1,-1.0
1,19:07:18.860651,19:07:24.488945,1,-1.0
1,19:07:18.860651,19:07:24.979904,1,-1.0
1,19:07:18.860651,19:07:25.542221,1,-1.0
1,19:07:18.860651,19:07:26.018056,-1,-1.0
1,19:07:18.860651,19:07:26.470587,-1,-1.0
1,19:07:18.860651,19:07:26.825099,-1,-1.0
1,19:07:18.860651,19:07:27.129892,-1,-1.0
1,19:07:18.860651,19:07:27.443529,-1,-1.0
1,19:07:18.860651,19:07:27.744749,-1,-1.0
1,19:07:18.860651,19:07:28.247337,-1,-1.0
1,19:07:18.860651,19:07:28.663865,1,-1.0
1,19:07:18.860651,19:07:28.870361,1,-1.0
1,19:07:18.860651,19:07:29.120469,1,-1.0
1,19:07:18.860651,19:07:29.399636,1,-1.0
1,19:07:18.860651,19:07:29.689107,1,-1.0
1,19:07:18.860651,19:07:29.990125,1,-1.0
1,19:07:18.860651,19:07:30.292238,1,-1.0
1,19:07:18.860651,19:07:30.617814,1,-1.0
1,19:07:18.860651,19:07:30.938297,1,-1.0
1,19:07:18.860651,19:07:31.282530,1,-1.0
1,19:07:18.860651,19:07:31.615939,1,-1.0
1,19:07:18.860651,19:07:32.126939,1,-1.0
1,19:07:18.860651,19:07:32.672795,1,-1.0
1,19:07:18.860651,19:07:34.092601,-1,-1.0
1,19:07:18.860651,19:07:34.479937,-1,-1.0
1,19:07:18.860651,19:07:34.876749,-1,-1.0
1,19:07:18.860651,19:07:35.394976,1,-1.0
1,19:07:18.860651,19:07:35.677574,1,-1.0
1,19:07:18.860651,19:07:35.931192,1,-1.0
1,19:07:18.860651,19:07:36.220290,1,-1.0
1,19:07:18.860651,19:07:36.499384,1,-1.0
1,19:07:18.860651,19:07:36.831242,1,-1.0
1,19:07:18.860651,19:07:37.122562,1,-1.0
1,19:07:18.860651,19:07:37.444168,1,-1.0
1,19:07:18.860651,19:07:37.774081,1,-1.0
1,19:07:18.860651,19:07:38.158660,1,-1.0
1,19:07:18.860651,19:07:38.490598,1,-1.0
1,19:07:18.860651,19:07:38.814262,1,-1.0
1,19:07:18.860651,19:07:39.176621,-1,-1.0
1,19:07:18.860651,19:07:39.553329,-1,-1.0
1,19:07:18.860651,19:07:39.905646,-1,-1.0
1,19:07:18.860651,19:07:40.550177,1,-1.0
1,19:07:18.860651,19:07:40.807912,1,-1.0
1,19:07:18.860651,19:07:41.129209,1,-1.0
1,19:07:18.860651,19:07:41.429085,1,-1.0
1,19:07:18.860651,19:07:41.762354,1,-1.0
1,19:07:18.860651,19:07:42.113404,1,-1.0
1,19:07:18.860651,19:07:42.470626,1,-1.0
1,19:07:18.860651,19:07:42.827620,1,-1.0
1,19:07:18.860651,19:07:43.164603,1,-1.0
1,19:07:18.860651,19:07:43.529927,1,-1.0
1,19:07:18.860651,19:07:43.893308,1,-1.0
1,19:07:18.860651,19:07:44.265562,1,-1.0
1,19:07:18.860651,19:07:44.640284,1,-1.0
1,19:07:18.860651,19:07:45.002217,1,-1.0
1,19:07:18.860651,19:07:45.377902,1,-1.0
1,19:07:18.860651,19:07:45.722387,1,-1.0
1,19:07:18.860651,19:07:46.076876,1,-1.0
1,19:07:18.860651,19:07:46.431662,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,19:08:08.825878,19:08:12.541574,-1,-1.0
2,19:08:08.825878,19:08:13.470081,-1,-1.0
2,19:08:08.825878,19:08:14.001809,-1,-1.0
2,19:08:08.825878,19:08:14.699570,1,-1.0
2,19:08:08.825878,19:08:15.130566,1,-1.0
2,19:08:08.825878,19:08:15.564631,1,-1.0
2,19:08:08.825878,19:08:16.026805,1,-1.0
2,19:08:08.825878,19:08:16.562455,1,-1.0
2,19:08:08.825878,19:08:16.967178,1,-1.0
2,19:08:08.825878,19:08:17.353289,1,-1.0
2,19:08:08.825878,19:08:17.748960,1,-1.0
2,19:08:08.825878,19:08:18.172397,1,-1.0
2,19:08:08.825878,19:08:18.674171,1,-1.0
2,19:08:08.825878,19:08:20.607597,-1,-1.0
2,19:08:08.825878,19:08:21.068605,1,-1.0
2,19:08:08.825878,19:08:21.421709,1,-1.0
2,19:08:08.825878,19:08:21.700929,1,-1.0
2,19:08:08.825878,19:08:21.969363,1,-1.0
2,19:08:08.825878,19:08:22.194785,1,-1.0
2,19:08:08.825878,19:08:22.408810,1,-1.0
2,19:08:08.825878,19:08:22.560325,1,-1.0
2,19:08:08.825878,19:08:22.742133,1,-1.0
2,19:08:08.825878,19:08:23.767804,1,-1.0
2,19:08:08.825878,19:08:24.517470,1,-1.0
2,19:08:08.825878,19:08:25.244135,1,-1.0
2,19:08:08.825878,19:08:25.996967,1,-1.0
2,19:08:08.825878,19:08:26.658930,1,-1.0
2,19:08:08.825878,19:08:27.347557,1,-1.0
2,19:08:08.825878,19:08:27.894249,1,-1.0
2,19:08:08.825878,19:08:28.144752,1,-1.0
2,19:08:08.825878,19:08:28.325606,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,19:08:47.531634,19:08:49.989329,1,-1.0
3,19:08:47.531634,19:08:50.879183,1,-1.0
3,19:08:47.531634,19:08:51.785154,1,-1.0
3,19:08:47.531634,19:08:52.782788,1,-1.0
3,19:08:47.531634,19:08:53.579112,-1,-1.0
3,19:08:47.531634,19:08:54.767007,1,-1.0
3,19:08:47.531634,19:08:55.694972,1,-1.0
3,19:08:47.531634,19:08:56.621772,1,-1.0
3,19:08:47.531634,19:08:57.076691,1,-1.0
3,19:08:47.531634,19:08:57.581526,1,-1.0
3,19:08:47.531634,19:08:58.295196,1,-1.0
3,19:08:47.531634,19:08:58.972072,1,-1.0
3,19:08:47.531634,19:08:59.294000,-1,-1.0
3,19:08:47.531634,19:08:59.984959,1,-1.0
3,19:08:47.531634,19:09:00.182768,1,-1.0
3,19:08:47.531634,19:09:00.365294,1,-1.0
3,19:08:47.531634,19:09:00.536669,1,-1.0
3,19:08:47.531634,19:09:00.741253,1,-1.0
3,19:08:47.531634,19:09:00.945019,1,-1.0
3,19:08:47.531634,19:09:01.136819,1,-1.0
3,19:08:47.531634,19:09:01.309891,1,-1.0
3,19:08:47.531634,19:09:01.511443,1,-1.0
3,19:08:47.531634,19:09:01.759158,1,-1.0
3,19:08:47.531634,19:09:01.962088,1,-1.0
3,19:08:47.531634,19:09:02.154637,1,-1.0
3,19:08:47.531634,19:09:02.316479,1,-1.0
3,19:08:47.531634,19:09:03.772376,1,-1.0
3,19:08:47.531634,19:09:04.479237,1,-1.0
3,19:08:47.531634,19:09:05.325058,1,-1.0
3,19:08:47.531634,19:09:06.092730,1,-1.0
3,19:08:47.531634,19:09:06.999423,1,-1.0
3,19:08:47.531634,19:09:07.787026,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,19:09:24.413715,19:09:26.230058,1,-1.0
4,19:09:24.413715,19:09:26.806786,1,-1.0
4,19:09:24.413715,19:09:27.415900,1,-1.0
4,19:09:24.413715,19:09:28.076703,1,-1.0
4,19:09:24.413715,19:09:28.886964,1,-1.0
4,19:09:24.413715,19:09:29.494697,-1,-1.0
4,19:09:24.413715,19:09:30.315183,-1,-1.0
4,19:09:24.413715,19:09:30.810274,1,-1.0
4,19:09:24.413715,19:09:31.325374,1,-1.0
4,19:09:24.413715,19:09:31.836650,1,-1.0
4,19:09:24.413715,19:09:32.605067,1,-1.0
4,19:09:24.413715,19:09:33.457086,1,-1.0
4,19:09:24.413715,19:09:33.971056,1,-1.0
4,19:09:24.413715,19:09:34.376643,1,-1.0
4,19:09:24.413715,19:09:35.109881,1,-1.0
4,19:09:24.413715,19:09:35.388758,-1,-1.0
4,19:09:24.413715,19:09:35.944913,1,-1.0
4,19:09:24.413715,19:09:36.192014,1,-1.0
4,19:09:24.413715,19:09:36.394120,1,-1.0
4,19:09:24.413715,19:09:36.586687,1,-1.0
4,19:09:24.413715,19:09:37.067844,1,-1.0
4,19:09:24.413715,19:09:37.294267,1,-1.0
4,19:09:24.413715,19:09:37.531984,1,-1.0
4,19:09:24.413715,19:09:37.708777,1,-1.0
4,19:09:24.413715,19:09:39.204117,1,-1.0
4,19:09:24.413715,19:09:40.220438,1,-1.0
4,19:09:24.413715,19:09:41.174312,1,-1.0
4,19:09:24.413715,19:09:42.022356,1,-1.0
4,19:09:24.413715,19:09:42.760114,1,-1.0
4,19:09:24.413715,19:09:43.551372,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
6,19:10:40.223277,19:10:41.835464,1,-1.0
6,19:10:40.223277,19:10:42.253136,1,-1.0
6,19:10:40.223277,19:10:42.616632,1,-1.0
6,19:10:40.223277,19:10:42.904049,1,-1.0
6,19:10:40.223277,19:10:43.277289,1,-1.0
6,19:10:40.223277,19:10:43.620731,1,-1.0
6,19:10:40.223277,19:10:45.345456,-1,-1.0
6,19:10:40.223277,19:10:45.496798,-1,-1.0
6,19:10:40.223277,19:10:45.647509,-1,-1.0
6,19:10:40.223277,19:10:45.918872,1,-1.0
6,19:10:40.223277,19:10:46.082001,1,-1.0
6,19:10:40.223277,19:10:46.242335,1,-1.0
