Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,18:51:14.636373,18:51:15.642317,1,-1.0
1,18:51:14.636373,18:51:16.456139,1,-1.0
1,18:51:14.636373,18:51:17.444345,1,-1.0
1,18:51:14.636373,18:51:18.289001,1,-1.0
1,18:51:14.636373,18:51:19.215588,1,-1.0
1,18:51:14.636373,18:51:20.228437,1,-1.0
1,18:51:14.636373,18:51:21.120678,1,-1.0
1,18:51:14.636373,18:51:22.203782,1,-1.0
1,18:51:14.636373,18:51:23.293314,-1,-1.0
1,18:51:14.636373,18:51:24.248663,-1,-1.0
1,18:51:14.636373,18:51:25.226999,-1,-1.0
1,18:51:14.636373,18:51:26.273902,-1,-1.0
1,18:51:14.636373,18:51:27.221478,-1,-1.0
1,18:51:14.636373,18:51:27.796736,1,-1.0
1,18:51:14.636373,18:51:28.470199,1,-1.0
1,18:51:14.636373,18:51:28.928005,1,-1.0
1,18:51:14.636373,18:51:29.237163,1,-1.0
1,18:51:14.636373,18:51:29.562702,1,-1.0
1,18:51:14.636373,18:51:30.066393,1,-1.0
1,18:51:14.636373,18:51:30.434172,1,-1.0
1,18:51:14.636373,18:51:30.743945,1,-1.0
1,18:51:14.636373,18:51:31.080071,1,-1.0
1,18:51:14.636373,18:51:31.357728,1,-1.0
1,18:51:14.636373,18:51:31.603002,1,-1.0
1,18:51:14.636373,18:51:31.858546,1,-1.0
1,18:51:14.636373,18:51:32.102738,1,-1.0
1,18:51:14.636373,18:51:32.358623,1,-1.0
1,18:51:14.636373,18:51:32.629947,1,-1.0
1,18:51:14.636373,18:51:32.906717,1,-1.0
1,18:51:14.636373,18:51:33.203800,1,-1.0
1,18:51:14.636373,18:51:33.479932,1,-1.0
1,18:51:14.636373,18:51:33.758157,1,-1.0
1,18:51:14.636373,18:51:34.006505,1,-1.0
1,18:51:14.636373,18:51:34.200737,1,-1.0
1,18:51:14.636373,18:51:34.435759,1,-1.0
1,18:51:14.636373,18:51:34.646876,1,-1.0
1,18:51:14.636373,18:51:34.859019,1,-1.0
1,18:51:14.636373,18:51:35.093267,1,-1.0
1,18:51:14.636373,18:51:35.341176,1,-1.0
1,18:51:14.636373,18:51:35.576989,1,-1.0
1,18:51:14.636373,18:51:35.801634,1,-1.0
1,18:51:14.636373,18:51:36.028616,1,-1.0
1,18:51:14.636373,18:51:36.283310,1,-1.0
1,18:51:14.636373,18:51:36.516937,1,-1.0
1,18:51:14.636373,18:51:36.773893,1,-1.0
1,18:51:14.636373,18:51:37.010291,1,-1.0
1,18:51:14.636373,18:51:37.215258,1,-1.0
1,18:51:14.636373,18:51:37.447886,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
