Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,18:39:01.111449,18:39:01.733282,1,-1.0
1,18:39:01.111449,18:39:01.901376,1,-1.0
1,18:39:01.111449,18:39:02.056748,1,-1.0
1,18:39:01.111449,18:39:02.231344,1,-1.0
1,18:39:01.111449,18:39:02.375817,1,-1.0
1,18:39:01.111449,18:39:02.538897,1,-1.0
1,18:39:01.111449,18:39:02.702615,1,-1.0
1,18:39:01.111449,18:39:02.866879,1,-1.0
1,18:39:01.111449,18:39:03.031887,1,-1.0
1,18:39:01.111449,18:39:03.188882,1,-1.0
1,18:39:01.111449,18:39:03.405404,-1,-1.0
1,18:39:01.111449,18:39:03.773647,-1,-1.0
1,18:39:01.111449,18:39:03.917140,-1,-1.0
1,18:39:01.111449,18:39:04.063521,-1,-1.0
1,18:39:01.111449,18:39:04.197844,-1,-1.0
1,18:39:01.111449,18:39:04.383605,-1,-1.0
1,18:39:01.111449,18:39:04.752864,1,-1.0
1,18:39:01.111449,18:39:04.962471,-1,-1.0
1,18:39:01.111449,18:39:05.292893,1,-1.0
1,18:39:01.111449,18:39:05.481823,1,-1.0
1,18:39:01.111449,18:39:05.639681,1,-1.0
1,18:39:01.111449,18:39:05.845714,-1,-1.0
1,18:39:01.111449,18:39:06.137990,-1,-1.0
1,18:39:01.111449,18:39:06.450249,-1,-1.0
1,18:39:01.111449,18:39:06.776428,-1,-1.0
1,18:39:01.111449,18:39:07.158836,1,-1.0
1,18:39:01.111449,18:39:07.324242,1,-1.0
1,18:39:01.111449,18:39:07.483291,1,-1.0
1,18:39:01.111449,18:39:07.642824,1,-1.0
1,18:39:01.111449,18:39:07.795930,1,-1.0
1,18:39:01.111449,18:39:07.966362,1,-1.0
1,18:39:01.111449,18:39:08.122860,1,-1.0
1,18:39:01.111449,18:39:08.267286,1,-1.0
1,18:39:01.111449,18:39:08.441170,1,-1.0
1,18:39:01.111449,18:39:08.596479,1,-1.0
1,18:39:01.111449,18:39:08.718342,1,-1.0
1,18:39:01.111449,18:39:08.869427,1,-1.0
1,18:39:01.111449,18:39:09.053409,1,-1.0
1,18:39:01.111449,18:39:09.293012,1,-1.0
1,18:39:01.111449,18:39:09.534729,-1,-1.0
1,18:39:01.111449,18:39:09.700555,-1,-1.0
1,18:39:01.111449,18:39:09.974139,-1,-1.0
1,18:39:01.111449,18:39:10.174964,-1,-1.0
1,18:39:01.111449,18:39:10.417800,-1,-1.0
1,18:39:01.111449,18:39:10.753902,-1,-1.0
1,18:39:01.111449,18:39:11.261272,1,-1.0
1,18:39:01.111449,18:39:11.395066,1,-1.0
1,18:39:01.111449,18:39:11.559954,1,-1.0
1,18:39:01.111449,18:39:11.701117,1,-1.0
1,18:39:01.111449,18:39:11.842459,1,-1.0
1,18:39:01.111449,18:39:11.986356,1,-1.0
1,18:39:01.111449,18:39:12.140306,1,-1.0
1,18:39:01.111449,18:39:12.276433,1,-1.0
1,18:39:01.111449,18:39:12.408121,1,-1.0
1,18:39:01.111449,18:39:12.516364,1,-1.0
1,18:39:01.111449,18:39:12.699167,1,-1.0
1,18:39:01.111449,18:39:12.842270,1,-1.0
1,18:39:01.111449,18:39:12.941352,1,-1.0
1,18:39:01.111449,18:39:13.116487,1,-1.0
1,18:39:01.111449,18:39:13.249737,1,-1.0
1,18:39:01.111449,18:39:13.393656,1,-1.0
1,18:39:01.111449,18:39:13.450512,1,-1.0
1,18:39:01.111449,18:39:13.633930,1,-1.0
1,18:39:01.111449,18:39:13.864199,-1,-1.0
1,18:39:01.111449,18:39:14.026500,-1,-1.0
1,18:39:01.111449,18:39:14.169820,-1,-1.0
1,18:39:01.111449,18:39:14.401334,-1,-1.0
1,18:39:01.111449,18:39:14.635991,-1,-1.0
1,18:39:01.111449,18:39:14.855024,-1,-1.0
1,18:39:01.111449,18:39:15.096253,1,-1.0
1,18:39:01.111449,18:39:15.274040,1,-1.0
1,18:39:01.111449,18:39:15.429208,1,-1.0
1,18:39:01.111449,18:39:15.571684,1,-1.0
1,18:39:01.111449,18:39:15.724274,1,-1.0
1,18:39:01.111449,18:39:15.883688,1,-1.0
1,18:39:01.111449,18:39:16.019521,1,-1.0
1,18:39:01.111449,18:39:16.165057,1,-1.0
1,18:39:01.111449,18:39:16.328858,1,-1.0
1,18:39:01.111449,18:39:16.481325,1,-1.0
1,18:39:01.111449,18:39:16.634678,1,-1.0
1,18:39:01.111449,18:39:16.779485,1,-1.0
1,18:39:01.111449,18:39:16.922546,1,-1.0
1,18:39:01.111449,18:39:17.076442,1,-1.0
1,18:39:01.111449,18:39:17.208724,1,-1.0
1,18:39:01.111449,18:39:17.361769,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,18:39:40.056734,18:39:45.116677,1,-1.0
2,18:39:40.056734,18:39:45.290519,1,-1.0
2,18:39:40.056734,18:39:45.459750,1,-1.0
2,18:39:40.056734,18:39:45.613998,1,-1.0
2,18:39:40.056734,18:39:45.767574,1,-1.0
2,18:39:40.056734,18:39:45.922311,1,-1.0
2,18:39:40.056734,18:39:46.101453,1,-1.0
2,18:39:40.056734,18:39:46.258676,1,-1.0
2,18:39:40.056734,18:39:46.422182,1,-1.0
2,18:39:40.056734,18:39:46.652372,1,-1.0
2,18:39:40.056734,18:39:46.880593,1,-1.0
2,18:39:40.056734,18:39:47.098867,1,-1.0
2,18:39:40.056734,18:39:47.505784,1,-1.0
2,18:39:40.056734,18:39:47.722390,1,-1.0
2,18:39:40.056734,18:39:48.032670,-1,-1.0
2,18:39:40.056734,18:39:48.238735,-1,-1.0
2,18:39:40.056734,18:39:48.415248,-1,-1.0
2,18:39:40.056734,18:39:48.600003,-1,-1.0
2,18:39:40.056734,18:39:48.777380,-1,-1.0
2,18:39:40.056734,18:39:48.961460,-1,-1.0
2,18:39:40.056734,18:39:49.144408,-1,-1.0
2,18:39:40.056734,18:39:49.319044,-1,-1.0
2,18:39:40.056734,18:39:49.666769,1,-1.0
2,18:39:40.056734,18:39:49.843639,1,-1.0
2,18:39:40.056734,18:39:50.000331,1,-1.0
2,18:39:40.056734,18:39:50.164982,1,-1.0
2,18:39:40.056734,18:39:50.308068,1,-1.0
2,18:39:40.056734,18:39:50.462542,1,-1.0
2,18:39:40.056734,18:39:50.609886,1,-1.0
2,18:39:40.056734,18:39:50.751809,1,-1.0
2,18:39:40.056734,18:39:50.885195,1,-1.0
2,18:39:40.056734,18:39:51.048713,1,-1.0
2,18:39:40.056734,18:39:51.125606,1,-1.0
2,18:39:40.056734,18:39:51.321584,1,-1.0
2,18:39:40.056734,18:39:51.464603,1,-1.0
2,18:39:40.056734,18:39:51.608356,1,-1.0
2,18:39:40.056734,18:39:51.760325,1,-1.0
2,18:39:40.056734,18:39:51.917102,1,-1.0
2,18:39:40.056734,18:39:52.071210,1,-1.0
2,18:39:40.056734,18:39:52.246338,1,-1.0
2,18:39:40.056734,18:39:52.461020,-1,-1.0
2,18:39:40.056734,18:39:52.649200,-1,-1.0
2,18:39:40.056734,18:39:52.842004,-1,-1.0
2,18:39:40.056734,18:39:53.018623,-1,-1.0
2,18:39:40.056734,18:39:53.364306,1,-1.0
2,18:39:40.056734,18:39:53.539309,1,-1.0
2,18:39:40.056734,18:39:53.692900,1,-1.0
2,18:39:40.056734,18:39:53.829743,1,-1.0
2,18:39:40.056734,18:39:53.962558,1,-1.0
2,18:39:40.056734,18:39:54.043853,1,-1.0
2,18:39:40.056734,18:39:54.166447,1,-1.0
2,18:39:40.056734,18:39:54.277239,1,-1.0
2,18:39:40.056734,18:39:54.407260,1,-1.0
2,18:39:40.056734,18:39:54.531323,1,-1.0
2,18:39:40.056734,18:39:54.599866,1,-1.0
2,18:39:40.056734,18:39:54.722280,1,-1.0
2,18:39:40.056734,18:39:54.837343,1,-1.0
2,18:39:40.056734,18:39:54.944207,1,-1.0
2,18:39:40.056734,18:39:55.053529,1,-1.0
2,18:39:40.056734,18:39:55.164960,1,-1.0
2,18:39:40.056734,18:39:55.273274,1,-1.0
2,18:39:40.056734,18:39:55.405360,1,-1.0
2,18:39:40.056734,18:39:55.514156,1,-1.0
2,18:39:40.056734,18:39:55.635193,1,-1.0
2,18:39:40.056734,18:39:55.765127,1,-1.0
2,18:39:40.056734,18:39:55.863555,1,-1.0
2,18:39:40.056734,18:39:55.985617,1,-1.0
2,18:39:40.056734,18:39:56.102136,1,-1.0
