Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,19:38:59.579075,19:39:01.020786,1,-1.0
1,19:38:59.579075,19:39:05.740255,-1,-1.0
1,19:38:59.579075,19:39:07.107538,-1,-1.0
1,19:38:59.579075,19:39:07.540467,1,-1.0
1,19:38:59.579075,19:39:08.215978,1,-1.0
1,19:38:59.579075,19:39:08.915516,1,-1.0
1,19:38:59.579075,19:39:09.989245,1,-1.0
1,19:38:59.579075,19:39:12.286245,-1,-1.0
1,19:38:59.579075,19:39:12.780104,-1,-1.0
1,19:38:59.579075,19:39:13.649134,1,-1.0
1,19:38:59.579075,19:39:14.697449,1,-1.0
1,19:38:59.579075,19:39:15.861153,1,-1.0
1,19:38:59.579075,19:39:17.177996,1,-1.0
1,19:38:59.579075,19:39:18.132312,-1,-1.0
1,19:38:59.579075,19:39:18.515750,-1,-1.0
1,19:38:59.579075,19:39:18.731982,1,-1.0
1,19:38:59.579075,19:39:19.109476,1,-1.0
1,19:38:59.579075,19:39:20.505629,1,-1.0
1,19:38:59.579075,19:39:21.378360,1,-1.0
1,19:38:59.579075,19:39:22.775972,-1,-1.0
1,19:38:59.579075,19:39:23.412651,1,-1.0
1,19:38:59.579075,19:39:23.867488,1,-1.0
1,19:38:59.579075,19:39:24.260915,1,-1.0
1,19:38:59.579075,19:39:24.685605,1,-1.0
1,19:38:59.579075,19:39:25.106876,1,-1.0
1,19:38:59.579075,19:39:25.619277,1,-1.0
1,19:38:59.579075,19:39:26.510681,1,-1.0
1,19:38:59.579075,19:39:26.863413,1,-1.0
1,19:38:59.579075,19:39:27.195870,1,-1.0
1,19:38:59.579075,19:39:27.529582,1,-1.0
1,19:38:59.579075,19:39:27.817620,1,-1.0
1,19:38:59.579075,19:39:28.106763,1,-1.0
