Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:48:44.477694,15:48:46.808140,1,-1.0
1,15:48:44.477694,15:48:47.113447,1,-1.0
1,15:48:44.477694,15:48:47.326998,1,-1.0
1,15:48:44.477694,15:48:47.416272,1,-1.0
1,15:48:44.477694,15:48:47.621287,1,-1.0
1,15:48:44.477694,15:48:47.782399,1,-1.0
1,15:48:44.477694,15:48:47.934625,1,-1.0
1,15:48:44.477694,15:48:48.088279,1,-1.0
1,15:48:44.477694,15:48:48.241407,1,-1.0
1,15:48:44.477694,15:48:48.383557,1,-1.0
1,15:48:44.477694,15:48:48.534018,1,-1.0
1,15:48:44.477694,15:48:48.703721,1,-1.0
1,15:48:44.477694,15:48:48.946633,-1,-1.0
1,15:48:44.477694,15:48:49.078173,-1,-1.0
1,15:48:44.477694,15:48:49.250204,-1,-1.0
1,15:48:44.477694,15:48:49.408978,-1,-1.0
1,15:48:44.477694,15:48:49.558935,-1,-1.0
1,15:48:44.477694,15:48:49.692342,-1,-1.0
1,15:48:44.477694,15:48:49.848192,-1,-1.0
1,15:48:44.477694,15:48:49.999411,-1,-1.0
1,15:48:44.477694,15:48:50.403027,1,-1.0
1,15:48:44.477694,15:48:50.557074,1,-1.0
1,15:48:44.477694,15:48:50.727550,1,-1.0
1,15:48:44.477694,15:48:50.868341,1,-1.0
1,15:48:44.477694,15:48:51.012450,1,-1.0
1,15:48:44.477694,15:48:51.173137,1,-1.0
1,15:48:44.477694,15:48:51.316665,1,-1.0
1,15:48:44.477694,15:48:51.467824,1,-1.0
1,15:48:44.477694,15:48:51.619012,1,-1.0
1,15:48:44.477694,15:48:51.771295,1,-1.0
1,15:48:44.477694,15:48:51.923122,1,-1.0
1,15:48:44.477694,15:48:52.074812,1,-1.0
1,15:48:44.477694,15:48:52.221223,1,-1.0
1,15:48:44.477694,15:48:52.384509,1,-1.0
1,15:48:44.477694,15:48:52.557938,1,-1.0
1,15:48:44.477694,15:48:52.709727,1,-1.0
1,15:48:44.477694,15:48:52.978227,1,-1.0
1,15:48:44.477694,15:48:53.149121,1,-1.0
1,15:48:44.477694,15:48:53.303286,1,-1.0
1,15:48:44.477694,15:48:53.475217,1,-1.0
1,15:48:44.477694,15:48:53.643060,-1,-1.0
1,15:48:44.477694,15:48:53.804363,-1,-1.0
1,15:48:44.477694,15:48:53.964568,-1,-1.0
1,15:48:44.477694,15:48:54.117439,-1,-1.0
1,15:48:44.477694,15:48:54.433104,-1,-1.0
1,15:48:44.477694,15:48:54.773000,-1,-1.0
1,15:48:44.477694,15:48:55.017917,-1,-1.0
1,15:48:44.477694,15:48:55.402511,1,-1.0
1,15:48:44.477694,15:48:55.565053,1,-1.0
1,15:48:44.477694,15:48:55.716322,1,-1.0
1,15:48:44.477694,15:48:55.887409,1,-1.0
1,15:48:44.477694,15:48:56.027591,1,-1.0
1,15:48:44.477694,15:48:56.180262,1,-1.0
1,15:48:44.477694,15:48:56.342295,1,-1.0
1,15:48:44.477694,15:48:56.524188,1,-1.0
1,15:48:44.477694,15:48:56.715320,1,-1.0
1,15:48:44.477694,15:48:56.866008,1,-1.0
1,15:48:44.477694,15:48:57.027885,1,-1.0
1,15:48:44.477694,15:48:57.218712,1,-1.0
1,15:48:44.477694,15:48:57.381487,1,-1.0
1,15:48:44.477694,15:48:57.555568,1,-1.0
1,15:48:44.477694,15:48:57.709231,1,-1.0
1,15:48:44.477694,15:48:57.871979,1,-1.0
1,15:48:44.477694,15:48:58.035054,1,-1.0
1,15:48:44.477694,15:48:58.206087,1,-1.0
1,15:48:44.477694,15:48:58.369248,1,-1.0
1,15:48:44.477694,15:48:58.521024,1,-1.0
1,15:48:44.477694,15:48:58.692555,1,-1.0
1,15:48:44.477694,15:48:58.845462,1,-1.0
1,15:48:44.477694,15:48:58.986893,1,-1.0
1,15:48:44.477694,15:48:59.122353,1,-1.0
1,15:48:44.477694,15:48:59.452894,1,-1.0
1,15:48:44.477694,15:48:59.593777,1,-1.0
1,15:48:44.477694,15:48:59.777567,1,-1.0
1,15:48:44.477694,15:49:00.108992,1,-1.0
1,15:48:44.477694,15:49:00.291118,1,-1.0
1,15:48:44.477694,15:49:00.504504,1,-1.0
1,15:48:44.477694,15:49:00.716767,-1,-1.0
1,15:48:44.477694,15:49:00.860502,-1,-1.0
1,15:48:44.477694,15:49:01.034800,-1,-1.0
1,15:48:44.477694,15:49:01.250537,-1,-1.0
