Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,19:39:40.002093,19:39:41.687507,1,-1.0
1,19:39:40.002093,19:39:44.885943,1,-1.0
1,19:39:40.002093,19:39:46.527381,-1,-1.0
1,19:39:40.002093,19:39:47.646628,-1,-1.0
1,19:39:40.002093,19:39:48.218310,-1,-1.0
1,19:39:40.002093,19:39:48.612614,1,-1.0
1,19:39:40.002093,19:39:49.034585,1,-1.0
1,19:39:40.002093,19:39:49.437076,1,-1.0
1,19:39:40.002093,19:39:49.871412,1,-1.0
1,19:39:40.002093,19:39:50.355237,1,-1.0
1,19:39:40.002093,19:39:50.719437,1,-1.0
1,19:39:40.002093,19:39:51.223565,1,-1.0
1,19:39:40.002093,19:39:51.705224,1,-1.0
1,19:39:40.002093,19:39:53.303676,1,-1.0
1,19:39:40.002093,19:39:54.073524,1,-1.0
1,19:39:40.002093,19:39:54.926065,1,-1.0
1,19:39:40.002093,19:39:55.793222,1,-1.0
1,19:39:40.002093,19:39:56.639300,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,19:40:23.913092,19:40:25.912002,1,-1.0
2,19:40:23.913092,19:40:26.414342,1,-1.0
2,19:40:23.913092,19:40:26.830803,1,-1.0
2,19:40:23.913092,19:40:27.215825,1,-1.0
2,19:40:23.913092,19:40:27.648119,1,-1.0
2,19:40:23.913092,19:40:28.143764,1,-1.0
2,19:40:23.913092,19:40:29.351761,-1,-1.0
2,19:40:23.913092,19:40:29.973496,-1,-1.0
2,19:40:23.913092,19:40:30.588288,-1,-1.0
2,19:40:23.913092,19:40:31.306174,-1,-1.0
2,19:40:23.913092,19:40:31.924297,-1,-1.0
2,19:40:23.913092,19:40:32.672444,-1,-1.0
2,19:40:23.913092,19:40:33.136066,1,-1.0
2,19:40:23.913092,19:40:33.596582,1,-1.0
2,19:40:23.913092,19:40:34.253107,1,-1.0
2,19:40:23.913092,19:40:35.329277,1,-1.0
2,19:40:23.913092,19:40:36.831580,-1,-1.0
2,19:40:23.913092,19:40:37.100889,1,-1.0
2,19:40:23.913092,19:40:37.482191,1,-1.0
2,19:40:23.913092,19:40:37.841435,1,-1.0
2,19:40:23.913092,19:40:38.921925,-1,-1.0
2,19:40:23.913092,19:40:39.812701,1,-1.0
2,19:40:23.913092,19:40:40.178193,1,-1.0
2,19:40:23.913092,19:40:40.490687,1,-1.0
2,19:40:23.913092,19:40:40.782681,1,-1.0
2,19:40:23.913092,19:40:41.082503,1,-1.0
2,19:40:23.913092,19:40:41.608496,1,-1.0
2,19:40:23.913092,19:40:42.112620,1,-1.0
2,19:40:23.913092,19:40:42.613145,1,-1.0
2,19:40:23.913092,19:40:43.209434,1,-1.0
2,19:40:23.913092,19:40:43.861241,1,-1.0
2,19:40:23.913092,19:40:44.428288,1,-1.0
2,19:40:23.913092,19:40:45.111761,1,-1.0
2,19:40:23.913092,19:40:45.764371,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,19:41:01.917029,19:41:04.281037,1,-1.0
3,19:41:01.917029,19:41:08.999322,-1,-1.0
3,19:41:01.917029,19:41:09.866502,1,-1.0
3,19:41:01.917029,19:41:14.678094,-1,-1.0
3,19:41:01.917029,19:41:15.119387,1,-1.0
3,19:41:01.917029,19:41:16.230881,1,-1.0
3,19:41:01.917029,19:41:16.917237,1,-1.0
3,19:41:01.917029,19:41:17.338130,1,-1.0
3,19:41:01.917029,19:41:18.080155,1,-1.0
3,19:41:01.917029,19:41:18.532382,1,-1.0
3,19:41:01.917029,19:41:19.046072,1,-1.0
3,19:41:01.917029,19:41:19.602100,1,-1.0
3,19:41:01.917029,19:41:21.227054,1,-1.0
3,19:41:01.917029,19:41:22.351071,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,19:41:51.968448,19:41:58.738428,-1,-1.0
4,19:41:51.968448,19:41:59.489775,1,-1.0
4,19:41:51.968448,19:42:03.880982,-1,-1.0
4,19:41:51.968448,19:42:05.593739,-1,-1.0
4,19:41:51.968448,19:42:06.164507,1,-1.0
4,19:41:51.968448,19:42:07.140710,1,-1.0
4,19:41:51.968448,19:42:09.777126,1,-1.0
4,19:41:51.968448,19:42:10.259965,1,-1.0
4,19:41:51.968448,19:42:10.626252,1,-1.0
4,19:41:51.968448,19:42:10.970199,1,-1.0
4,19:41:51.968448,19:42:11.335614,1,-1.0
4,19:41:51.968448,19:42:11.828394,1,-1.0
4,19:41:51.968448,19:42:12.318897,1,-1.0
4,19:41:51.968448,19:42:12.905510,1,-1.0
4,19:41:51.968448,19:42:13.660511,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,19:42:32.311563,19:42:34.134245,1,-1.0
5,19:42:32.311563,19:42:36.599223,1,-1.0
5,19:42:32.311563,19:42:38.037325,1,-1.0
5,19:42:32.311563,19:42:38.988307,-1,-1.0
5,19:42:32.311563,19:42:39.909622,1,-1.0
5,19:42:32.311563,19:42:40.978408,1,-1.0
5,19:42:32.311563,19:42:44.274040,-1,-1.0
5,19:42:32.311563,19:42:44.905297,1,-1.0
5,19:42:32.311563,19:42:45.583847,1,-1.0
5,19:42:32.311563,19:42:46.091731,1,-1.0
5,19:42:32.311563,19:42:46.513864,1,-1.0
5,19:42:32.311563,19:42:46.917436,1,-1.0
5,19:42:32.311563,19:42:47.250356,1,-1.0
5,19:42:32.311563,19:42:47.530610,1,-1.0
