Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,18:44:01.322716,18:44:02.173027,1,-1.0
1,18:44:01.322716,18:44:02.413478,1,-1.0
1,18:44:01.322716,18:44:02.612807,1,-1.0
1,18:44:01.322716,18:44:02.775947,1,-1.0
1,18:44:01.322716,18:44:02.941133,1,-1.0
1,18:44:01.322716,18:44:03.074332,1,-1.0
1,18:44:01.322716,18:44:03.228094,1,-1.0
1,18:44:01.322716,18:44:03.374237,1,-1.0
1,18:44:01.322716,18:44:03.509579,1,-1.0
1,18:44:01.322716,18:44:03.663572,1,-1.0
1,18:44:01.322716,18:44:03.872972,1,-1.0
1,18:44:01.322716,18:44:04.017352,1,-1.0
1,18:44:01.322716,18:44:04.154300,1,-1.0
1,18:44:01.322716,18:44:04.354569,1,-1.0
1,18:44:01.322716,18:44:04.594667,-1,-1.0
1,18:44:01.322716,18:44:04.772074,-1,-1.0
1,18:44:01.322716,18:44:04.939423,-1,-1.0
1,18:44:01.322716,18:44:05.105383,-1,-1.0
1,18:44:01.322716,18:44:05.270987,-1,-1.0
1,18:44:01.322716,18:44:05.426987,-1,-1.0
1,18:44:01.322716,18:44:05.621961,-1,-1.0
1,18:44:01.322716,18:44:05.801216,-1,-1.0
1,18:44:01.322716,18:44:05.987564,-1,-1.0
1,18:44:01.322716,18:44:06.329423,1,-1.0
1,18:44:01.322716,18:44:06.503284,1,-1.0
1,18:44:01.322716,18:44:06.668716,1,-1.0
1,18:44:01.322716,18:44:06.821197,1,-1.0
1,18:44:01.322716,18:44:06.967229,1,-1.0
1,18:44:01.322716,18:44:07.111791,1,-1.0
1,18:44:01.322716,18:44:07.245019,1,-1.0
1,18:44:01.322716,18:44:07.453760,1,-1.0
1,18:44:01.322716,18:44:07.589596,1,-1.0
1,18:44:01.322716,18:44:07.721883,1,-1.0
1,18:44:01.322716,18:44:07.846271,1,-1.0
1,18:44:01.322716,18:44:07.972281,1,-1.0
1,18:44:01.322716,18:44:08.123545,1,-1.0
1,18:44:01.322716,18:44:08.266601,1,-1.0
1,18:44:01.322716,18:44:08.411278,1,-1.0
1,18:44:01.322716,18:44:08.554510,1,-1.0
1,18:44:01.322716,18:44:08.827057,-1,-1.0
1,18:44:01.322716,18:44:08.991567,-1,-1.0
1,18:44:01.322716,18:44:09.164990,-1,-1.0
1,18:44:01.322716,18:44:09.319270,-1,-1.0
1,18:44:01.322716,18:44:09.461780,-1,-1.0
1,18:44:01.322716,18:44:09.607036,-1,-1.0
1,18:44:01.322716,18:44:09.986722,1,-1.0
1,18:44:01.322716,18:44:10.196668,-1,-1.0
1,18:44:01.322716,18:44:10.589511,-1,-1.0
1,18:44:01.322716,18:44:10.992225,1,-1.0
