Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,09:35:21.655363,09:35:22.270793,1,-1.0
1,09:35:21.655363,09:35:22.945733,1,-1.0
1,09:35:21.655363,09:35:23.101008,1,-1.0
1,09:35:21.655363,09:35:23.238768,1,-1.0
1,09:35:21.655363,09:35:23.381831,1,-1.0
1,09:35:21.655363,09:35:23.521793,1,-1.0
1,09:35:21.655363,09:35:23.664567,1,-1.0
1,09:35:21.655363,09:35:23.796637,1,-1.0
1,09:35:21.655363,09:35:23.915612,1,-1.0
1,09:35:21.655363,09:35:24.074539,1,-1.0
1,09:35:21.655363,09:35:24.206809,1,-1.0
1,09:35:21.655363,09:35:24.688085,1,-1.0
1,09:35:21.655363,09:35:24.833257,1,-1.0
1,09:35:21.655363,09:35:24.971732,1,-1.0
1,09:35:21.655363,09:35:25.120988,1,-1.0
1,09:35:21.655363,09:35:25.276899,1,-1.0
1,09:35:21.655363,09:35:25.437046,1,-1.0
1,09:35:21.655363,09:35:25.583568,1,-1.0
1,09:35:21.655363,09:35:25.743164,1,-1.0
1,09:35:21.655363,09:35:25.903465,1,-1.0
1,09:35:21.655363,09:35:26.050314,1,-1.0
1,09:35:21.655363,09:35:26.216051,1,-1.0
1,09:35:21.655363,09:35:26.366984,1,-1.0
1,09:35:21.655363,09:35:26.558332,1,-1.0
1,09:35:21.655363,09:35:26.692307,-1,-1.0
1,09:35:21.655363,09:35:26.990619,-1,-1.0
1,09:35:21.655363,09:35:27.398563,-1,-1.0
1,09:35:21.655363,09:35:27.757443,-1,-1.0
1,09:35:21.655363,09:35:27.992754,-1,-1.0
1,09:35:21.655363,09:35:28.358554,-1,-1.0
1,09:35:21.655363,09:35:28.691700,-1,-1.0
1,09:35:21.655363,09:35:28.918974,-1,-1.0
1,09:35:21.655363,09:35:29.362089,1,-1.0
1,09:35:21.655363,09:35:29.504751,1,-1.0
1,09:35:21.655363,09:35:29.664927,1,-1.0
1,09:35:21.655363,09:35:29.823397,1,-1.0
1,09:35:21.655363,09:35:29.960082,1,-1.0
1,09:35:21.655363,09:35:30.097788,1,-1.0
1,09:35:21.655363,09:35:30.237746,1,-1.0
1,09:35:21.655363,09:35:30.397268,1,-1.0
1,09:35:21.655363,09:35:30.530295,1,-1.0
1,09:35:21.655363,09:35:30.664773,1,-1.0
1,09:35:21.655363,09:35:30.805331,1,-1.0
1,09:35:21.655363,09:35:30.941851,1,-1.0
1,09:35:21.655363,09:35:31.225880,1,-1.0
1,09:35:21.655363,09:35:31.402594,1,-1.0
1,09:35:21.655363,09:35:31.552088,1,-1.0
1,09:35:21.655363,09:35:31.723276,1,-1.0
1,09:35:21.655363,09:35:31.891310,1,-1.0
1,09:35:21.655363,09:35:32.037621,1,-1.0
1,09:35:21.655363,09:35:32.304049,1,-1.0
1,09:35:21.655363,09:35:32.464284,1,-1.0
1,09:35:21.655363,09:35:32.637082,1,-1.0
1,09:35:21.655363,09:35:32.931237,1,-1.0
1,09:35:21.655363,09:35:33.094805,1,-1.0
1,09:35:21.655363,09:35:33.263231,1,-1.0
1,09:35:21.655363,09:35:33.428687,1,-1.0
1,09:35:21.655363,09:35:33.606199,1,-1.0
1,09:35:21.655363,09:35:33.787701,1,-1.0
1,09:35:21.655363,09:35:34.163900,1,-1.0
1,09:35:21.655363,09:35:34.333983,1,-1.0
1,09:35:21.655363,09:35:34.621279,1,-1.0
1,09:35:21.655363,09:35:34.763893,1,-1.0
1,09:35:21.655363,09:35:34.960425,1,-1.0
1,09:35:21.655363,09:35:35.150290,1,-1.0
1,09:35:21.655363,09:35:35.314555,1,-1.0
1,09:35:21.655363,09:35:35.493549,1,-1.0
1,09:35:21.655363,09:35:35.662807,1,-1.0
1,09:35:21.655363,09:35:35.830986,1,-1.0
1,09:35:21.655363,09:35:35.998733,1,-1.0
1,09:35:21.655363,09:35:36.183029,1,-1.0
1,09:35:21.655363,09:35:36.337363,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,09:35:37.271164,09:35:37.787505,1,-1.0
2,09:35:37.271164,09:35:38.244808,1,-1.0
2,09:35:37.271164,09:35:38.453426,1,-1.0
2,09:35:37.271164,09:35:38.614657,1,-1.0
2,09:35:37.271164,09:35:38.771267,1,-1.0
2,09:35:37.271164,09:35:38.940176,1,-1.0
2,09:35:37.271164,09:35:39.087705,1,-1.0
2,09:35:37.271164,09:35:39.249919,1,-1.0
2,09:35:37.271164,09:35:39.416159,1,-1.0
2,09:35:37.271164,09:35:39.566824,1,-1.0
2,09:35:37.271164,09:35:39.753992,1,-1.0
2,09:35:37.271164,09:35:39.924885,1,-1.0
2,09:35:37.271164,09:35:40.135279,1,-1.0
2,09:35:37.271164,09:35:40.280661,1,-1.0
2,09:35:37.271164,09:35:40.446215,1,-1.0
2,09:35:37.271164,09:35:40.841906,-1,-1.0
2,09:35:37.271164,09:35:41.062187,-1,-1.0
