Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:06:53.888169,16:06:54.140586,1,-1.0
1,16:06:53.888169,16:06:54.325863,1,-1.0
1,16:06:53.888169,16:06:54.495291,1,-1.0
1,16:06:53.888169,16:06:54.638689,1,-1.0
1,16:06:53.888169,16:06:54.778941,1,-1.0
1,16:06:53.888169,16:06:54.932122,1,-1.0
1,16:06:53.888169,16:06:55.074097,1,-1.0
1,16:06:53.888169,16:06:55.224657,1,-1.0
1,16:06:53.888169,16:06:55.354689,1,-1.0
1,16:06:53.888169,16:06:55.498461,1,-1.0
1,16:06:53.888169,16:06:55.628518,1,-1.0
1,16:06:53.888169,16:06:55.759056,1,-1.0
1,16:06:53.888169,16:06:55.879883,1,-1.0
1,16:06:53.888169,16:06:56.040436,1,-1.0
1,16:06:53.888169,16:06:56.180224,1,-1.0
1,16:06:53.888169,16:06:56.518277,-1,-1.0
1,16:06:53.888169,16:06:56.763483,-1,-1.0
1,16:06:53.888169,16:06:56.955524,-1,-1.0
1,16:06:53.888169,16:06:57.197873,-1,-1.0
1,16:06:53.888169,16:06:57.433751,-1,-1.0
1,16:06:53.888169,16:06:57.658411,-1,-1.0
1,16:06:53.888169,16:06:57.922379,-1,-1.0
1,16:06:53.888169,16:06:58.368464,-1,-1.0
1,16:06:53.888169,16:06:58.663678,1,-1.0
1,16:06:53.888169,16:06:58.812899,1,-1.0
1,16:06:53.888169,16:06:58.974822,1,-1.0
1,16:06:53.888169,16:06:59.288842,1,-1.0
1,16:06:53.888169,16:06:59.430006,1,-1.0
1,16:06:53.888169,16:06:59.580815,1,-1.0
1,16:06:53.888169,16:06:59.731792,1,-1.0
1,16:06:53.888169,16:06:59.896626,1,-1.0
1,16:06:53.888169,16:07:00.048685,1,-1.0
1,16:06:53.888169,16:07:00.198342,1,-1.0
1,16:06:53.888169,16:07:00.351291,1,-1.0
1,16:06:53.888169,16:07:00.512951,1,-1.0
1,16:06:53.888169,16:07:00.662322,1,-1.0
1,16:06:53.888169,16:07:00.825933,1,-1.0
1,16:06:53.888169,16:07:00.981037,1,-1.0
1,16:06:53.888169,16:07:01.320536,1,-1.0
1,16:06:53.888169,16:07:01.481360,1,-1.0
1,16:06:53.888169,16:07:01.642307,1,-1.0
1,16:06:53.888169,16:07:01.804817,1,-1.0
1,16:06:53.888169,16:07:01.957884,1,-1.0
1,16:06:53.888169,16:07:02.090688,1,-1.0
1,16:06:53.888169,16:07:02.251784,1,-1.0
1,16:06:53.888169,16:07:02.514222,-1,-1.0
1,16:06:53.888169,16:07:02.685812,-1,-1.0
1,16:06:53.888169,16:07:02.868055,-1,-1.0
1,16:06:53.888169,16:07:03.061796,-1,-1.0
1,16:06:53.888169,16:07:03.305820,-1,-1.0
1,16:06:53.888169,16:07:03.538709,-1,-1.0
1,16:06:53.888169,16:07:03.896858,-1,-1.0
1,16:06:53.888169,16:07:04.333244,-1,-1.0
1,16:06:53.888169,16:07:04.758541,1,-1.0
1,16:06:53.888169,16:07:04.912645,1,-1.0
1,16:06:53.888169,16:07:05.061635,1,-1.0
1,16:06:53.888169,16:07:05.221696,1,-1.0
1,16:06:53.888169,16:07:05.352483,1,-1.0
1,16:06:53.888169,16:07:05.514774,1,-1.0
1,16:06:53.888169,16:07:05.667217,1,-1.0
1,16:06:53.888169,16:07:05.811124,1,-1.0
1,16:06:53.888169,16:07:05.972984,1,-1.0
1,16:06:53.888169,16:07:06.116253,1,-1.0
1,16:06:53.888169,16:07:06.268583,1,-1.0
1,16:06:53.888169,16:07:06.430635,1,-1.0
1,16:06:53.888169,16:07:06.561321,1,-1.0
1,16:06:53.888169,16:07:06.701649,1,-1.0
1,16:06:53.888169,16:07:06.842852,1,-1.0
1,16:06:53.888169,16:07:07.016985,1,-1.0
1,16:06:53.888169,16:07:07.158974,1,-1.0
1,16:06:53.888169,16:07:07.311475,1,-1.0
1,16:06:53.888169,16:07:07.471203,1,-1.0
1,16:06:53.888169,16:07:07.634674,1,-1.0
1,16:06:53.888169,16:07:07.968604,1,-1.0
1,16:06:53.888169,16:07:08.119870,1,-1.0
1,16:06:53.888169,16:07:08.292424,1,-1.0
1,16:06:53.888169,16:07:08.495508,1,-1.0
1,16:06:53.888169,16:07:08.690144,1,-1.0
1,16:06:53.888169,16:07:08.892081,1,-1.0
1,16:06:53.888169,16:07:09.126709,1,-1.0
1,16:06:53.888169,16:07:09.442640,-1,-1.0
1,16:06:53.888169,16:07:09.673647,-1,-1.0
1,16:06:53.888169,16:07:09.888154,-1,-1.0
1,16:06:53.888169,16:07:10.133650,-1,-1.0
1,16:06:53.888169,16:07:10.626484,-1,-1.0
1,16:06:53.888169,16:07:10.945626,1,-1.0
1,16:06:53.888169,16:07:11.120161,1,-1.0
1,16:06:53.888169,16:07:11.297818,1,-1.0
