Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,18:28:52.488342,18:28:53.511675,1,-1.0
1,18:28:52.488342,18:28:53.881722,1,-1.0
1,18:28:52.488342,18:28:54.396109,1,-1.0
1,18:28:52.488342,18:28:55.036961,1,-1.0
1,18:28:52.488342,18:28:55.566976,1,-1.0
1,18:28:52.488342,18:28:56.024117,-1,-1.0
1,18:28:52.488342,18:28:56.655955,-1,-1.0
1,18:28:52.488342,18:28:57.189147,-1,-1.0
1,18:28:52.488342,18:28:57.679512,-1,-1.0
1,18:28:52.488342,18:28:58.185328,-1,-1.0
1,18:28:52.488342,18:28:58.546173,1,-1.0
1,18:28:52.488342,18:28:59.000761,1,-1.0
1,18:28:52.488342,18:28:59.480689,1,-1.0
1,18:28:52.488342,18:29:00.108857,1,-1.0
1,18:28:52.488342,18:29:00.771018,1,-1.0
1,18:28:52.488342,18:29:01.604865,1,-1.0
1,18:28:52.488342,18:29:01.967923,-1,-1.0
1,18:28:52.488342,18:29:02.488129,-1,-1.0
1,18:28:52.488342,18:29:02.845115,-1,-1.0
1,18:28:52.488342,18:29:03.257856,1,-1.0
1,18:28:52.488342,18:29:03.667297,1,-1.0
1,18:28:52.488342,18:29:04.176739,1,-1.0
1,18:28:52.488342,18:29:04.730399,1,-1.0
1,18:28:52.488342,18:29:05.315084,1,-1.0
1,18:28:52.488342,18:29:06.356064,-1,-1.0
1,18:28:52.488342,18:29:06.794086,1,-1.0
1,18:28:52.488342,18:29:07.247935,1,-1.0
1,18:28:52.488342,18:29:07.707853,1,-1.0
1,18:28:52.488342,18:29:08.217938,1,-1.0
1,18:28:52.488342,18:29:08.750384,1,-1.0
1,18:28:52.488342,18:29:09.142031,1,-1.0
1,18:28:52.488342,18:29:09.551889,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,18:29:33.850348,18:29:52.633163,-1,-1.0
2,18:29:33.850348,18:29:52.824488,-1,-1.0
2,18:29:33.850348,18:29:53.493103,-1,-1.0
2,18:29:33.850348,18:29:53.939686,1,-1.0
2,18:29:33.850348,18:29:54.181751,1,-1.0
2,18:29:33.850348,18:29:54.437581,1,-1.0
2,18:29:33.850348,18:29:54.667179,1,-1.0
2,18:29:33.850348,18:29:54.919199,1,-1.0
2,18:29:33.850348,18:29:55.182265,1,-1.0
2,18:29:33.850348,18:29:55.435726,1,-1.0
2,18:29:33.850348,18:29:55.688808,1,-1.0
2,18:29:33.850348,18:29:55.965772,1,-1.0
2,18:29:33.850348,18:29:56.219283,1,-1.0
