Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,18:30:30.397250,18:30:31.562502,1,-1.0
1,18:30:30.397250,18:30:32.453877,1,-1.0
1,18:30:30.397250,18:30:33.592909,1,-1.0
1,18:30:30.397250,18:30:34.357790,-1,-1.0
1,18:30:30.397250,18:30:35.041773,-1,-1.0
1,18:30:30.397250,18:30:35.719041,-1,-1.0
1,18:30:30.397250,18:30:36.307322,-1,-1.0
1,18:30:30.397250,18:30:36.781764,1,-1.0
1,18:30:30.397250,18:30:37.375020,1,-1.0
1,18:30:30.397250,18:30:38.064090,1,-1.0
1,18:30:30.397250,18:30:38.839833,1,-1.0
1,18:30:30.397250,18:30:39.461488,1,-1.0
1,18:30:30.397250,18:30:39.763689,-1,-1.0
1,18:30:30.397250,18:30:40.089948,-1,-1.0
1,18:30:30.397250,18:30:40.671665,-1,-1.0
1,18:30:30.397250,18:30:41.286928,1,-1.0
1,18:30:30.397250,18:30:41.973045,1,-1.0
1,18:30:30.397250,18:30:42.611528,1,-1.0
1,18:30:30.397250,18:30:43.272291,1,-1.0
1,18:30:30.397250,18:30:44.024883,-1,-1.0
1,18:30:30.397250,18:30:44.488970,1,-1.0
1,18:30:30.397250,18:30:45.313410,1,-1.0
1,18:30:30.397250,18:30:45.880314,1,-1.0
1,18:30:30.397250,18:30:46.460146,1,-1.0
1,18:30:30.397250,18:30:46.863013,1,-1.0
1,18:30:30.397250,18:30:47.246953,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,18:31:14.666184,18:31:16.054519,1,-1.0
2,18:31:14.666184,18:31:16.926676,1,-1.0
2,18:31:14.666184,18:31:17.885040,1,-1.0
2,18:31:14.666184,18:31:18.384602,-1,-1.0
2,18:31:14.666184,18:31:19.061989,-1,-1.0
2,18:31:14.666184,18:31:19.687221,-1,-1.0
2,18:31:14.666184,18:31:20.214113,1,-1.0
2,18:31:14.666184,18:31:21.060768,1,-1.0
2,18:31:14.666184,18:31:21.911874,1,-1.0
2,18:31:14.666184,18:31:22.531626,1,-1.0
2,18:31:14.666184,18:31:22.869994,1,-1.0
2,18:31:14.666184,18:31:23.461866,1,-1.0
2,18:31:14.666184,18:31:23.756808,-1,-1.0
2,18:31:14.666184,18:31:24.183354,1,-1.0
2,18:31:14.666184,18:31:24.469460,1,-1.0
2,18:31:14.666184,18:31:24.699174,1,-1.0
2,18:31:14.666184,18:31:24.931532,1,-1.0
2,18:31:14.666184,18:31:25.189245,1,-1.0
2,18:31:14.666184,18:31:25.405844,1,-1.0
2,18:31:14.666184,18:31:25.692744,1,-1.0
2,18:31:14.666184,18:31:25.965555,1,-1.0
2,18:31:14.666184,18:31:26.246950,1,-1.0
2,18:31:14.666184,18:31:26.502457,1,-1.0
2,18:31:14.666184,18:31:26.755594,1,-1.0
2,18:31:14.666184,18:31:27.030828,1,-1.0
2,18:31:14.666184,18:31:27.302950,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
