Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:28:13.613351,16:28:13.804641,1,-1.0
1,16:28:13.613351,16:28:14.038879,1,-1.0
1,16:28:13.613351,16:28:14.289261,1,-1.0
1,16:28:13.613351,16:28:14.554974,1,-1.0
1,16:28:13.613351,16:28:14.825761,-1,-1.0
1,16:28:13.613351,16:28:15.269812,-1,-1.0
1,16:28:13.613351,16:28:15.887227,-1,-1.0
1,16:28:13.613351,16:28:16.489275,-1,-1.0
1,16:28:13.613351,16:28:16.948267,-1,-1.0
1,16:28:13.613351,16:28:24.052714,-1,-1.0
1,16:28:13.613351,16:28:24.377594,-1,-1.0
1,16:28:13.613351,16:28:24.886581,-1,-1.0
1,16:28:13.613351,16:28:25.160529,-1,-1.0
1,16:28:13.613351,16:28:26.382163,1,-1.0
1,16:28:13.613351,16:28:26.660000,1,-1.0
1,16:28:13.613351,16:28:26.903435,1,-1.0
1,16:28:13.613351,16:28:27.148992,1,-1.0
1,16:28:13.613351,16:28:27.430219,1,-1.0
1,16:28:13.613351,16:28:27.679053,1,-1.0
1,16:28:13.613351,16:28:27.952700,1,-1.0
1,16:28:13.613351,16:28:28.199550,1,-1.0
1,16:28:13.613351,16:28:28.467456,1,-1.0
1,16:28:13.613351,16:28:28.740450,1,-1.0
1,16:28:13.613351,16:28:29.016516,1,-1.0
1,16:28:13.613351,16:28:29.272306,1,-1.0
1,16:28:13.613351,16:28:29.550258,1,-1.0
1,16:28:13.613351,16:28:29.807818,1,-1.0
1,16:28:13.613351,16:28:30.065036,1,-1.0
1,16:28:13.613351,16:28:30.361823,1,-1.0
1,16:28:13.613351,16:28:30.654767,1,-1.0
1,16:28:13.613351,16:28:30.986577,1,-1.0
1,16:28:13.613351,16:28:31.351667,1,-1.0
1,16:28:13.613351,16:28:32.403316,-1,-1.0
1,16:28:13.613351,16:28:32.876955,-1,-1.0
1,16:28:13.613351,16:28:33.241510,-1,-1.0
1,16:28:13.613351,16:28:33.587706,-1,-1.0
1,16:28:13.613351,16:28:33.913747,-1,-1.0
1,16:28:13.613351,16:28:34.440945,1,-1.0
1,16:28:13.613351,16:28:34.687258,1,-1.0
1,16:28:13.613351,16:28:34.889851,1,-1.0
1,16:28:13.613351,16:28:35.113935,1,-1.0
1,16:28:13.613351,16:28:35.324079,1,-1.0
1,16:28:13.613351,16:28:35.529118,1,-1.0
1,16:28:13.613351,16:28:35.743696,1,-1.0
1,16:28:13.613351,16:28:35.975277,1,-1.0
1,16:28:13.613351,16:28:36.221062,1,-1.0
1,16:28:13.613351,16:28:36.486817,1,-1.0
1,16:28:13.613351,16:28:36.689624,1,-1.0
1,16:28:13.613351,16:28:36.935061,1,-1.0
1,16:28:13.613351,16:28:37.169685,1,-1.0
1,16:28:13.613351,16:28:37.426679,1,-1.0
1,16:28:13.613351,16:28:37.705078,1,-1.0
1,16:28:13.613351,16:28:37.968775,1,-1.0
1,16:28:13.613351,16:28:38.213945,1,-1.0
1,16:28:13.613351,16:28:38.459237,1,-1.0
1,16:28:13.613351,16:28:38.708353,1,-1.0
1,16:28:13.613351,16:28:38.948706,1,-1.0
1,16:28:13.613351,16:28:39.198585,1,-1.0
1,16:28:13.613351,16:28:39.448886,1,-1.0
1,16:28:13.613351,16:28:39.731394,1,-1.0
1,16:28:13.613351,16:28:40.013747,1,-1.0
1,16:28:13.613351,16:28:40.309437,1,-1.0
1,16:28:13.613351,16:28:40.599075,1,-1.0
1,16:28:13.613351,16:28:40.853213,1,-1.0
1,16:28:13.613351,16:28:41.382650,1,-1.0
1,16:28:13.613351,16:28:42.282344,1,-1.0
1,16:28:13.613351,16:28:42.634588,1,-1.0
1,16:28:13.613351,16:28:43.046012,1,-1.0
1,16:28:13.613351,16:28:43.624480,1,-1.0
1,16:28:13.613351,16:28:43.877683,1,-1.0
1,16:28:13.613351,16:28:45.220362,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,16:28:45.221910,16:28:45.597576,-1,-1.0
2,16:28:45.221910,16:28:45.944286,-1,-1.0
2,16:28:45.221910,16:28:46.428672,-1,-1.0
2,16:28:45.221910,16:28:46.687242,-1,-1.0
2,16:28:45.221910,16:28:47.014938,-1,-1.0
2,16:28:45.221910,16:28:47.252159,-1,-1.0
2,16:28:45.221910,16:28:47.563459,-1,-1.0
2,16:28:45.221910,16:28:47.862066,1,-1.0
2,16:28:45.221910,16:28:48.150148,1,-1.0
2,16:28:45.221910,16:28:48.891224,-1,-1.0
2,16:28:45.221910,16:28:49.158904,1,-1.0
2,16:28:45.221910,16:28:49.590819,-1,-1.0
2,16:28:45.221910,16:28:49.886711,-1,-1.0
2,16:28:45.221910,16:28:50.258041,-1,-1.0
2,16:28:45.221910,16:28:50.862385,-1,-1.0
2,16:28:45.221910,16:28:51.323262,1,-1.0
2,16:28:45.221910,16:28:51.525551,1,-1.0
2,16:28:45.221910,16:28:51.768103,1,-1.0
2,16:28:45.221910,16:28:51.993675,1,-1.0
2,16:28:45.221910,16:28:52.229328,1,-1.0
2,16:28:45.221910,16:28:52.474738,1,-1.0
2,16:28:45.221910,16:28:52.739549,1,-1.0
2,16:28:45.221910,16:28:52.993044,1,-1.0
2,16:28:45.221910,16:28:53.244929,1,-1.0
2,16:28:45.221910,16:28:53.492805,1,-1.0
2,16:28:45.221910,16:28:53.746235,1,-1.0
2,16:28:45.221910,16:28:54.025474,1,-1.0
2,16:28:45.221910,16:28:54.302431,1,-1.0
2,16:28:45.221910,16:28:54.641107,-1,-1.0
2,16:28:45.221910,16:28:54.964983,-1,-1.0
2,16:28:45.221910,16:28:55.241531,-1,-1.0
2,16:28:45.221910,16:28:55.861561,-1,-1.0
2,16:28:45.221910,16:28:56.184567,-1,-1.0
2,16:28:45.221910,16:28:56.640493,1,-1.0
2,16:28:45.221910,16:28:56.881557,1,-1.0
2,16:28:45.221910,16:28:57.116954,1,-1.0
2,16:28:45.221910,16:28:57.354581,1,-1.0
2,16:28:45.221910,16:28:57.593193,1,-1.0
2,16:28:45.221910,16:28:57.879062,1,-1.0
2,16:28:45.221910,16:28:58.879127,1,-1.0
2,16:28:45.221910,16:29:05.396939,1,-1.0
