Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:27:42.223492,16:27:42.290047,1,-1.0
1,16:27:42.223492,16:27:42.534634,1,-1.0
1,16:27:42.223492,16:27:42.816863,1,-1.0
1,16:27:42.223492,16:27:43.622205,-1,-1.0
1,16:27:42.223492,16:27:43.920403,-1,-1.0
1,16:27:42.223492,16:27:44.209900,1,-1.0
1,16:27:42.223492,16:27:44.452980,1,-1.0
1,16:27:42.223492,16:27:44.682101,1,-1.0
1,16:27:42.223492,16:27:44.919415,1,-1.0
1,16:27:42.223492,16:27:45.179213,1,-1.0
1,16:27:42.223492,16:27:45.432804,1,-1.0
1,16:27:42.223492,16:27:45.721736,1,-1.0
1,16:27:42.223492,16:27:46.004082,1,-1.0
1,16:27:42.223492,16:27:46.232281,1,-1.0
1,16:27:42.223492,16:27:46.463348,1,-1.0
1,16:27:42.223492,16:27:46.713990,1,-1.0
1,16:27:42.223492,16:27:46.969813,1,-1.0
1,16:27:42.223492,16:27:47.214458,1,-1.0
1,16:27:42.223492,16:27:47.480971,1,-1.0
1,16:27:42.223492,16:27:47.829343,1,-1.0
1,16:27:42.223492,16:27:48.094081,1,-1.0
1,16:27:42.223492,16:27:48.390457,1,-1.0
1,16:27:42.223492,16:27:48.667524,1,-1.0
1,16:27:42.223492,16:27:48.967944,1,-1.0
1,16:27:42.223492,16:27:49.264462,1,-1.0
1,16:27:42.223492,16:27:49.531513,1,-1.0
1,16:27:42.223492,16:27:50.194164,-1,-1.0
1,16:27:42.223492,16:27:50.748680,-1,-1.0
1,16:27:42.223492,16:27:51.243500,-1,-1.0
1,16:27:42.223492,16:27:51.625838,-1,-1.0
1,16:27:42.223492,16:27:52.048978,-1,-1.0
1,16:27:42.223492,16:27:52.478224,-1,-1.0
1,16:27:42.223492,16:27:52.844596,-1,-1.0
1,16:27:42.223492,16:27:53.486338,1,-1.0
1,16:27:42.223492,16:27:53.776148,-1,-1.0
1,16:27:42.223492,16:27:54.052315,-1,-1.0
1,16:27:42.223492,16:27:54.791883,-1,-1.0
1,16:27:42.223492,16:27:55.266273,-1,-1.0
1,16:27:42.223492,16:27:55.560886,-1,-1.0
1,16:27:42.223492,16:27:55.784613,1,-1.0
1,16:27:42.223492,16:27:55.951193,-1,-1.0
1,16:27:42.223492,16:27:56.243163,-1,-1.0
1,16:27:42.223492,16:27:56.485181,-1,-1.0
1,16:27:42.223492,16:27:57.018319,-1,-1.0
1,16:27:42.223492,16:27:57.265715,1,-1.0
1,16:27:42.223492,16:27:57.884193,1,-1.0
1,16:27:42.223492,16:27:58.113281,1,-1.0
1,16:27:42.223492,16:27:58.500877,1,-1.0
1,16:27:42.223492,16:27:58.761589,1,-1.0
1,16:27:42.223492,16:27:58.985781,1,-1.0
1,16:27:42.223492,16:27:59.273483,1,-1.0
1,16:27:42.223492,16:27:59.543456,1,-1.0
