Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,19:05:13.502615,19:05:14.822126,1,-1.0
1,19:05:13.502615,19:05:17.042182,1,-1.0
1,19:05:13.502615,19:05:19.267922,1,-1.0
1,19:05:13.502615,19:05:21.147423,-1,-1.0
1,19:05:13.502615,19:05:22.516626,-1,-1.0
1,19:05:13.502615,19:05:23.797008,-1,-1.0
1,19:05:13.502615,19:05:24.281363,1,-1.0
1,19:05:13.502615,19:05:24.765323,-1,-1.0
1,19:05:13.502615,19:05:25.705106,-1,-1.0
1,19:05:13.502615,19:05:26.300604,1,-1.0
1,19:05:13.502615,19:05:27.495659,1,-1.0
1,19:05:13.502615,19:05:29.208421,1,-1.0
1,19:05:13.502615,19:05:30.245372,-1,-1.0
1,19:05:13.502615,19:05:31.396420,-1,-1.0
1,19:05:13.502615,19:05:31.950612,1,-1.0
1,19:05:13.502615,19:05:33.320156,1,-1.0
1,19:05:13.502615,19:05:35.356708,1,-1.0
1,19:05:13.502615,19:05:36.284990,-1,-1.0
1,19:05:13.502615,19:05:36.806821,1,-1.0
1,19:05:13.502615,19:05:39.171213,1,-1.0
1,19:05:13.502615,19:05:40.102059,1,-1.0
1,19:05:13.502615,19:05:40.669438,1,-1.0
1,19:05:13.502615,19:05:41.322137,1,-1.0
1,19:05:13.502615,19:05:43.014551,1,-1.0
1,19:05:13.502615,19:05:44.258193,1,-1.0
1,19:05:13.502615,19:05:45.563802,1,-1.0
