Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,18:28:16.530390,18:28:17.678868,1,-1.0
1,18:28:16.530390,18:28:18.067111,1,-1.0
1,18:28:16.530390,18:28:18.463945,1,-1.0
1,18:28:16.530390,18:28:19.143670,1,-1.0
1,18:28:16.530390,18:28:19.741905,1,-1.0
1,18:28:16.530390,18:28:20.357514,-1,-1.0
1,18:28:16.530390,18:28:20.821951,-1,-1.0
1,18:28:16.530390,18:28:21.239061,-1,-1.0
1,18:28:16.530390,18:28:21.811581,-1,-1.0
1,18:28:16.530390,18:28:22.207170,1,-1.0
1,18:28:16.530390,18:28:22.591734,1,-1.0
1,18:28:16.530390,18:28:22.970823,1,-1.0
1,18:28:16.530390,18:28:23.360015,1,-1.0
1,18:28:16.530390,18:28:23.761704,1,-1.0
1,18:28:16.530390,18:28:24.205012,1,-1.0
1,18:28:16.530390,18:28:24.680031,1,-1.0
1,18:28:16.530390,18:28:25.134734,1,-1.0
1,18:28:16.530390,18:28:25.844829,1,-1.0
