Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,18:27:05.802269,18:27:06.892177,1,-1.0
1,18:27:05.802269,18:27:07.154792,1,-1.0
1,18:27:05.802269,18:27:07.338323,1,-1.0
1,18:27:05.802269,18:27:07.524951,1,-1.0
1,18:27:05.802269,18:27:07.679747,1,-1.0
1,18:27:05.802269,18:27:07.885687,1,-1.0
1,18:27:05.802269,18:27:08.011974,1,-1.0
1,18:27:05.802269,18:27:08.208886,1,-1.0
1,18:27:05.802269,18:27:08.355916,1,-1.0
1,18:27:05.802269,18:27:08.543581,1,-1.0
1,18:27:05.802269,18:27:08.697915,1,-1.0
1,18:27:05.802269,18:27:09.036687,-1,-1.0
1,18:27:05.802269,18:27:09.233474,-1,-1.0
1,18:27:05.802269,18:27:09.397726,-1,-1.0
1,18:27:05.802269,18:27:09.583474,-1,-1.0
1,18:27:05.802269,18:27:09.761536,-1,-1.0
1,18:27:05.802269,18:27:09.967689,-1,-1.0
1,18:27:05.802269,18:27:10.265347,-1,-1.0
1,18:27:05.802269,18:27:10.668259,1,-1.0
1,18:27:05.802269,18:27:10.911575,-1,-1.0
1,18:27:05.802269,18:27:11.209007,1,-1.0
1,18:27:05.802269,18:27:11.402132,1,-1.0
1,18:27:05.802269,18:27:11.589457,1,-1.0
1,18:27:05.802269,18:27:11.795194,1,-1.0
1,18:27:05.802269,18:27:12.012199,1,-1.0
1,18:27:05.802269,18:27:12.242875,1,-1.0
1,18:27:05.802269,18:27:12.455819,1,-1.0
1,18:27:05.802269,18:27:12.672069,1,-1.0
1,18:27:05.802269,18:27:12.889159,1,-1.0
1,18:27:05.802269,18:27:13.119150,1,-1.0
1,18:27:05.802269,18:27:13.324944,1,-1.0
1,18:27:05.802269,18:27:13.566466,1,-1.0
1,18:27:05.802269,18:27:13.806233,1,-1.0
1,18:27:05.802269,18:27:14.011992,1,-1.0
1,18:27:05.802269,18:27:14.229100,1,-1.0
1,18:27:05.802269,18:27:14.452054,-1,-1.0
1,18:27:05.802269,18:27:14.665745,-1,-1.0
1,18:27:05.802269,18:27:14.926950,-1,-1.0
1,18:27:05.802269,18:27:15.269863,-1,-1.0
1,18:27:05.802269,18:27:15.533511,-1,-1.0
1,18:27:05.802269,18:27:15.752134,-1,-1.0
1,18:27:05.802269,18:27:16.153979,1,-1.0
1,18:27:05.802269,18:27:16.359385,-1,-1.0
1,18:27:05.802269,18:27:16.730663,-1,-1.0
1,18:27:05.802269,18:27:17.188618,1,-1.0
1,18:27:05.802269,18:27:17.413944,1,-1.0
1,18:27:05.802269,18:27:17.645876,1,-1.0
1,18:27:05.802269,18:27:17.895610,1,-1.0
1,18:27:05.802269,18:27:18.190969,1,-1.0
1,18:27:05.802269,18:27:18.659758,1,-1.0
1,18:27:05.802269,18:27:19.434241,-1,-1.0
1,18:27:05.802269,18:27:20.071709,1,-1.0
1,18:27:05.802269,18:27:20.342916,1,-1.0
1,18:27:05.802269,18:27:20.620958,1,-1.0
1,18:27:05.802269,18:27:20.925240,1,-1.0
1,18:27:05.802269,18:27:21.220846,1,-1.0
1,18:27:05.802269,18:27:21.512821,1,-1.0
1,18:27:05.802269,18:27:21.798947,1,-1.0
1,18:27:05.802269,18:27:22.082347,1,-1.0
1,18:27:05.802269,18:27:22.332696,1,-1.0
1,18:27:05.802269,18:27:22.540303,1,-1.0
1,18:27:05.802269,18:27:22.726727,1,-1.0
1,18:27:05.802269,18:27:22.894558,1,-1.0
1,18:27:05.802269,18:27:23.078926,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
