Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:25:40.329177,14:25:42.552795,1,-1.0
1,14:25:40.329177,14:25:42.879131,1,-1.0
1,14:25:40.329177,14:25:43.120716,1,-1.0
1,14:25:40.329177,14:25:43.375999,1,-1.0
1,14:25:40.329177,14:25:43.626368,1,-1.0
1,14:25:40.329177,14:25:43.875208,1,-1.0
1,14:25:40.329177,14:25:44.100461,1,-1.0
1,14:25:40.329177,14:25:44.351892,1,-1.0
1,14:25:40.329177,14:25:44.602897,1,-1.0
1,14:25:40.329177,14:25:45.031392,-1,-1.0
1,14:25:40.329177,14:25:45.397154,-1,-1.0
1,14:25:40.329177,14:25:45.711396,-1,-1.0
1,14:25:40.329177,14:25:45.994365,-1,-1.0
1,14:25:40.329177,14:25:46.291698,-1,-1.0
1,14:25:40.329177,14:25:46.563220,-1,-1.0
1,14:25:40.329177,14:25:46.863544,-1,-1.0
1,14:25:40.329177,14:25:47.386040,1,-1.0
1,14:25:40.329177,14:25:47.654231,1,-1.0
1,14:25:40.329177,14:25:47.893039,1,-1.0
1,14:25:40.329177,14:25:48.131318,1,-1.0
1,14:25:40.329177,14:25:48.364060,1,-1.0
1,14:25:40.329177,14:25:48.599453,1,-1.0
1,14:25:40.329177,14:25:48.950259,1,-1.0
1,14:25:40.329177,14:25:49.202902,1,-1.0
1,14:25:40.329177,14:25:49.470709,1,-1.0
1,14:25:40.329177,14:25:49.748773,1,-1.0
1,14:25:40.329177,14:25:50.047421,1,-1.0
1,14:25:40.329177,14:25:50.358352,1,-1.0
1,14:25:40.329177,14:25:50.659120,1,-1.0
1,14:25:40.329177,14:25:50.944539,1,-1.0
1,14:25:40.329177,14:25:51.247975,1,-1.0
1,14:25:40.329177,14:25:51.544922,1,-1.0
1,14:25:40.329177,14:25:51.781400,1,-1.0
1,14:25:40.329177,14:25:52.031920,1,-1.0
1,14:25:40.329177,14:25:52.380942,-1,-1.0
1,14:25:40.329177,14:25:52.667333,-1,-1.0
1,14:25:40.329177,14:25:52.937033,-1,-1.0
1,14:25:40.329177,14:25:53.611065,-1,-1.0
1,14:25:40.329177,14:25:53.996535,-1,-1.0
1,14:25:40.329177,14:25:54.348411,-1,-1.0
1,14:25:40.329177,14:25:54.775354,-1,-1.0
1,14:25:40.329177,14:25:55.304842,-1,-1.0
1,14:25:40.329177,14:25:56.034044,-1,-1.0
1,14:25:40.329177,14:25:56.623127,1,-1.0
1,14:25:40.329177,14:25:56.894100,1,-1.0
1,14:25:40.329177,14:25:57.131498,1,-1.0
1,14:25:40.329177,14:25:57.377709,1,-1.0
1,14:25:40.329177,14:25:57.644875,1,-1.0
1,14:25:40.329177,14:25:57.906662,1,-1.0
1,14:25:40.329177,14:25:58.247679,1,-1.0
1,14:25:40.329177,14:25:58.533506,1,-1.0
1,14:25:40.329177,14:25:58.864219,1,-1.0
1,14:25:40.329177,14:25:59.123532,1,-1.0
1,14:25:40.329177,14:25:59.400607,1,-1.0
1,14:25:40.329177,14:25:59.678477,1,-1.0
1,14:25:40.329177,14:25:59.962844,1,-1.0
1,14:25:40.329177,14:26:00.249917,1,-1.0
1,14:25:40.329177,14:26:00.729262,1,-1.0
1,14:25:40.329177,14:26:01.009849,1,-1.0
1,14:25:40.329177,14:26:01.903245,1,-1.0
1,14:25:40.329177,14:26:02.134694,1,-1.0
1,14:25:40.329177,14:26:02.942875,-1,-1.0
1,14:25:40.329177,14:26:03.192855,-1,-1.0
1,14:25:40.329177,14:26:03.436535,-1,-1.0
1,14:25:40.329177,14:26:03.687616,-1,-1.0
1,14:25:40.329177,14:26:04.130754,1,-1.0
1,14:25:40.329177,14:26:04.382064,1,-1.0
1,14:25:40.329177,14:26:04.597857,1,-1.0
1,14:25:40.329177,14:26:04.851685,1,-1.0
1,14:25:40.329177,14:26:05.121097,1,-1.0
1,14:25:40.329177,14:26:05.378489,1,-1.0
1,14:25:40.329177,14:26:05.651625,1,-1.0
1,14:25:40.329177,14:26:06.163390,1,-1.0
1,14:25:40.329177,14:26:06.375076,1,-1.0
1,14:25:40.329177,14:26:06.660968,1,-1.0
1,14:25:40.329177,14:26:06.901061,1,-1.0
1,14:25:40.329177,14:26:07.176601,1,-1.0
1,14:25:40.329177,14:26:07.450496,1,-1.0
1,14:25:40.329177,14:26:07.737623,1,-1.0
1,14:25:40.329177,14:26:08.051597,1,-1.0
1,14:25:40.329177,14:26:08.295480,1,-1.0
1,14:25:40.329177,14:26:08.537662,1,-1.0
1,14:25:40.329177,14:26:08.777675,1,-1.0
1,14:25:40.329177,14:26:09.086009,1,-1.0
1,14:25:40.329177,14:26:09.322414,1,-1.0
1,14:25:40.329177,14:26:09.612819,1,-1.0
1,14:25:40.329177,14:26:09.917339,1,-1.0
1,14:25:40.329177,14:26:10.140588,1,-1.0
1,14:25:40.329177,14:26:10.453299,1,-1.0
