Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:18:12.818977,14:18:12.836195,1,-1.0
1,14:18:12.818977,14:18:13.081144,1,-1.0
1,14:18:12.818977,14:18:13.909913,1,-1.0
1,14:18:12.818977,14:18:14.149086,1,-1.0
1,14:18:12.818977,14:18:14.429532,1,-1.0
1,14:18:12.818977,14:18:14.672372,1,-1.0
1,14:18:12.818977,14:18:14.906897,1,-1.0
1,14:18:12.818977,14:18:15.207606,1,-1.0
1,14:18:12.818977,14:18:21.043255,-1,-1.0
1,14:18:12.818977,14:18:21.304543,-1,-1.0
1,14:18:12.818977,14:18:21.528565,-1,-1.0
1,14:18:12.818977,14:18:21.876857,-1,-1.0
1,14:18:12.818977,14:18:22.144118,-1,-1.0
1,14:18:12.818977,14:18:22.387324,-1,-1.0
1,14:18:12.818977,14:18:22.783013,1,-1.0
1,14:18:12.818977,14:18:23.045759,1,-1.0
1,14:18:12.818977,14:18:23.306642,1,-1.0
1,14:18:12.818977,14:18:23.542768,1,-1.0
1,14:18:12.818977,14:18:23.769469,1,-1.0
1,14:18:12.818977,14:18:24.017726,1,-1.0
1,14:18:12.818977,14:18:24.280042,1,-1.0
1,14:18:12.818977,14:18:24.508542,1,-1.0
1,14:18:12.818977,14:18:24.773788,1,-1.0
1,14:18:12.818977,14:18:25.006813,1,-1.0
1,14:18:12.818977,14:18:25.234683,1,-1.0
1,14:18:12.818977,14:18:25.486982,1,-1.0
1,14:18:12.818977,14:18:25.788650,1,-1.0
1,14:18:12.818977,14:18:26.015663,1,-1.0
1,14:18:12.818977,14:18:26.280770,1,-1.0
1,14:18:12.818977,14:18:26.527394,1,-1.0
1,14:18:12.818977,14:18:26.846202,1,-1.0
1,14:18:12.818977,14:18:27.153728,1,-1.0
1,14:18:12.818977,14:18:27.414373,1,-1.0
1,14:18:12.818977,14:18:27.740686,1,-1.0
1,14:18:12.818977,14:18:27.956247,1,-1.0
1,14:18:12.818977,14:18:28.269957,1,-1.0
1,14:18:12.818977,14:18:28.674227,-1,-1.0
1,14:18:12.818977,14:18:28.965990,-1,-1.0
1,14:18:12.818977,14:18:29.252510,-1,-1.0
1,14:18:12.818977,14:18:29.526245,-1,-1.0
1,14:18:12.818977,14:18:29.856929,-1,-1.0
1,14:18:12.818977,14:18:30.364171,1,-1.0
1,14:18:12.818977,14:18:30.616729,1,-1.0
1,14:18:12.818977,14:18:30.984687,1,-1.0
1,14:18:12.818977,14:18:31.228000,1,-1.0
1,14:18:12.818977,14:18:31.485154,1,-1.0
1,14:18:12.818977,14:18:32.074657,1,-1.0
1,14:18:12.818977,14:18:32.295492,1,-1.0
1,14:18:12.818977,14:18:32.671703,1,-1.0
1,14:18:12.818977,14:18:32.880126,1,-1.0
1,14:18:12.818977,14:18:33.388644,1,-1.0
1,14:18:12.818977,14:18:33.700704,1,-1.0
1,14:18:12.818977,14:18:33.956247,1,-1.0
1,14:18:12.818977,14:18:34.215759,1,-1.0
1,14:18:12.818977,14:18:34.496853,1,-1.0
1,14:18:12.818977,14:18:34.727864,1,-1.0
1,14:18:12.818977,14:18:34.963294,1,-1.0
1,14:18:12.818977,14:18:35.191266,1,-1.0
1,14:18:12.818977,14:18:35.458804,1,-1.0
1,14:18:12.818977,14:18:35.697634,1,-1.0
1,14:18:12.818977,14:18:35.937329,1,-1.0
