Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:19:42.469739,14:19:42.794429,1,-1.0
1,14:19:42.469739,14:19:43.415479,1,-1.0
1,14:19:42.469739,14:19:43.721653,1,-1.0
1,14:19:42.469739,14:19:43.978185,1,-1.0
1,14:19:42.469739,14:19:44.225891,1,-1.0
1,14:19:42.469739,14:19:44.409955,1,-1.0
1,14:19:42.469739,14:19:44.662383,1,-1.0
1,14:19:42.469739,14:19:44.862346,1,-1.0
1,14:19:42.469739,14:19:45.042092,1,-1.0
1,14:19:42.469739,14:19:45.294072,1,-1.0
1,14:19:42.469739,14:19:46.050478,-1,-1.0
1,14:19:42.469739,14:19:46.327866,-1,-1.0
1,14:19:42.469739,14:19:47.141892,-1,-1.0
1,14:19:42.469739,14:19:47.352829,-1,-1.0
1,14:19:42.469739,14:19:47.545193,-1,-1.0
1,14:19:42.469739,14:19:47.759252,-1,-1.0
1,14:19:42.469739,14:19:47.977798,-1,-1.0
1,14:19:42.469739,14:19:49.028164,-1,-1.0
1,14:19:42.469739,14:19:49.375672,-1,-1.0
1,14:19:42.469739,14:19:49.910417,-1,-1.0
1,14:19:42.469739,14:19:50.425970,-1,-1.0
1,14:19:42.469739,14:19:50.768130,1,-1.0
1,14:19:42.469739,14:19:50.961817,1,-1.0
1,14:19:42.469739,14:19:51.134620,1,-1.0
1,14:19:42.469739,14:19:51.358065,1,-1.0
1,14:19:42.469739,14:19:51.906781,-1,-1.0
1,14:19:42.469739,14:19:52.222762,-1,-1.0
1,14:19:42.469739,14:19:52.586776,-1,-1.0
1,14:19:42.469739,14:19:52.812280,-1,-1.0
1,14:19:42.469739,14:19:53.067231,-1,-1.0
1,14:19:42.469739,14:19:53.574667,1,-1.0
1,14:19:42.469739,14:19:53.909764,1,-1.0
1,14:19:42.469739,14:19:54.113476,1,-1.0
1,14:19:42.469739,14:19:54.297066,1,-1.0
1,14:19:42.469739,14:19:54.522394,1,-1.0
1,14:19:42.469739,14:19:54.757747,1,-1.0
1,14:19:42.469739,14:19:54.968451,1,-1.0
1,14:19:42.469739,14:19:55.225645,1,-1.0
1,14:19:42.469739,14:19:55.441638,1,-1.0
1,14:19:42.469739,14:19:55.655603,1,-1.0
1,14:19:42.469739,14:19:55.900111,1,-1.0
1,14:19:42.469739,14:19:56.281098,-1,-1.0
1,14:19:42.469739,14:19:56.515937,-1,-1.0
1,14:19:42.469739,14:19:56.767547,-1,-1.0
