Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:55:04.685353,14:55:04.731907,1,-1.0
1,14:55:04.685353,14:55:05.017867,1,-1.0
1,14:55:04.685353,14:55:05.295416,1,-1.0
1,14:55:04.685353,14:55:05.555325,1,-1.0
1,14:55:04.685353,14:55:05.832933,1,-1.0
1,14:55:04.685353,14:55:06.056142,1,-1.0
1,14:55:04.685353,14:55:06.281375,1,-1.0
1,14:55:04.685353,14:55:06.539879,1,-1.0
1,14:55:04.685353,14:55:06.753673,1,-1.0
1,14:55:04.685353,14:55:06.982091,1,-1.0
1,14:55:04.685353,14:55:07.188965,1,-1.0
1,14:55:04.685353,14:55:07.509017,1,-1.0
1,14:55:04.685353,14:55:07.785373,1,-1.0
1,14:55:04.685353,14:55:08.019264,1,-1.0
1,14:55:04.685353,14:55:08.233065,1,-1.0
1,14:55:04.685353,14:55:08.468690,1,-1.0
1,14:55:04.685353,14:55:08.709559,1,-1.0
1,14:55:04.685353,14:55:08.968964,1,-1.0
1,14:55:04.685353,14:55:09.211211,1,-1.0
1,14:55:04.685353,14:55:09.495373,1,-1.0
1,14:55:04.685353,14:55:09.743183,1,-1.0
1,14:55:04.685353,14:55:10.130221,1,-1.0
1,14:55:04.685353,14:55:10.463300,1,-1.0
1,14:55:04.685353,14:55:10.735768,1,-1.0
1,14:55:04.685353,14:55:11.022250,1,-1.0
1,14:55:04.685353,14:55:11.322046,1,-1.0
1,14:55:04.685353,14:55:11.629902,1,-1.0
1,14:55:04.685353,14:55:11.943244,1,-1.0
1,14:55:04.685353,14:55:12.228756,1,-1.0
1,14:55:04.685353,14:55:12.506065,1,-1.0
1,14:55:04.685353,14:55:12.766711,1,-1.0
1,14:55:04.685353,14:55:13.176117,-1,-1.0
1,14:55:04.685353,14:55:13.556555,-1,-1.0
1,14:55:04.685353,14:55:13.953338,-1,-1.0
1,14:55:04.685353,14:55:14.463280,-1,-1.0
1,14:55:04.685353,14:55:14.815856,-1,-1.0
1,14:55:04.685353,14:55:15.081495,-1,-1.0
1,14:55:04.685353,14:55:15.382395,-1,-1.0
1,14:55:04.685353,14:55:15.714660,-1,-1.0
1,14:55:04.685353,14:55:15.999564,-1,-1.0
1,14:55:04.685353,14:55:16.328479,-1,-1.0
1,14:55:04.685353,14:55:16.792967,-1,-1.0
1,14:55:04.685353,14:55:17.065616,1,-1.0
1,14:55:04.685353,14:55:17.344225,1,-1.0
1,14:55:04.685353,14:55:17.551893,1,-1.0
1,14:55:04.685353,14:55:17.774624,1,-1.0
1,14:55:04.685353,14:55:17.980456,1,-1.0
1,14:55:04.685353,14:55:18.200415,1,-1.0
1,14:55:04.685353,14:55:18.428332,1,-1.0
1,14:55:04.685353,14:55:18.710829,1,-1.0
1,14:55:04.685353,14:55:18.933832,1,-1.0
1,14:55:04.685353,14:55:19.267004,1,-1.0
1,14:55:04.685353,14:55:19.513897,1,-1.0
1,14:55:04.685353,14:55:19.699047,1,-1.0
1,14:55:04.685353,14:55:19.948874,1,-1.0
1,14:55:04.685353,14:55:20.180291,1,-1.0
1,14:55:04.685353,14:55:20.606313,1,-1.0
1,14:55:04.685353,14:55:20.853356,1,-1.0
1,14:55:04.685353,14:55:21.196758,1,-1.0
1,14:55:04.685353,14:55:22.121053,1,-1.0
