Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,18:47:55.941573,18:47:56.909492,1,-1.0
1,18:47:55.941573,18:47:57.153736,1,-1.0
1,18:47:55.941573,18:47:57.447357,1,-1.0
1,18:47:55.941573,18:47:57.738486,1,-1.0
1,18:47:55.941573,18:47:57.991467,1,-1.0
1,18:47:55.941573,18:47:58.253460,1,-1.0
1,18:47:55.941573,18:47:58.513817,1,-1.0
1,18:47:55.941573,18:47:58.764664,1,-1.0
1,18:47:55.941573,18:47:59.051947,-1,-1.0
1,18:47:55.941573,18:47:59.356376,-1,-1.0
1,18:47:55.941573,18:47:59.632664,-1,-1.0
1,18:47:55.941573,18:47:59.928258,-1,-1.0
1,18:47:55.941573,18:48:00.542395,-1,-1.0
1,18:47:55.941573,18:48:00.954328,-1,-1.0
1,18:47:55.941573,18:48:01.378741,1,-1.0
1,18:47:55.941573,18:48:01.661233,1,-1.0
1,18:47:55.941573,18:48:02.036540,-1,-1.0
1,18:47:55.941573,18:48:02.523963,-1,-1.0
1,18:47:55.941573,18:48:03.093271,-1,-1.0
1,18:47:55.941573,18:48:04.419899,1,-1.0
1,18:47:55.941573,18:48:04.679158,1,-1.0
1,18:47:55.941573,18:48:04.939309,1,-1.0
1,18:47:55.941573,18:48:05.245204,1,-1.0
1,18:47:55.941573,18:48:05.558044,1,-1.0
1,18:47:55.941573,18:48:05.843132,1,-1.0
1,18:47:55.941573,18:48:06.264840,-1,-1.0
1,18:47:55.941573,18:48:06.896364,-1,-1.0
1,18:47:55.941573,18:48:07.594808,-1,-1.0
1,18:47:55.941573,18:48:08.330029,-1,-1.0
1,18:47:55.941573,18:48:08.914348,-1,-1.0
1,18:47:55.941573,18:48:09.462229,1,-1.0
1,18:47:55.941573,18:48:09.787181,1,-1.0
1,18:47:55.941573,18:48:10.071468,1,-1.0
1,18:47:55.941573,18:48:10.363032,1,-1.0
1,18:47:55.941573,18:48:10.626127,1,-1.0
1,18:47:55.941573,18:48:10.882349,1,-1.0
1,18:47:55.941573,18:48:11.135697,1,-1.0
1,18:47:55.941573,18:48:11.386625,1,-1.0
1,18:47:55.941573,18:48:11.651212,1,-1.0
1,18:47:55.941573,18:48:11.902024,1,-1.0
1,18:47:55.941573,18:48:12.145546,1,-1.0
1,18:47:55.941573,18:48:12.550726,-1,-1.0
1,18:47:55.941573,18:48:13.049444,-1,-1.0
1,18:47:55.941573,18:48:13.439688,-1,-1.0
1,18:47:55.941573,18:48:13.819294,-1,-1.0
1,18:47:55.941573,18:48:14.208373,1,-1.0
1,18:47:55.941573,18:48:14.483276,1,-1.0
1,18:47:55.941573,18:48:14.703226,1,-1.0
1,18:47:55.941573,18:48:14.899671,1,-1.0
1,18:47:55.941573,18:48:15.086313,1,-1.0
1,18:47:55.941573,18:48:15.280852,1,-1.0
