Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,22:24:22.945450,22:24:27.346475,1,-1.0
1,22:24:22.945450,22:24:37.405279,1,-1.0
1,22:24:22.945450,22:24:46.142084,-1,-1.0
1,22:24:22.945450,22:24:50.668038,-1,-1.0
1,22:24:22.945450,22:24:55.426349,-1,-1.0
1,22:24:22.945450,22:25:04.240240,1,-1.0
1,22:24:22.945450,22:25:12.790710,1,-1.0
1,22:24:22.945450,22:25:20.272926,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,22:25:23.695413,22:25:30.382958,-1,-1.0
2,22:25:23.695413,22:25:41.169232,-1,-1.0
2,22:25:23.695413,22:25:49.446742,1,-1.0
2,22:25:23.695413,22:25:57.798535,-1,-1.0
2,22:25:23.695413,22:26:02.293345,-1,-1.0
2,22:25:23.695413,22:26:07.931318,-1,-1.0
2,22:25:23.695413,22:26:25.133502,1,-1.0
