Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,22:26:53.542940,22:26:58.089775,1,-1.0
1,22:26:53.542940,22:27:07.138466,-1,-1.0
1,22:26:53.542940,22:27:12.535011,-1,-1.0
1,22:26:53.542940,22:27:22.210832,-1,-1.0
1,22:26:53.542940,22:27:30.942661,-1,-1.0
1,22:26:53.542940,22:27:35.626641,-1,-1.0
1,22:26:53.542940,22:27:42.559359,1,-1.0
1,22:26:53.542940,22:27:50.145728,1,-1.0
1,22:26:53.542940,22:27:56.708878,-1,-1.0
1,22:26:53.542940,22:28:01.074668,1,-1.0
1,22:26:53.542940,22:28:08.413533,1,-1.0
1,22:26:53.542940,22:28:15.138201,1,-1.0
1,22:26:53.542940,22:28:24.850799,1,-1.0
1,22:26:53.542940,22:28:29.416695,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,22:28:31.600422,22:28:37.230727,-1,-1.0
2,22:28:31.600422,22:28:41.229051,1,-1.0
2,22:28:31.600422,22:28:52.465348,1,-1.0
2,22:28:31.600422,22:29:03.464216,-1,-1.0
2,22:28:31.600422,22:29:12.841743,1,-1.0
2,22:28:31.600422,22:29:20.602459,1,-1.0
2,22:28:31.600422,22:29:26.946785,1,-1.0
2,22:28:31.600422,22:29:37.079512,1,-1.0
2,22:28:31.600422,22:29:45.040263,1,-1.0
