Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,22:34:58.129592,22:35:08.332654,1,-1.0
1,22:34:58.129592,22:35:16.633590,1,-1.0
1,22:34:58.129592,22:35:23.531791,-1,-1.0
1,22:34:58.129592,22:35:29.369507,-1,-1.0
1,22:34:58.129592,22:35:34.177024,-1,-1.0
1,22:34:58.129592,22:35:44.266201,1,-1.0
1,22:34:58.129592,22:35:49.540718,1,-1.0
1,22:34:58.129592,22:35:56.186281,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,22:36:02.691102,22:36:08.913914,1,-1.0
2,22:36:02.691102,22:36:16.919001,-1,-1.0
2,22:36:02.691102,22:36:23.030094,-1,-1.0
2,22:36:02.691102,22:36:29.701866,1,-1.0
2,22:36:02.691102,22:36:37.561508,1,-1.0
2,22:36:02.691102,22:36:45.028617,-1,-1.0
2,22:36:02.691102,22:36:51.942502,1,-1.0
2,22:36:02.691102,22:37:00.038123,1,-1.0
2,22:36:02.691102,22:37:05.514368,1,-1.0
